iter	Passed	Remaining
0	12	11993
1	19	9833
2	27	9155
3	33	8465
4	40	8081
5	47	7833
6	53	7638
7	60	7468
8	66	7308
9	72	7205
10	79	7181
11	86	7084
12	92	7040
13	99	7007
14	104	6889
15	111	6859
16	117	6817
17	124	6784
18	132	6821
19	138	6771
20	145	6762
21	151	6750
22	158	6731
23	165	6727
24	172	6719
25	180	6756
26	186	6704
27	193	6718
28	200	6708
29	207	6696
30	212	6649
31	219	6626
32	225	6605
33	232	6604
34	238	6580
35	245	6571
36	252	6563
37	259	6562
38	265	6551
39	272	6533
40	279	6531
41	286	6525
42	292	6512
43	299	6501
44	307	6527
45	314	6520
46	321	6525
47	329	6528
48	336	6523
49	342	6513
50	349	6495
51	355	6477
52	362	6482
53	368	6458
54	375	6453
55	381	6431
56	388	6433
57	416	6763
58	462	7368
59	486	7625
60	504	7766
61	513	7764
62	521	7759
63	532	7785
64	555	7991
65	562	7967
66	571	7953
67	578	7923
68	585	7899
69	592	7878
70	599	7844
71	606	7818
72	612	7780
73	620	7759
74	626	7725
75	632	7694
76	639	7668
77	644	7623
78	650	7585
79	656	7554
80	663	7529
81	671	7511
82	677	7487
83	684	7466
84	691	7446
85	698	7419
86	705	7398
87	711	7375
88	718	7356
89	724	7329
90	731	7307
91	738	7283
92	744	7259
93	750	7234
94	757	7213
95	764	7196
96	771	7185
97	778	7163
98	785	7145
99	791	7120
100	797	7099
101	804	7081
102	810	7054
103	816	7037
104	823	7022
105	830	7000
106	837	6988
107	843	6967
108	850	6948
109	856	6930
110	863	6911
111	869	6890
112	874	6868
113	882	6857
114	888	6840
115	895	6820
116	901	6804
117	908	6787
118	914	6773
119	921	6756
120	927	6739
121	934	6726
122	940	6708
123	947	6691
124	953	6674
125	959	6657
126	966	6642
127	972	6625
128	978	6609
129	985	6597
130	991	6575
131	998	6563
132	1004	6548
133	1010	6527
134	1017	6520
135	1023	6503
136	1030	6493
137	1036	6476
138	1043	6461
139	1049	6446
140	1055	6430
141	1061	6414
142	1067	6396
143	1072	6377
144	1078	6359
145	1084	6346
146	1090	6328
147	1097	6315
148	1103	6300
149	1108	6284
150	1115	6272
151	1121	6256
152	1128	6246
153	1134	6234
154	1140	6219
155	1146	6204
156	1152	6188
157	1158	6172
158	1164	6157
159	1169	6140
160	1176	6129
161	1182	6117
162	1188	6101
163	1194	6089
164	1200	6075
165	1206	6060
166	1212	6050
167	1218	6035
168	1223	6017
169	1229	6003
170	1235	5989
171	1241	5974
172	1247	5962
173	1253	5950
174	1259	5938
175	1265	5924
176	1271	5910
177	1278	5904
178	1285	5894
179	1292	5889
180	1300	5885
181	1307	5874
182	1314	5866
183	1319	5853
184	1329	5857
185	1337	5851
186	1343	5843
187	1351	5835
188	1357	5825
189	1366	5826
190	1374	5821
191	1384	5827
192	1392	5823
193	1399	5815
194	1406	5805
195	1413	5799
196	1422	5798
197	1434	5811
198	1445	5817
199	1455	5822
200	1466	5829
201	1474	5825
202	1482	5818
203	1489	5812
204	1502	5825
205	1514	5835
206	1523	5835
207	1533	5840
208	1542	5839
209	1550	5831
210	1556	5820
211	1564	5813
212	1570	5802
213	1577	5795
214	1584	5784
215	1592	5778
216	1599	5772
217	1606	5764
218	1614	5758
219	1621	5748
220	1629	5742
221	1636	5733
222	1643	5727
223	1649	5715
224	1657	5707
225	1664	5700
226	1671	5690
227	1678	5682
228	1683	5668
229	1691	5661
230	1698	5653
231	1704	5642
232	1711	5634
233	1717	5623
234	1724	5612
235	1729	5600
236	1736	5590
237	1742	5580
238	1748	5567
239	1754	5557
240	1761	5547
241	1767	5536
242	1774	5526
243	1780	5516
244	1786	5506
245	1793	5497
246	1799	5485
247	1805	5475
248	1812	5467
249	1819	5457
250	1825	5447
251	1830	5434
252	1836	5423
253	1843	5413
254	1849	5403
255	1856	5394
256	1862	5383
257	1867	5371
258	1874	5362
259	1880	5351
260	1887	5343
261	1893	5333
262	1899	5322
263	1906	5315
264	1912	5305
265	1919	5296
266	1926	5288
267	1932	5277
268	1938	5268
269	1945	5260
270	1952	5251
271	1958	5241
272	1964	5230
273	1970	5221
274	1976	5211
275	1983	5202
276	1990	5194
277	1996	5185
278	2003	5178
279	2009	5167
280	2015	5157
281	2022	5148
282	2028	5138
283	2034	5129
284	2041	5120
285	2046	5109
286	2053	5101
287	2059	5090
288	2064	5078
289	2071	5070
290	2077	5061
291	2084	5054
292	2090	5044
293	2096	5034
294	2102	5025
295	2108	5015
296	2115	5006
297	2122	5000
298	2128	4990
299	2136	4984
300	2142	4976
301	2149	4968
302	2157	4963
303	2164	4956
304	2172	4950
305	2179	4942
306	2186	4935
307	2193	4928
308	2201	4923
309	2208	4914
310	2214	4905
311	2221	4898
312	2228	4892
313	2236	4886
314	2242	4877
315	2249	4869
316	2256	4860
317	2261	4850
318	2268	4842
319	2274	4833
320	2280	4824
321	2286	4815
322	2292	4804
323	2298	4795
324	2304	4787
325	2310	4777
326	2317	4770
327	2323	4761
328	2330	4752
329	2335	4742
330	2341	4732
331	2347	4723
332	2354	4715
333	2360	4707
334	2366	4698
335	2372	4689
336	2378	4680
337	2385	4672
338	2391	4663
339	2398	4655
340	2403	4645
341	2409	4635
342	2415	4626
343	2421	4617
344	2428	4609
345	2434	4601
346	2440	4592
347	2446	4583
348	2453	4575
349	2458	4566
350	2465	4558
351	2471	4549
352	2478	4541
353	2484	4534
354	2491	4526
355	2498	4519
356	2504	4511
357	2511	4504
358	2519	4497
359	2525	4490
360	2532	4482
361	2538	4473
362	2545	4466
363	2551	4457
364	2557	4449
365	2563	4441
366	2569	4432
367	2575	4423
368	2581	4414
369	2588	4407
370	2594	4399
371	2600	4390
372	2607	4382
373	2612	4373
374	2619	4365
375	2625	4357
376	2632	4349
377	2637	4340
378	2644	4332
379	2650	4323
380	2655	4314
381	2661	4305
382	2667	4297
383	2674	4289
384	2681	4283
385	2687	4275
386	2694	4268
387	2702	4263
388	2709	4255
389	2716	4249
390	2723	4241
391	2729	4234
392	2736	4225
393	2742	4218
394	2749	4211
395	2754	4201
396	2762	4195
397	2769	4188
398	2776	4181
399	2782	4174
400	2789	4166
401	2796	4160
402	2804	4154
403	2810	4146
404	2816	4138
405	2822	4129
406	2830	4123
407	2835	4114
408	2841	4106
409	2847	4097
410	2853	4089
411	2860	4082
412	2866	4073
413	2872	4065
414	2878	4058
415	2885	4050
416	2891	4042
417	2897	4034
418	2903	4026
419	2909	4018
420	2916	4011
421	2923	4004
422	2930	3998
423	2937	3990
424	2943	3982
425	2950	3975
426	2957	3968
427	2963	3960
428	2970	3953
429	2976	3945
430	2983	3938
431	2990	3931
432	2997	3925
433	3004	3918
434	3013	3914
435	3020	3907
436	3027	3900
437	3034	3893
438	3040	3886
439	3047	3879
440	3054	3872
441	3061	3865
442	3068	3857
443	3073	3849
444	3080	3841
445	3087	3834
446	3094	3828
447	3100	3820
448	3107	3813
449	3114	3806
450	3120	3798
451	3127	3791
452	3134	3784
453	3141	3777
454	3147	3770
455	3154	3763
456	3160	3755
457	3166	3747
458	3173	3740
459	3180	3733
460	3186	3725
461	3193	3719
462	3199	3710
463	3206	3703
464	3212	3696
465	3218	3688
466	3225	3681
467	3231	3673
468	3238	3666
469	3245	3659
470	3251	3651
471	3258	3644
472	3264	3637
473	3271	3630
474	3277	3622
475	3283	3615
476	3290	3608
477	3297	3600
478	3303	3593
479	3309	3585
480	3315	3577
481	3325	3574
482	3347	3582
483	3359	3581
484	3365	3574
485	3372	3566
486	3379	3559
487	3385	3552
488	3392	3545
489	3398	3537
490	3406	3531
491	3413	3524
492	3420	3517
493	3427	3510
494	3433	3502
495	3440	3495
496	3446	3487
497	3453	3481
498	3460	3474
499	3467	3467
500	3473	3460
501	3479	3452
502	3486	3445
503	3492	3437
504	3499	3430
505	3507	3424
506	3513	3416
507	3521	3410
508	3527	3402
509	3534	3396
510	3541	3388
511	3547	3381
512	3555	3374
513	3561	3367
514	3568	3360
515	3575	3353
516	3584	3348
517	3591	3341
518	3600	3336
519	3607	3329
520	3613	3322
521	3621	3316
522	3626	3307
523	3632	3300
524	3639	3293
525	3645	3285
526	3652	3277
527	3657	3270
528	3663	3262
529	3670	3255
530	3676	3247
531	3683	3240
532	3690	3233
533	3696	3225
534	3703	3218
535	3709	3211
536	3715	3203
537	3721	3196
538	3727	3188
539	3733	3180
540	3739	3172
541	3745	3164
542	3751	3157
543	3756	3149
544	3762	3141
545	3768	3133
546	3774	3126
547	3780	3118
548	3787	3111
549	3793	3104
550	3800	3096
551	3805	3088
552	3812	3081
553	3818	3074
554	3825	3067
555	3831	3059
556	3837	3052
557	3843	3044
558	3850	3037
559	3855	3029
560	3861	3022
