fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:
163.6203,61.581,3.4128,0.3323,0.1669,-137.6074,-167.7684,76.1014,12.4703,398.6475
220.9871,26.544,2.9572,0.2357,0.1471,150.8274,226.3506,16.6093,16.1113,98.1594
75.6427,28.926,3.5111,0.139,0.084,-67.2102,-52.6716,15.746,17.19,221.961
57.4837,41.9194,3.0278,0.4152,0.2321,-39.8719,-33.8586,33.4722,81.6526,182.1387
127.0587,37.0133,3.4581,0.1948,0.1108,-10.8684,-75.8361,-8.1514,3.5732,329.4471
12.6701,11.7428,2.0394,0.7123,0.3699,15.4757,-7.2067,11.194,82.2488,189.34
86.8053,28.9558,2.9465,0.1161,0.0899,126.1966,43.1122,-23.8844,45.3038,71.7113
10.9668,8.6714,2.2508,0.819,0.4312,18.3514,20.9602,-1.4768,75.9919,183.5371
117.5035,25.3739,3.4283,0.2108,0.1092,-130.5414,30.0582,-17.8634,23.6392,298.9475
138.252,24.8473,2.7226,0.2936,0.1487,-81.6875,-169.189,-14.7528,45.867,188.461
28.1608,24.4385,2.9996,0.2613,0.1637,12.8199,19.821,-17.0894,9.4205,65.1213
22.0233,11.1419,2.5711,0.647,0.4792,6.5974,17.7224,-11.4238,69.7743,166.594
117.976,25.2172,3.0887,0.212,0.1097,46.2927,127.267,-15.8082,6.112,255.677
35.579,15.7688,2.8112,0.332,0.1707,8.2101,23.4049,9.6309,7.5527,196.357
33.121,15.9278,2.6444,0.3719,0.2234,15.3073,30.9083,10.2312,25.6036,90.9492
93.5575,21.1771,3.1928,0.1783,0.0914,-99.0496,63.7391,7.725,5.4461,238.577
138.427,67.808,3.9584,0.1363,0.072,26.7011,86.9351,69.3818,77.9219,406.986
19.3306,12.252,2.6767,0.5511,0.277,9.4368,14.723,-6.3487,80.6287,112.5059
40.1255,27.9545,3.0499,0.2081,0.102,-26.6409,28.7384,18.698,9.5306,206.2758
95.2809,20.3797,2.8553,0.4796,0.3821,-51.1257,-78.9902,19.7534,30.181,321.4942
29.4931,20.163,2.8322,0.3061,0.1891,25.6733,16.9479,-15.278,37.794,150.647
129.4726,50.8462,3.0146,0.1641,0.1077,-56.636,-152.6217,47.4674,33.5776,116.8207
22.8142,8.7151,2.5688,0.6262,0.4629,11.7303,13.9087,-4.0274,21.013,219.46
88.7648,26.6888,3.2815,0.239,0.1247,25.9521,23.5684,-3.1175,4.094,357.315
64.3901,28.236,3.2758,0.212,0.1142,25.0799,77.6102,-18.2398,4.354,182.851
71.2506,20.2914,3.0695,0.2548,0.1521,-36.8564,51.7627,-11.8395,0.738,303.629
23.4494,16.2843,2.5605,0.4539,0.2655,-8.8017,-15.9867,10.389,83.8081,235.203
12.968,11.2631,2.1351,0.7473,0.3993,-14.9313,5.6859,11.5159,55.5492,197.405
29.9668,22.4826,2.9159,0.2888,0.1584,17.8351,18.687,-3.6662,7.226,78.379
44.4555,15.7917,2.6599,0.4573,0.2834,-62.802,30.4447,-15.4645,7.651,299.782
28.5828,17.0516,2.6594,0.3527,0.2026,-15.6348,-16.2065,-3.6791,3.05,181.161
46.2801,16.3144,2.8979,0.2745,0.1575,-25.6625,-23.6669,8.8249,50.944,61.9598
26.2056,18.5666,2.5611,0.4423,0.2486,1.2724,-21.0011,16.588,5.7572,237.761
161.639,61.6327,4.2465,0.0448,0.0228,155.112,160.213,24.6766,75.7013,159.848
123.0896,33.3486,3.15,0.4688,0.2933,-112.8674,-62.746,17.4608,59.2022,270.6618
