V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V13,V19,V22,V30,V33,V35,V36,V40,V41,V42,V43,V45,V47,V50,V51,V52,V59,V63,V72,V75
14.0,4.0,19.0,4,498.0,4.0,138.0,4,6.0,1.0,11,4.0,9,2,4,1,9,6,2.0,1,0.0,0.0,4,8,26.0,2,1,1.0,5,0,0
0.0,1.0,15.0,12,1252.0,29.0,9.0,26,60.0,0.0,2,12.0,7,2,4,0,9,6,3.0,2,16.0,35.0,1,10,0.0,2,1,358.0,8,1,3
2.0,20.0,5.0,4,2.0,4.0,2.0,5,4.0,1.0,1,4.0,7,2,0,3,8,8,5.0,1,32.0,69.0,1,3,4.0,3,1,4.0,7,3,2
1.0,30.0,5.0,16,8.0,6.0,11.0,14,122.0,1.0,6,6.0,4,2,1,2,1,6,27.0,1,8.0,143.0,1,3,21.0,2,0,0.0,7,0,6
9.0,610.0,14.0,0,90.0,1.0,278.0,48,504.0,2.0,49,0.0,3,2,6,3,1,9,0.0,3,19.0,27.0,1,10,15.0,8,2,3.0,3,1,1
2.0,8.0,2.0,7,73.0,8.0,2.0,6,7.0,1.0,1,7.0,3,2,5,3,9,2,44.0,3,4.0,44.0,1,5,13.0,19,0,6.0,7,0,11
0.0,0.0,16.0,5,8006.0,61.0,33.0,6,15.0,0.0,1,5.0,4,2,1,0,9,6,46.0,2,1.0,592.0,0,3,0.0,1,0,0.0,7,1,3
3.0,183.0,1.0,1,1180.0,1.0,11.0,1,36.0,1.0,3,1.0,7,2,1,3,9,7,3.0,3,2.0,23.0,5,8,5.0,1,0,0.0,6,5,1
2.0,207.0,12.0,18,43.0,6.0,2.0,22,39.0,1.0,1,6.0,3,2,1,1,1,6,1.0,0,28.0,138.0,0,3,1.0,1,4,0.0,8,1,5
1.0,17.0,9.0,5,110.0,16.0,1.0,10,15.0,1.0,1,15.0,7,2,7,3,9,1,5.0,2,17.0,29.0,8,8,3.0,16,0,7.0,6,27,1
2.0,3.0,8.0,8,2.0,1.0,12.0,14,23.0,1.0,2,1.0,3,2,1,0,9,5,93.0,0,2.0,156.0,7,10,0.0,5,1,7.0,8,1,1
0.0,1.0,11.0,4,4.0,75.0,6.0,35,232.0,0.0,2,0.0,3,2,4,2,1,6,20.0,1,18.0,128.0,8,7,123.0,5,0,4.0,8,1,3
1.0,364.0,3.0,3,293.0,65.0,145.0,45,428.0,1.0,23,25.0,4,2,3,3,9,6,2.0,0,13.0,45.0,1,8,0.0,1,1,1.0,6,6,10
1.0,19.0,5.0,22,38.0,21.0,1.0,8,22.0,1.0,1,21.0,7,2,0,3,9,6,4.0,3,18.0,32.0,0,5,0.0,0,0,1.0,6,0,1
1.0,-1.0,11.0,18,123.0,40.0,1.0,21,40.0,1.0,1,40.0,7,2,7,0,9,8,5.0,3,28.0,8.0,7,6,6.0,2,1,2.0,6,3,6
