V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V13,V19,V22,V30,V33,V35,V36,V40,V41,V42,V43,V45,V47,V50,V51,V52,V59,V63,V72,V75
0.0,202.0,11.0,7,2799.0,118.0,44.0,8,615.0,0.0,9,7.0,4,2,4,2,9,6,7.0,2,14.0,35.0,1,3,4.0,3,1,2.0,1,2,0
1.0,0.0,60.0,3,264.0,35.0,1.0,11,12.0,1.0,1,12.0,3,2,5,1,1,7,1.0,3,11.0,55.0,1,10,2.0,3,1,14.0,1,6,1
7.0,1.0,4.0,5,0.0,0.0,34.0,5,13.0,1.0,1,0.0,7,2,1,3,9,8,4.0,2,11.0,8.0,1,8,1.0,1,0,89.0,7,0,2
3.0,17.0,15.0,5,90.0,6.0,6.0,29,120.0,2.0,5,5.0,9,2,1,2,9,6,6.0,3,2.0,208.0,0,10,0.0,1,0,0.0,8,8,1
1.0,2532.0,5.0,2,239.0,6.0,171.0,4,21.0,1.0,32,3.0,3,2,3,2,8,6,2.0,3,0.0,156.0,2,3,209.0,1,1,2.0,12,1,12
1.0,1.0,32.0,30,1375.0,131.0,107.0,48,2323.0,0.0,12,41.0,7,2,3,3,9,9,8.0,0,30.0,118.0,1,8,11.0,1,1,2.0,2,0,1
0.0,3.0,1.0,1,4397.0,7.0,1.0,1,7.0,0.0,1,1.0,7,2,7,3,8,6,28.0,1,4.0,111.0,7,8,6.0,1,0,2.0,7,9,1
1.0,1.0,15.0,17,7.0,16.0,11.0,17,18.0,1.0,2,14.0,3,2,1,0,8,7,6.0,2,0.0,42.0,1,5,3.0,1,1,43.0,7,34,1
0.0,155.0,1.0,2,17223.0,159.0,4.0,4,79.0,0.0,2,2.0,4,2,1,3,9,8,4.0,2,1.0,6.0,7,8,3.0,2,1,392.0,6,2,5
0.0,1414.0,5.0,1,3624.0,70.0,1.0,12,45.0,0.0,1,2.0,7,2,7,0,9,10,0.0,3,25.0,0.0,1,8,2.0,0,0,1.0,6,1,1
2.0,57.0,28.0,25,18.0,17.0,2.0,25,25.0,1.0,1,17.0,3,2,0,3,9,7,1.0,0,2.0,17.0,1,10,63.0,1,1,5.0,8,1,0
0.0,-1.0,4.0,3,2782.0,38.0,22.0,3,434.0,0.0,3,3.0,7,2,1,1,9,6,7.0,3,29.0,48.0,5,5,1.0,5,1,6.0,7,1,0
8.0,0.0,12.0,11,2.0,7.0,14.0,13,11.0,1.0,2,6.0,7,2,1,2,9,8,8.0,0,24.0,7.0,0,3,32.0,0,0,56.0,6,1,7
4.0,144.0,6.0,7,195.0,12.0,116.0,6,367.0,2.0,23,7.0,4,2,1,3,9,6,13.0,2,36.0,0.0,5,3,11.0,0,0,7.0,6,5,16
1.0,0.0,4.0,13,66.0,13.0,1.0,12,13.0,1.0,1,13.0,7,2,7,0,8,7,0.0,2,11.0,13.0,2,10,2.0,48,1,5.0,7,2,0
4.0,22.0,1.0,2,4.0,2.0,6.0,4,5.0,2.0,3,2.0,3,2,1,2,8,7,33.0,1,12.0,18.0,1,3,0.0,1,0,20.0,5,1,0
0.0,0.0,21.0,1,9401.0,1035.0,3.0,1,206.0,0.0,2,2.0,7,2,1,1,9,1,42.0,0,10.0,131.0,0,8,17.0,2,1,0.0,7,2,7
1.0,0.0,1.0,0,0.0,0.0,1.0,0,0.0,1.0,1,0.0,3,2,1,0,8,7,2.0,0,3.0,1.0,1,3,3.0,2,1,0.0,4,3,3
1.0,0.0,8.0,36,503.0,60.0,3.0,47,219.0,1.0,3,37.0,3,2,0,3,9,6,10.0,1,6.0,28.0,4,7,4.0,2,1,48.0,6,0,1
0.0,408.0,2.0,1,2170.0,6.0,25.0,3,43.0,0.0,4,1.0,0,2,1,0,9,1,15.0,2,0.0,703.0,7,5,220.0,2,0,6.0,2,0,1
0.0,89.0,31.0,31,1455.0,81.0,1.0,34,86.0,0.0,1,31.0,4,2,7,3,9,1,5.0,0,9.0,1.0,1,10,2.0,2,2,0.0,6,3,4
1.0,0.0,11.0,10,76.0,11.0,1.0,11,11.0,1.0,1,10.0,3,2,7,1,9,1,39.0,1,9.0,1.0,1,8,1.0,1,1,1.0,2,3,2
11.0,10.0,43.0,4,5.0,2.0,11.0,4,4.0,1.0,1,2.0,4,2,1,3,9,6,51.0,2,7.0,7.0,5,5,8.0,4,1,1.0,6,1,1
0.0,810.0,6.0,6,2609.0,48.0,2.0,22,65.0,0.0,2,6.0,7,2,3,1,9,6,2.0,0,0.0,45.0,0,8,1.0,0,2,0.0,6,2,1
0.0,214.0,1.0,1,4050.0,23.0,7.0,1,12.0,0.0,1,1.0,7,2,1,0,9,7,9.0,3,5.0,0.0,6,8,18.0,29,1,0.0,6,5,10
4.0,98.0,10.0,3,800.0,7.0,38.0,19,551.0,1.0,18,3.0,9,2,1,2,9,6,3.0,3,21.0,25.0,7,8,15.0,0,1,1.0,6,1,1
0.0,0.0,11.0,10,1494.0,192.0,1.0,41,182.0,0.0,1,10.0,7,2,7,3,9,9,0.0,0,14.0,56.0,1,5,0.0,1,1,0.0,6,1,2
0.0,275.0,1.0,9,2659.0,49.0,2.0,9,45.0,0.0,1,9.0,7,2,1,3,9,11,44.0,3,39.0,27.0,1,3,3.0,1,3,3.0,4,0,1
3.0,4.0,1.0,10,411.0,10.0,6.0,11,17.0,2.0,3,10.0,3,2,1,0,1,7,17.0,1,17.0,0.0,1,10,0.0,2,1,51.0,6,0,9
2.0,1.0,9.0,4,37.0,14.0,4.0,6,104.0,2.0,4,0.0,3,2,1,3,0,7,313.0,3,1.0,103.0,4,10,11.0,1,0,0.0,7,3,1
1.0,-1.0,3.0,5,7.0,2.0,2.0,5,13.0,1.0,2,2.0,3,2,0,1,9,4,4.0,1,3.0,36.0,0,3,1.0,0,2,46.0,6,8,3
8.0,1.0,2.0,0,41.0,3.0,12.0,0,8.0,2.0,3,0.0,4,2,4,2,9,1,1.0,1,43.0,15.0,6,8,6.0,2,1,77.0,7,2,5
3.0,759.0,1.0,0,2.0,0.0,3.0,0,1.0,1.0,1,0.0,7,2,4,2,9,7,4.0,0,2.0,127.0,8,8,2.0,3,1,4.0,8,5,1
21.0,717.0,28.0,13,1.0,0.0,37.0,45,80.0,1.0,2,0.0,4,2,1,0,1,1,0.0,1,1.0,1.0,8,8,0.0,4,0,30.0,6,4,1
3.0,60.0,21.0,17,319.0,17.0,12.0,24,49.0,1.0,3,17.0,7,2,1,0,9,6,3.0,3,18.0,68.0,1,5,4.0,0,1,3.0,6,19,1
1.0,7.0,2.0,0,8.0,2.0,9.0,7,1130.0,1.0,2,0.0,7,2,1,3,9,6,5.0,1,43.0,6.0,1,5,178.0,0,0,4.0,7,2,3
5.0,22.0,1.0,1,17.0,2.0,5.0,1,1.0,1.0,1,1.0,9,2,4,0,9,6,11.0,0,41.0,20.0,1,8,34.0,0,0,29.0,4,1,5
30.0,5.0,0.0,10,770.0,34.0,148.0,20,468.0,1.0,11,10.0,7,2,6,3,9,4,10.0,1,6.0,1.0,4,8,23.0,1,1,2.0,6,13,8
0.0,23.0,2.0,2,4350.0,27.0,68.0,2,56.0,0.0,8,2.0,4,2,1,3,9,8,12.0,3,13.0,230.0,5,3,5.0,0,1,0.0,8,0,1
7.0,0.0,10.0,9,8.0,9.0,16.0,8,76.0,1.0,1,9.0,3,2,1,1,1,6,1.0,3,30.0,19.0,1,5,19.0,0,1,13.0,2,4,0
1.0,3.0,7.0,13,1473.0,23.0,3.0,23,23.0,0.0,1,13.0,9,2,0,2,9,6,5.0,3,10.0,23.0,1,5,7.0,2,1,1.0,4,1,1
1.0,1.0,10.0,1,604.0,67.0,1.0,26,17.0,1.0,1,1.0,7,2,1,2,9,6,2.0,2,8.0,55.0,5,3,0.0,0,2,23.0,4,0,0
0.0,297.0,3.0,3,4227.0,35.0,1.0,15,27.0,0.0,1,3.0,7,2,7,3,9,5,5.0,3,2.0,8.0,1,5,2.0,3,1,25.0,8,4,4
0.0,62.0,39.0,35,3382.0,127.0,25.0,43,289.0,0.0,4,42.0,9,2,0,0,9,4,43.0,2,8.0,1.0,6,5,1.0,0,0,4.0,6,1,2
2.0,0.0,4.0,5,360.0,77.0,122.0,45,2231.0,2.0,29,5.0,4,2,3,1,9,8,4.0,0,11.0,53.0,1,3,6.0,6,0,364.0,6,3,6
1.0,298.0,5.0,1,1007.0,16.0,63.0,35,144.0,1.0,14,1.0,7,2,1,1,9,6,128.0,2,21.0,19.0,5,0,48.0,1,1,8.0,7,1,0
2.0,3.0,10.0,4,15.0,25.0,2.0,4,4.0,1.0,1,4.0,3,2,0,3,9,7,2.0,3,5.0,0.0,8,8,23.0,2,0,6.0,1,1,0
1.0,0.0,27.0,10,2.0,5.0,2.0,10,15.0,1.0,2,5.0,4,2,0,2,9,9,11.0,3,0.0,163.0,1,8,7.0,6,1,6.0,7,1,16
0.0,31.0,1.0,1,1622.0,43.0,13.0,1,23.0,0.0,5,1.0,3,2,1,3,9,7,0.0,1,14.0,11.0,8,8,5.0,8,0,1.0,1,2,14
11.0,2.0,1.0,1,99.0,1.0,469.0,6,163.0,2.0,27,1.0,4,2,1,3,8,5,18.0,1,15.0,1265.0,1,5,0.0,1,0,7.0,7,5,2
6.0,2.0,6.0,5,115.0,6.0,6.0,7,22.0,1.0,1,5.0,7,2,3,2,1,6,1.0,0,15.0,206.0,0,8,1.0,0,1,10.0,7,1,1
3.0,1152.0,2.0,1,1379.0,1.0,7.0,1,1.0,0.0,1,1.0,4,2,1,0,9,7,12.0,2,37.0,5.0,1,5,1.0,1,1,5.0,7,1,2
7.0,1083.0,1.0,1,23.0,21.0,17.0,30,86.0,2.0,5,0.0,5,2,1,3,9,7,43.0,3,16.0,200.0,2,3,1.0,0,0,33.0,6,1,3
