V1,V6,V10,V12,V13,V14,V15
47,2408.0,30,376.0,1,-1.0,0
57,1592.0,20,78.0,4,-1.0,0
33,700.0,9,126.0,1,88.0,1
37,238.0,7,200.0,2,-1.0,0
57,567.0,2,87.0,2,265.0,3
30,43.0,14,91.0,1,370.0,2
30,908.0,21,27.0,1,-1.0,0
28,2736.0,8,705.0,1,-1.0,0
61,86.0,25,639.0,1,94.0,1
54,895.0,7,335.0,1,-1.0,0
33,235.0,18,525.0,1,-1.0,0
54,-135.0,14,152.0,3,370.0,2
39,937.0,16,144.0,4,-1.0,0
53,19850.0,6,86.0,1,-1.0,0
44,192.0,11,232.0,2,-1.0,0
50,-70.0,6,386.0,2,-1.0,0
26,915.0,2,384.0,1,-1.0,0
45,483.0,23,95.0,2,265.0,11
39,0.0,16,289.0,1,-1.0,0
53,0.0,21,266.0,6,-1.0,0
56,4623.0,25,305.0,1,192.0,1
21,123.0,12,379.0,5,93.0,2
30,0.0,13,150.0,4,-1.0,0
38,775.0,12,1835.0,3,182.0,2
30,0.0,27,1051.0,1,-1.0,0
28,422.0,19,394.0,2,-1.0,0
32,1138.0,10,402.0,3,-1.0,0
45,2657.0,7,895.0,3,-1.0,0
52,0.0,29,39.0,2,-1.0,0
28,4987.0,9,253.0,21,-1.0,0
32,34646.0,13,618.0,9,-1.0,0
50,3016.0,13,65.0,5,-1.0,0
53,10185.0,23,115.0,1,-1.0,0
56,778.0,6,149.0,2,-1.0,0
47,3676.0,18,567.0,1,95.0,3
57,1335.0,19,902.0,2,-1.0,0
58,683.0,20,157.0,2,-1.0,0
35,518.0,30,616.0,1,-1.0,0
52,137.0,6,227.0,2,-1.0,0
46,14481.0,30,1269.0,1,-1.0,0
37,2055.0,10,241.0,4,-1.0,0
39,1222.0,23,451.0,4,-1.0,0
38,1680.0,17,414.0,2,-1.0,0
34,4131.0,27,172.0,7,-1.0,0
32,28.0,17,598.0,1,150.0,1
26,338.0,29,209.0,1,188.0,2
63,2716.0,25,205.0,1,-1.0,0
25,253.0,4,597.0,1,-1.0,0
58,496.0,22,132.0,1,-1.0,0
44,251.0,20,14.0,6,-1.0,0
29,572.0,8,72.0,6,181.0,1
60,1.0,19,302.0,1,184.0,1
54,551.0,28,431.0,2,-1.0,0
49,307.0,9,854.0,1,-1.0,0
42,1202.0,11,40.0,1,-1.0,0
49,383.0,26,31.0,1,-1.0,0
25,1119.0,18,1063.0,1,-1.0,0
45,-63.0,20,847.0,5,-1.0,0
35,336.0,14,191.0,1,346.0,2
39,12.0,15,500.0,2,352.0,2
25,17.0,13,97.0,2,-1.0,0
24,1235.0,14,334.0,4,93.0,6
33,1211.0,11,535.0,1,188.0,1
38,577.0,2,50.0,2,-1.0,0
40,1954.0,31,1107.0,2,-1.0,0
55,5.0,20,108.0,1,-1.0,0
34,-251.0,18,641.0,1,-1.0,0
35,1128.0,4,457.0,1,-1.0,0
32,250.0,29,202.0,1,-1.0,0
57,2887.0,21,819.0,10,-1.0,0
47,362.0,18,111.0,8,-1.0,0
31,131.0,15,151.0,1,-1.0,0
21,216.0,5,414.0,1,-1.0,0
58,169.0,13,880.0,1,92.0,8
48,5348.0,18,105.0,1,-1.0,0
39,481.0,7,929.0,5,189.0,1
38,262.0,3,315.0,2,180.0,6
44,1059.0,18,2093.0,1,-1.0,0
38,-255.0,24,63.0,1,-1.0,0
47,1167.0,30,968.0,1,87.0,5
26,-29.0,10,998.0,4,-1.0,0
34,681.0,20,382.0,6,-1.0,0
42,-1129.0,2,555.0,5,-1.0,0
51,409.0,28,203.0,1,-1.0,0
48,2263.0,29,874.0,2,-1.0,0
52,2488.0,13,176.0,2,-1.0,0
65,4717.0,6,256.0,1,-1.0,0
45,5511.0,2,272.0,1,-1.0,0
33,405.0,14,99.0,4,353.0,1
37,14.0,5,22.0,1,-1.0,0
49,1342.0,7,253.0,1,140.0,1
48,5462.0,6,29.0,4,-1.0,0
27,3733.0,13,299.0,6,-1.0,0
35,43.0,11,917.0,4,-1.0,0
58,1517.0,29,7.0,5,-1.0,0
69,324.0,12,875.0,1,189.0,4
47,682.0,18,638.0,6,-1.0,0
46,332.0,9,772.0,1,-1.0,0
27,5291.0,11,293.0,1,91.0,4
33,266.0,17,100.0,2,-1.0,0
25,333.0,12,399.0,3,-1.0,0
34,589.0,19,125.0,2,-1.0,0
45,-207.0,15,878.0,2,-1.0,0
45,328.0,12,174.0,4,-1.0,0
43,2113.0,29,33.0,2,-1.0,0
25,938.0,1,1048.0,1,-1.0,0
38,1373.0,22,119.0,4,-1.0,0
44,706.0,5,204.0,1,-1.0,0
28,703.0,15,485.0,1,88.0,1
40,607.0,19,432.0,1,-1.0,0
28,4287.0,30,171.0,1,-1.0,0
47,288.0,31,193.0,1,181.0,1
74,921.0,17,394.0,2,-1.0,0
46,349.0,15,295.0,2,616.0,1
44,1529.0,30,347.0,1,-1.0,0
40,642.0,18,147.0,3,-1.0,0
34,992.0,5,71.0,2,-1.0,0
49,0.0,19,99.0,2,-1.0,0
39,1062.0,20,10.0,4,-1.0,0
57,720.0,17,202.0,4,-1.0,0
29,297.0,17,240.0,2,-1.0,0
35,278.0,21,84.0,1,-1.0,0
52,1141.0,12,22.0,5,-1.0,0
47,863.0,19,943.0,2,-1.0,0
47,293.0,3,499.0,1,-1.0,0
50,5164.0,12,117.0,5,-1.0,0
27,312.0,5,251.0,1,-1.0,0
33,2044.0,4,532.0,3,-1.0,0
37,1510.0,3,88.0,2,-1.0,0
29,1788.0,27,353.0,1,-1.0,0
34,3301.0,17,485.0,2,227.0,4
38,378.0,21,184.0,21,-1.0,0
47,677.0,30,900.0,2,86.0,2
51,1162.0,25,2015.0,1,-1.0,0
57,0.0,16,235.0,2,-1.0,0
37,217.0,11,152.0,1,-1.0,0
29,818.0,5,61.0,1,-1.0,0
53,109.0,2,270.0,1,-1.0,0
31,879.0,13,394.0,1,-1.0,0
41,5561.0,20,649.0,2,-1.0,0
45,3241.0,12,84.0,2,-1.0,0
55,-308.0,2,781.0,1,-1.0,0
35,295.0,17,473.0,1,-1.0,0
24,3415.0,27,97.0,1,-1.0,0
76,1411.0,19,233.0,2,187.0,3
45,1723.0,1,166.0,2,-1.0,0
48,1730.0,10,158.0,1,102.0,1
29,23.0,2,163.0,1,55.0,2
36,871.0,12,396.0,3,-1.0,0
30,1013.0,3,24.0,9,-1.0,0
57,0.0,16,214.0,1,-1.0,0
37,146.0,20,16.0,8,-1.0,0
46,1740.0,11,333.0,1,-1.0,0
42,3228.0,21,133.0,1,-1.0,0
41,515.0,5,837.0,2,-1.0,0
25,1199.0,1,287.0,1,-1.0,0
35,128.0,12,136.0,1,-1.0,0
60,18967.0,29,177.0,2,-1.0,0
57,854.0,27,700.0,4,92.0,1
28,158.0,24,77.0,1,-1.0,0
54,-315.0,10,2029.0,1,-1.0,0
34,6529.0,14,505.0,2,-1.0,0
48,164.0,12,139.0,2,-1.0,0
31,4951.0,17,285.0,3,81.0,3
47,223.0,15,133.0,2,-1.0,0
39,22086.0,4,160.0,1,-1.0,0
32,3083.0,22,271.0,2,-1.0,0
32,38.0,27,66.0,1,-1.0,0
36,96.0,27,125.0,15,-1.0,0
31,338.0,2,155.0,2,-1.0,0
36,145.0,18,450.0,2,304.0,2
58,26.0,12,600.0,4,-1.0,0
45,79.0,25,98.0,1,-1.0,0
55,602.0,7,350.0,1,98.0,5
20,829.0,27,196.0,3,202.0,2
50,2376.0,24,395.0,1,-1.0,0
49,22520.0,21,579.0,9,-1.0,0
44,3.0,6,248.0,1,-1.0,0
59,2291.0,19,190.0,1,128.0,3
36,254.0,3,303.0,2,-1.0,0
33,146.0,23,351.0,3,-1.0,0
37,2203.0,5,9.0,8,-1.0,0
31,775.0,20,207.0,1,308.0,2
40,1038.0,5,741.0,1,-1.0,0
53,392.0,26,95.0,6,-1.0,0
58,4198.0,15,441.0,5,246.0,5
41,30.0,23,1003.0,1,-1.0,0
60,1034.0,7,231.0,3,-1.0,0
29,2531.0,19,634.0,1,-1.0,0
45,397.0,22,582.0,1,95.0,2
34,151.0,12,590.0,1,370.0,1
27,3792.0,22,504.0,1,183.0,2
29,1180.0,17,367.0,3,323.0,3
33,837.0,27,250.0,8,-1.0,0
22,691.0,19,338.0,1,-1.0,0
24,4126.0,5,907.0,4,185.0,7
53,1624.0,6,107.0,1,98.0,6
70,482.0,14,372.0,1,196.0,2
38,12.0,28,150.0,2,-1.0,0
32,0.0,22,520.0,1,-1.0,0
42,1435.0,7,1148.0,1,-1.0,0
49,0.0,14,151.0,2,-1.0,0
46,1167.0,21,1540.0,2,-1.0,0
50,1580.0,14,111.0,3,-1.0,0
46,211.0,14,36.0,2,-1.0,0
50,8.0,2,171.0,2,5.0,1
25,389.0,3,837.0,1,-1.0,0
59,2308.0,30,815.0,1,87.0,1
29,3220.0,17,172.0,3,-1.0,0
84,0.0,30,992.0,2,-1.0,0
49,-8.0,8,1119.0,1,-1.0,0
32,-34.0,11,101.0,1,-1.0,0
25,53.0,13,331.0,2,-1.0,0
