V1,V6,V10,V12,V13,V14,V15
59,3843.0,11,104.0,4,-1.0,0
47,4227.0,13,659.0,1,-1.0,0
85,98.0,30,416.0,1,-1.0,0
62,780.0,28,162.0,2,-1.0,0
32,2615.0,19,853.0,1,-1.0,0
36,-37.0,27,151.0,1,-1.0,0
34,294.0,8,301.0,3,-1.0,0
26,1595.0,2,54.0,1,-1.0,0
52,547.0,5,112.0,2,-1.0,0
48,-92.0,3,1393.0,1,-1.0,0
27,-579.0,18,220.0,1,367.0,3
44,93.0,17,230.0,1,-1.0,0
43,1258.0,20,312.0,1,-1.0,0
30,1221.0,25,279.0,4,-1.0,0
26,626.0,15,412.0,2,-1.0,0
26,1720.0,3,383.0,1,-1.0,0
42,419.0,14,96.0,4,-1.0,0
52,0.0,17,215.0,3,-1.0,0
40,1136.0,21,86.0,1,-1.0,0
45,4693.0,9,148.0,2,-1.0,0
48,5473.0,24,232.0,2,-1.0,0
33,718.0,29,271.0,1,84.0,3
55,2476.0,5,579.0,1,-1.0,0
53,1624.0,30,284.0,3,84.0,3
40,0.0,6,121.0,2,-1.0,0
36,495.0,11,91.0,1,37.0,5
46,1085.0,15,523.0,2,353.0,58
40,2346.0,16,182.0,3,-1.0,0
32,6281.0,3,1336.0,4,-1.0,0
41,1020.0,19,882.0,1,-1.0,0
31,373.0,10,132.0,6,-1.0,0
62,1495.0,17,606.0,1,196.0,1
40,229.0,24,213.0,10,-1.0,0
28,387.0,20,205.0,1,82.0,1
31,110.0,21,238.0,4,-1.0,0
40,-839.0,16,1018.0,2,-1.0,0
60,864.0,22,67.0,4,-1.0,0
28,3611.0,26,141.0,2,-1.0,0
51,95.0,23,1309.0,4,-1.0,0
53,1319.0,19,1318.0,3,-1.0,0
66,3701.0,3,834.0,1,-1.0,0
45,205.0,3,373.0,1,92.0,1
58,1249.0,5,187.0,1,-1.0,0
42,245.0,14,103.0,2,-1.0,0
38,7159.0,30,285.0,2,-1.0,0
47,3663.0,29,424.0,2,213.0,3
31,181.0,13,239.0,2,93.0,2
35,925.0,8,200.0,4,-1.0,0
36,52.0,7,351.0,1,95.0,6
39,11835.0,11,744.0,2,-1.0,0
33,1148.0,19,299.0,1,-1.0,0
39,167.0,12,612.0,1,-1.0,0
71,0.0,26,771.0,1,171.0,1
51,-160.0,30,118.0,4,-1.0,0
32,620.0,26,1234.0,3,-1.0,0
48,1730.0,4,361.0,1,89.0,3
42,636.0,20,91.0,2,-1.0,0
35,1224.0,3,187.0,1,-1.0,0
30,776.0,30,861.0,2,-1.0,0
34,0.0,5,293.0,6,-1.0,0
55,274.0,9,7.0,5,-1.0,0
31,252.0,8,107.0,3,-1.0,0
47,2601.0,24,261.0,1,-1.0,0
35,1942.0,8,249.0,1,-1.0,0
37,1978.0,9,404.0,1,182.0,1
47,318.0,21,83.0,1,-1.0,0
54,1561.0,25,352.0,3,186.0,2
36,249.0,15,709.0,5,-1.0,0
38,10.0,8,84.0,3,-1.0,0
45,0.0,17,102.0,1,-1.0,0
31,2744.0,8,309.0,2,-1.0,0
33,4443.0,23,25.0,6,-1.0,0
63,0.0,31,253.0,5,-1.0,0
35,-402.0,17,46.0,1,-1.0,0
59,1491.0,9,157.0,2,-1.0,0
36,-15.0,6,341.0,3,-1.0,0
42,223.0,6,92.0,6,-1.0,0
45,323.0,13,276.0,2,-1.0,0
32,23.0,5,160.0,1,-1.0,0
49,755.0,31,1212.0,4,-1.0,0
57,470.0,5,480.0,3,-1.0,0
58,745.0,20,23.0,1,-1.0,0
31,1032.0,7,284.0,1,-1.0,0
24,1354.0,18,239.0,2,-1.0,0
43,1059.0,1,335.0,2,-1.0,0
34,328.0,21,18.0,7,-1.0,0
55,663.0,6,230.0,1,-1.0,0
53,0.0,29,88.0,3,-1.0,0
44,-156.0,30,1211.0,2,-1.0,0
32,-1161.0,30,445.0,5,-1.0,0
27,771.0,21,181.0,1,302.0,3
33,1021.0,2,734.0,1,-1.0,0
59,0.0,5,493.0,2,-1.0,0
50,892.0,10,189.0,1,-1.0,0
27,92.0,30,274.0,4,-1.0,0
77,2223.0,10,365.0,2,187.0,1
56,770.0,20,59.0,3,-1.0,0
48,503.0,12,1243.0,7,-1.0,0
38,0.0,8,635.0,1,-1.0,0
35,391.0,30,47.0,8,-1.0,0
49,10250.0,24,97.0,1,-1.0,0
40,-476.0,30,105.0,2,-1.0,0
59,287.0,20,818.0,2,242.0,8
58,2074.0,18,259.0,2,-1.0,0
27,1595.0,29,196.0,2,197.0,2
49,395.0,10,336.0,5,-1.0,0
25,1957.0,24,1207.0,4,385.0,1
30,2326.0,14,420.0,1,175.0,2
60,259.0,6,396.0,1,386.0,2
26,512.0,30,206.0,5,239.0,3
40,0.0,7,674.0,2,-1.0,0
29,238.0,25,344.0,2,88.0,1
25,594.0,4,89.0,2,-1.0,0
46,437.0,13,546.0,3,-1.0,0
46,38.0,27,181.0,3,183.0,1
28,1377.0,14,688.0,2,-1.0,0
27,2784.0,20,153.0,1,328.0,1
37,278.0,3,1045.0,3,-1.0,0
41,0.0,3,858.0,1,-1.0,0
31,442.0,15,244.0,1,-1.0,0
31,-253.0,12,220.0,4,-1.0,0
39,3165.0,15,56.0,1,368.0,2
31,-495.0,29,334.0,2,-1.0,0
52,98.0,19,148.0,1,-1.0,0
30,3809.0,3,159.0,4,-1.0,0
49,1743.0,18,68.0,1,-1.0,0
31,13711.0,20,1532.0,3,-1.0,0
44,1933.0,5,462.0,1,-1.0,0
75,2970.0,12,641.0,1,-1.0,0
47,4420.0,20,454.0,1,-1.0,0
34,478.0,22,73.0,2,-1.0,0
29,111.0,6,14.0,11,-1.0,0
22,2138.0,10,164.0,1,109.0,2
53,8112.0,15,75.0,1,146.0,1
25,1966.0,28,209.0,1,-1.0,0
