MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
5.8336,36,7.46,0.96,414.0,2.76,38.6,-121.37
4.0855,52,5.29723991507431,0.9723991507430998,1081.0,2.2951167728237793,37.58,-122.35
4.0972,37,5.7592592592592595,1.1296296296296295,171.0,3.1666666666666665,37.8,-121.2
5.6417,13,6.76,1.0635897435897437,4847.0,2.4856410256410255,37.66,-121.84
3.5481,36,4.767045454545454,0.9176136363636364,1380.0,3.9204545454545454,33.97,-118.08
11.2463,22,8.249027237354085,1.0350194552529184,1480.0,2.8793774319066148,37.25,-121.99
3.4032,37,4.172839506172839,1.0555555555555556,691.0,2.132716049382716,37.68,-122.1
6.7099,50,7.503521126760563,1.0352112676056338,753.0,2.6514084507042255,34.11,-118.11
2.3935,14,4.762195121951219,1.1371951219512195,609.0,1.8567073170731707,33.92,-117.89
3.8047,35,5.015037593984962,1.0526315789473684,406.0,3.0526315789473686,37.75,-122.16
1.9107,23,3.721495327102804,1.091588785046729,1380.0,2.5794392523364484,33.95,-118.17
1.7829,47,5.128878281622912,1.0883054892601431,965.0,2.3031026252983295,39.8,-120.45
2.3269,35,4.614754098360656,1.0846994535519126,1135.0,3.101092896174863,32.73,-117.11
2.465,40,4.306666666666667,1.1028571428571428,903.0,1.72,32.75,-117.15
4.1964,14,6.297405189620759,1.157684630738523,1208.0,2.411177644710579,38.31,-122.7
2.9145,21,6.498771498771498,1.1400491400491402,1245.0,3.058968058968059,36.19,-119.12
2.9386,23,3.815136476426799,1.066997518610422,1584.0,1.965260545905707,33.74,-118.3
2.5667,40,6.5120481927710845,1.1897590361445782,1010.0,3.0421686746987953,34.52,-120.39
5.2206,6,5.749529190207157,1.0677966101694916,3246.0,3.056497175141243,34.28,-118.91
3.8667,37,5.894736842105263,1.0512820512820513,2083.0,2.8110661268556005,38.09,-122.21
2.5721,52,4.306213017751479,1.113905325443787,1696.0,2.5088757396449703,37.78,-122.44
2.5813,30,3.5719237435008666,1.0935875216637783,1007.0,1.7452339688041594,32.8,-117.25
5.5,28,4.509803921568627,1.1061130334486735,1763.0,2.033448673587082,34.06,-118.44
3.2083,44,4.5698630136986305,1.0410958904109588,1143.0,3.1315068493150684,37.35,-121.89
4.1949,29,5.30126582278481,1.0329113924050632,2783.0,3.5227848101265824,34.22,-119.17
14.4219,52,8.253731343283581,0.9502487562189055,519.0,2.582089552238806,37.56,-122.35
5.7664,16,6.002976190476191,1.0982142857142858,931.0,2.7708333333333335,38.38,-122.89
3.6908,38,4.962825278810409,1.0483271375464684,1011.0,3.758364312267658,33.92,-118.08
4.2917,6,5.142276422764228,0.9227642276422764,764.0,3.105691056910569,36.29,-119.79
4.2276,17,4.586274509803921,1.0441176470588236,2427.0,2.3794117647058823,33.85,-117.85
2.3929,31,3.7445054945054945,1.1758241758241759,1897.0,5.211538461538462,33.97,-118.16
5.5629,36,5.454819277108434,0.963855421686747,1005.0,3.0271084337349397,34.09,-117.89
3.5781,37,4.8281750266808965,1.0725720384204909,2099.0,2.240128068303095,34.17,-118.23
2.4444,36,6.154121863799283,1.2473118279569892,1054.0,3.7777777777777777,34.16,-117.35
3.6346,39,5.17799352750809,1.1148867313915858,1391.0,2.250809061488673,37.76,-122.47
2.3947,38,5.5361596009975065,1.0623441396508728,1041.0,2.596009975062344,40.44,-124.09
2.5875,44,4.66546762589928,1.10431654676259,776.0,2.79136690647482,35.05,-118.16
3.25,16,4.935483870967742,1.060931899641577,830.0,2.974910394265233,39.37,-123.75
4.3462,36,5.919491525423729,1.1080508474576272,1334.0,2.8262711864406778,34.22,-118.51
2.5042,19,5.739957716701903,1.2600422832980973,1301.0,2.7505285412262155,38.61,-120.66
1.4952,42,5.00990099009901,1.2640264026402641,656.0,2.165016501650165,39.88,-123.71
2.8289,38,4.438148443735036,1.031125299281724,3523.0,2.8116520351157224,36.68,-121.67
4.6452,27,5.048598130841121,1.0311526479750779,5023.0,3.129595015576324,37.65,-122.47
4.0313,13,5.079119086460032,1.0742251223491028,3739.0,3.0497553017944536,34.21,-118.58
3.0882,14,7.001727115716753,1.3592400690846287,1581.0,2.7305699481865284,34.95,-119.16
1.725,52,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27
4.3056,44,6.134020618556701,1.0549828178694158,779.0,2.676975945017182,33.82,-118.13
2.5583,31,4.606334841628959,1.1334841628959276,1263.0,2.8574660633484164,32.75,-117.07
3.2708,46,4.323462414578588,1.0045558086560364,978.0,2.2277904328018225,32.74,-117.12
2.1719,44,4.283489096573208,1.0934579439252337,766.0,2.3862928348909658,38.57,-121.5
7.5813,20,8.197943444730077,1.0796915167095116,1234.0,3.172236503856041,37.36,-121.81
1.6792,43,3.255357142857143,1.0714285714285714,2339.0,4.176785714285714,33.79,-118.19
3.375,26,5.3694915254237285,1.0,846.0,2.8677966101694916,38.33,-122.7
3.3239,52,5.292328042328043,1.07010582010582,1886.0,2.494708994708995,37.76,-122.47
4.1591,10,5.623376623376624,1.2886002886002885,1992.0,2.8744588744588744,33.82,-118.01
4.0385,52,5.053619302949062,1.0750670241286864,764.0,2.0482573726541555,34.17,-118.04
4.8105,23,6.17769130998703,1.0739299610894941,2198.0,2.8508430609597926,34.42,-119.28
3.1534,19,5.35251798561151,1.0743405275779376,1149.0,2.7553956834532376,33.86,-117.87
4.2431,15,5.217235188509874,0.9640933572710951,1886.0,3.385996409335727,37.81,-121.23
2.625,43,3.5346820809248554,1.1040462427745665,1699.0,2.4552023121387285,33.98,-118.04
2.2653,40,3.54739652870494,1.0600801068090788,2149.0,2.869158878504673,34.07,-118.31
5.3559,26,5.741496598639456,0.9546485260770975,1274.0,2.888888888888889,33.74,-118.04
1.689,31,3.800711743772242,0.9644128113879004,1091.0,3.882562277580071,33.97,-118.28
3.2391,29,5.9688888888888885,0.9911111111111112,751.0,3.3377777777777777,37.7,-121.14
3.463,8,6.363636363636363,1.1662971175166297,1307.0,2.8980044345898004,39.08,-121.04
5.5073,6,4.749585406301824,1.064676616915423,1404.0,2.328358208955224,34.45,-119.75
2.1528,10,3.4516129032258065,0.946236559139785,462.0,2.4838709677419355,33.98,-117.38
4.7426,16,6.240196078431373,1.0514705882352942,1683.0,4.125,33.14,-117.07
1.4792,34,3.656429942418426,1.0595009596928984,2194.0,4.211132437619962,34.0,-118.25
2.5042,52,4.7633744855967075,1.1440329218106995,1113.0,2.2901234567901234,38.1,-122.25
4.0789,35,5.640198511166253,1.0173697270471465,1431.0,3.5508684863523574,34.2,-118.56
6.0332,19,7.062962962962963,1.1962962962962962,681.0,2.522222222222222,36.62,-121.69
1.75,31,3.257575757575758,0.9393939393939394,192.0,2.909090909090909,37.63,-121.0
3.154,23,5.923312883435583,1.072085889570552,2082.0,3.1932515337423313,34.03,-117.08
0.9355,24,3.482051282051282,1.1897435897435897,1371.0,2.3435897435897437,37.78,-122.43
3.725,35,4.114285714285714,1.0523809523809524,1161.0,2.7642857142857142,34.02,-118.41
1.9132,31,2.899755501222494,0.9462102689486552,2087.0,5.102689486552567,33.99,-118.2
3.1289,42,4.508604206500956,1.0439770554493308,1065.0,2.0363288718929256,34.16,-118.38
3.0054,17,4.885864793678666,1.0860403863037753,3004.0,2.637401229148376,33.11,-117.07
2.7083,45,4.678571428571429,1.0634920634920635,736.0,2.9206349206349205,34.01,-118.13
3.9167,35,5.771241830065359,1.0392156862745099,1933.0,2.105664488017429,38.58,-121.43
3.3393,15,5.777777777777778,1.0833333333333333,529.0,2.449074074074074,38.5,-120.93
