RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.019853938,37,2,0.452934662,5417.0,15,0,2,0,2
0.881546372,43,4,0.814891914,6244.0,10,0,2,0,1
0.729344729,32,1,0.266293483,2500.0,4,2,0,3,1
0.01613424,80,0,0.382468107,7916.0,17,0,2,0,0
0.02945985,62,1,0.464997154,5270.0,8,0,1,0,3
0.902056584,50,1,0.426095651,6000.0,17,1,1,2,2
0.329479408,35,1,0.339813375,2571.0,7,0,1,0,1
0.334522767,46,1,0.434704353,15000.0,7,0,1,1,4
0.983813378,51,0,0.151426286,3750.0,7,1,0,0,0
0.026583936,38,0,0.437380218,12000.0,14,0,2,0,0
0.072370693,47,0,1.159818646,3528.0,8,0,1,1,2
0.052060162,39,0,0.403839055,5417.0,9,0,1,0,2
0.067426162,56,0,0.026493377,4000.0,8,0,0,0,0
0.004255206,76,2,0.165454264,6460.0,12,0,2,1,0
0.149155048,67,0,0.099983336,6000.0,6,0,0,1,1
0.775317812,42,2,0.43341489,5721.0,7,3,2,0,2
0.000864818,61,0,0.19997868,9380.0,9,1,2,0,0
0.041881582,60,0,0.014748757,5830.0,8,0,0,0,2
0.873260612,42,4,0.482551745,10000.0,10,0,2,2,3
0.065168804,23,0,0.273554604,1867.0,5,0,0,0,0
0.054478032,67,0,0.337504776,10467.0,7,0,2,0,1
0.04423823,75,0,0.003142558,10500.0,6,0,0,0,0
1.090727285,42,0,0.225554889,3333.0,8,0,0,0,0
0.021175338,45,0,0.515562511,5750.0,10,0,1,0,1
0.9999999,55,0,0.0,1000.0,0,1,0,0,0
0.781794913,67,1,0.335591252,5166.0,12,0,3,0,1
0.943464825,31,0,0.220660496,8750.0,6,0,0,0,2
0.296754742,49,0,0.449507213,7000.0,14,0,2,0,3
0.926720168,52,0,0.553620384,6200.0,9,0,1,0,2
0.001147025,55,0,0.160637043,5085.0,5,0,1,0,0
0.460512058,49,0,1.407615983,3728.0,8,0,1,0,0
0.9999999,33,98,0.0,3350.0,0,98,0,98,1
0.938658578,44,1,0.337143964,5160.0,5,1,2,0,0
0.007999714,69,0,0.047000195,10233.0,4,0,0,0,0
0.016570837,60,0,0.246800181,6640.0,3,0,1,0,0
0.0,49,3,0.289413307,3050.0,5,0,0,0,1
0.0,70,0,0.2055993,8000.0,6,0,2,0,0
0.178347423,58,0,0.211457708,3333.0,3,0,0,0,0
0.868128833,49,1,0.399930103,8583.0,7,0,2,1,2
0.009998649,63,0,0.64659814,2042.0,5,0,1,0,0
0.416887775,78,0,0.957099081,978.0,7,0,0,0,0
0.422176209,40,1,0.843457068,5333.0,9,0,3,0,1
1.21012152,36,1,0.314171457,4000.0,4,0,1,0,2
0.108286238,41,0,4142.0,0.0,17,0,2,0,3
0.933033483,27,1,0.11772057,4000.0,4,0,0,0,1
0.916550479,52,3,0.803691598,5200.0,17,0,2,1,0
0.275816123,37,1,0.131420639,2160.0,5,0,0,0,4
0.006274982,57,0,0.258617406,5250.0,11,0,1,0,3
0.148477639,46,0,0.542531918,6500.0,11,0,2,0,2
0.889609691,43,0,0.366579386,4200.0,7,0,0,0,1
0.376023546,49,0,0.28236642,9600.0,6,0,2,0,2
0.022219292,64,0,0.492802303,2083.0,8,0,1,0,0
0.004868908,74,0,0.17946388,2200.0,24,0,1,0,0
0.973401064,47,0,1.413593288,16566.0,6,10,2,2,2
0.268670008,40,0,0.206492854,13922.0,8,0,1,0,2
0.025565437,75,0,0.003801097,16047.0,12,0,0,0,0
0.016016969,59,0,0.322994029,6866.0,10,0,3,0,1
0.766620572,42,0,0.588082384,5000.0,5,0,1,0,4
0.9999999,43,1,0.105114306,4242.0,2,0,0,1,3
0.134149268,79,2,0.195251219,4716.0,8,0,1,0,0
0.044358519,47,1,0.242679617,7000.0,18,0,2,0,2
0.9999999,23,0,15.0,0.0,1,0,0,0,0
0.740906512,44,0,1123.0,1.0,13,0,2,0,2
0.61878713,46,0,0.392737162,6250.0,5,0,2,0,1
0.54387264,49,3,0.662800163,4913.0,3,0,1,1,0
0.9999999,35,0,0.25461579,5686.0,1,0,1,0,4
0.0,37,0,1.23755249,5000.0,12,0,2,0,4
0.0,50,2,0.541864534,4000.0,7,0,0,0,2
0.111065914,51,0,1.117849759,1450.0,15,0,2,0,1
0.0,39,0,0.551703163,6575.0,6,0,1,0,0
0.068335636,39,0,0.517102263,5700.0,9,0,1,0,1
0.970428295,50,0,0.632122626,3000.0,13,1,2,0,2
0.037647802,57,1,0.429052688,7420.0,14,0,1,0,3
0.9999999,46,1,0.269093505,1400.0,2,0,0,0,1
1.050599201,31,3,0.623828369,4800.0,11,1,2,0,0
0.9999999,53,2,0.688007645,4185.0,3,8,1,1,1
0.0,58,0,0.258332099,6750.0,5,0,2,0,1
0.239549032,34,0,0.482542428,9250.0,8,0,2,0,0
0.381199688,71,0,1.09947839,2683.0,7,0,1,1,0
0.9999999,60,0,0.667893819,5160.0,7,0,4,0,0
0.077527915,50,0,0.568260316,5500.0,20,0,2,0,2
1.033611442,33,0,0.707085464,1368.0,5,4,0,3,2
1.462686567,64,1,0.001738752,4600.0,1,0,0,1,1
0.340581649,49,0,0.442926179,6000.0,18,0,1,0,2
0.772523695,47,0,2.035273369,1700.0,10,0,2,0,2
0.9999999,34,0,0.0,2494.0,0,0,0,0,2
0.833383368,44,0,0.162730564,5800.0,4,0,0,2,4
0.0,60,0,0.316685268,3583.0,18,0,2,0,0
0.0,32,1,0.332223147,1200.0,4,2,0,0,0
1.003097719,33,0,1.179487179,2300.0,17,0,2,0,1
0.899631902,42,0,1.496201519,2500.0,12,0,2,0,0
0.257605418,55,1,0.438058748,7829.0,9,0,2,0,0
0.0,41,0,0.063005432,8284.0,5,0,0,0,0
0.020787331,64,0,0.309587574,5600.0,18,0,2,0,1
0.982516284,54,2,0.231838775,6400.0,5,0,0,0,0
0.395280629,46,0,0.431982232,1800.0,6,0,0,1,0
0.443860351,51,0,0.180790226,7693.0,2,0,1,0,3
