RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.9999999,39,0,0.230769231,1000.0,0,0,0,0,2
0.0,61,0,0.011039367,4800.0,1,0,0,0,3
0.011775495,66,0,0.121944855,11496.0,15,0,2,0,1
0.966804426,29,1,0.227621483,4300.0,8,1,0,0,0
0.027531276,46,0,0.55462985,4200.0,4,0,1,0,2
0.097917495,60,0,0.118985387,16833.0,5,0,2,0,2
0.958833589,33,1,1.426946632,8000.0,9,0,3,0,0
0.973421927,32,0,0.058577406,1672.0,2,1,0,0,0
0.790895535,33,0,0.144106622,2400.0,6,0,0,0,0
0.038688905,55,0,0.644687393,11707.0,17,0,4,0,2
0.359226378,58,0,0.446172647,9000.0,19,0,2,0,3
3.564637939,49,3,0.322621035,9583.0,12,1,1,0,0
0.471826409,50,0,0.363909427,12983.0,9,0,2,0,1
0.534109817,31,0,0.022900763,2357.0,3,0,0,0,2
0.102195584,30,2,0.600067785,5900.0,9,0,2,0,0
0.384348038,63,0,0.149640041,5833.0,5,0,0,0,0
0.00618047,74,0,0.310732698,6400.0,14,0,1,0,0
0.07739613,37,0,0.225837169,6300.0,5,0,1,0,0
0.100457991,54,0,0.109408807,17100.0,4,0,1,0,1
0.245309661,80,0,0.101539942,6233.0,8,0,0,0,0
0.891452875,30,0,0.419616077,3333.0,8,0,0,0,0
0.014378817,73,3,0.007105043,7177.0,9,0,0,0,0
0.108299096,79,0,0.162887101,4100.0,6,0,1,0,0
0.007008427,62,0,0.001709645,7018.0,4,0,0,0,0
0.0,41,0,0.261456424,6000.0,8,0,2,0,0
0.9999999,49,0,0.024958403,600.0,0,0,0,0,1
0.997100145,42,2,0.197553658,8665.0,6,0,2,0,1
0.728135932,27,0,0.617886179,1229.0,5,1,0,0,2
0.004932311,86,0,0.294754371,1200.0,9,0,0,0,0
0.069442399,59,0,0.139317854,9000.0,7,1,1,0,0
0.516438611,36,0,0.162408354,4500.0,7,0,0,0,2
0.309640605,45,1,0.215389231,20000.0,10,0,1,0,0
1.011168106,60,1,1616.0,0.0,4,0,1,0,0
0.41578868,57,1,0.341042017,14874.0,19,0,1,0,3
0.085338293,51,0,0.477503628,6200.0,11,0,1,0,0
0.11458731,61,1,0.647720175,1600.0,14,0,3,1,2
0.005172591,40,0,0.001712981,5253.0,3,0,0,0,0
0.984942948,48,0,0.407869482,2083.0,4,1,0,0,3
0.761919913,62,0,0.033650623,14917.0,5,0,0,1,0
0.657848668,52,1,0.533240997,2165.0,4,2,1,1,1
0.224289651,54,1,0.086762519,4033.0,6,0,0,1,1
0.9999999,38,1,0.096028689,7528.0,2,1,1,0,4
0.818580834,41,0,0.434134362,5700.0,7,1,1,0,3
0.478124637,41,0,0.737864078,6900.0,12,0,5,0,3
0.9999999,35,1,0.900911497,3400.0,6,0,2,0,0
1.010747313,45,1,0.243057098,4500.0,16,1,0,4,1
0.569407604,62,0,0.680841048,6372.0,14,0,2,0,0
0.752428795,33,0,0.473365022,6100.0,11,0,2,0,0
0.005741963,27,1,0.039889959,2907.0,9,0,0,0,0
0.983351831,37,2,0.32223968,7000.0,5,0,3,0,1
1.055625509,55,1,0.46831472,7968.0,21,0,1,2,0
0.000545145,66,0,0.374711583,6500.0,18,0,1,0,1
0.962962963,25,1,0.008603574,1510.0,2,2,0,0,2
0.9999999,28,0,0.01489573,3020.0,1,0,0,0,2
0.9999999,67,3,4.979695431,590.0,4,7,1,1,0
0.98609001,58,2,0.425431711,5095.0,16,1,2,0,0
1.636655949,45,1,0.690761848,3333.0,3,4,1,0,1
0.947052947,31,0,0.006234692,4490.0,1,2,0,0,3
1.115128449,34,1,0.132099553,4700.0,4,0,0,0,1
0.031140633,45,0,0.075146243,20000.0,9,0,0,0,0
0.067248799,64,0,0.210924165,4100.0,6,0,0,0,1
0.9999999,39,1,0.783777298,4166.0,4,0,1,0,0
0.9999999,54,0,0.148242872,10556.0,4,0,1,0,0
0.011522292,34,0,0.260594742,6960.0,10,0,1,0,1
0.008075984,78,0,0.403211148,3300.0,12,0,1,0,0
0.840600935,55,0,0.429737141,14950.0,14,0,2,0,1
0.23063852,58,0,0.1968002,16000.0,9,0,3,0,3
0.021569145,47,0,0.201133447,9351.0,14,0,2,0,1
0.94522566,52,1,0.450169701,6481.0,8,0,1,0,0
0.578947368,31,1,0.299487508,3121.0,7,1,0,3,2
0.639272146,37,0,1.036654449,3000.0,3,0,1,0,0
0.040647773,26,0,0.011661808,2400.0,9,0,0,0,0
0.087607619,45,0,0.374099047,4300.0,8,0,1,0,2
0.001303781,33,2,0.605775922,2873.0,15,0,1,0,1
0.9999999,31,0,0.104889374,3660.0,4,0,0,0,1
0.0,23,0,0.0,1500.0,1,0,0,1,0
0.910363487,28,0,0.499451497,6380.0,8,0,2,0,0
0.010443063,58,0,0.07710535,21100.0,11,0,1,0,0
0.900637692,61,1,0.602236422,5633.0,8,0,2,1,0
0.777400128,46,2,0.40223034,5200.0,9,2,2,0,0
0.684835727,47,1,0.578771696,2995.0,7,0,1,1,2
0.9999999,38,1,0.005524862,3076.0,1,0,0,1,0
0.865168539,55,2,1.768526228,1200.0,9,0,1,0,0
0.0,43,0,0.578071096,6666.0,11,0,2,0,3
0.0,65,0,0.25914817,5000.0,3,0,1,0,0
0.944094667,30,2,0.378124375,5000.0,12,1,1,0,1
0.510458159,48,0,1.094370634,7300.0,11,0,2,0,1
0.149635473,34,1,0.800957183,11700.0,14,0,5,0,1
0.650204397,24,0,0.542234332,1100.0,7,0,0,0,0
0.009951907,89,0,0.001719198,3489.0,4,0,0,0,0
0.407626126,49,0,0.832055981,3000.0,11,0,1,0,0
0.548572613,55,0,0.848366013,3824.0,10,0,2,0,0
0.532207098,80,0,0.248986212,1232.0,2,0,0,0,0
0.03079824,53,0,0.084143024,5145.0,5,0,0,0,0
0.71314741,25,0,0.144663334,3400.0,2,2,0,1,0
0.841999749,44,0,0.528975429,4313.0,8,0,1,0,1
0.839231219,43,0,0.304188424,9000.0,8,0,1,0,4
0.336385973,38,0,0.383830542,18033.0,15,0,3,0,0
0.44782388,53,0,0.801211109,4788.0,8,0,2,0,4
0.999750062,46,3,0.855609034,2700.0,18,0,1,1,1
0.9999999,50,0,0.283663705,2925.0,1,1,1,0,0
0.680935812,47,0,0.982668977,7500.0,16,0,1,0,1
0.0,31,0,0.350680071,1690.0,7,0,0,0,0
0.0,61,0,0.191150863,12633.0,8,0,3,0,1
0.786220687,35,1,0.374363188,6084.0,11,1,1,1,3
0.102513808,64,0,0.586863317,5830.0,13,0,3,0,0
0.915394707,58,2,0.603046775,14900.0,14,0,6,0,0
0.807245438,56,0,0.292312996,2900.0,11,0,0,0,0
0.019856699,65,0,0.574960547,1900.0,10,0,1,0,0
0.834105426,38,0,0.385472466,14000.0,7,0,1,0,3
0.736888723,50,0,0.571317225,8980.0,10,0,2,1,2
0.403155011,67,1,0.188452887,4000.0,4,0,0,0,1
0.381407747,55,0,0.514979196,14419.0,24,0,3,0,0
0.629903092,32,0,1.170552965,1500.0,6,0,1,0,0
0.0,36,0,0.093591215,6100.0,3,0,0,0,4
0.741505663,43,2,0.182833217,5731.0,11,0,0,1,1
0.775522569,32,1,0.129103188,6366.0,5,1,0,0,1
0.017115672,73,0,0.014794082,2500.0,4,0,0,0,0
0.9999999,30,0,0.012239021,8333.0,1,0,0,0,0
0.990016639,51,2,0.085639687,3829.0,2,1,1,1,1
0.032430043,80,0,0.00777605,4500.0,5,0,0,0,0
0.251441135,49,0,0.282137456,5950.0,12,0,1,0,1
1.566866267,21,1,0.037533512,1118.0,4,0,0,0,0
0.906145847,36,0,0.493196334,3600.0,5,0,2,0,0
0.735092824,71,1,0.236391913,4500.0,6,1,0,0,0
0.632935261,33,0,0.7421981,3684.0,8,3,1,0,1
0.626091097,30,1,0.0256917,4553.0,3,0,0,0,0
0.9999999,23,0,0.0,2870.0,0,0,0,0,0
0.525056449,61,2,0.244397388,5666.0,5,1,0,0,1
0.067568787,91,0,0.017757159,6250.0,4,0,0,0,0
0.556387748,35,0,0.328483085,2748.0,6,0,0,0,0
0.022091951,52,0,0.325107716,5105.0,17,0,1,0,0
0.378257632,55,2,0.4,5699.0,7,0,1,0,0
1.034786086,25,0,0.077961019,2000.0,4,0,0,0,0
0.417186417,42,0,0.454432911,10500.0,15,0,1,0,2
0.091155922,39,0,0.447712691,12000.0,10,0,2,0,2
0.162160796,38,0,0.481666147,9626.0,12,0,3,0,1
0.22923514,47,0,0.126803341,3950.0,8,0,0,0,0
0.99160112,32,0,0.234423408,2904.0,8,0,0,0,0
0.560338081,58,1,0.502351224,6166.0,21,0,1,1,0
0.052094791,68,0,0.002678093,5600.0,5,0,0,0,0
0.291916804,46,0,526.0,0.0,12,0,0,0,5
0.0,80,0,0.0,3700.0,7,0,0,0,0
0.001184954,53,0,0.128146453,10050.0,11,0,1,0,0
0.890772307,40,1,1.102120536,3583.0,12,0,3,0,2
0.02296768,77,2,0.014996251,4000.0,11,0,0,1,0
0.651937559,49,2,0.569649123,11399.0,26,0,4,0,0
0.178620491,64,0,0.041489628,4000.0,10,0,0,0,2
0.846307385,47,0,0.192935688,3000.0,3,0,0,0,0
0.517804693,34,0,0.154316187,9000.0,9,0,1,0,1
0.176401627,36,0,0.081654806,8290.0,8,0,0,0,2
0.0,54,0,0.340385092,12100.0,10,0,2,0,1
0.9999999,35,0,0.145849617,6396.0,5,2,0,1,4
0.080654744,67,0,0.52790626,3242.0,22,0,1,0,0
0.220807155,58,2,725.0,0.0,14,0,0,1,1
0.199667221,29,1,0.067893211,10000.0,5,3,0,0,2
0.9999999,32,1,0.451824818,2739.0,2,1,1,0,2
0.9999999,62,2,0.144923077,6499.0,2,2,0,1,0
0.010942277,60,0,0.582382874,5698.0,17,0,2,0,0
0.081091891,29,1,0.005440943,4410.0,3,0,0,0,0
0.039285313,62,0,0.17820882,6598.0,8,0,1,0,1
0.396180542,82,1,0.40874036,3500.0,5,0,0,1,0
0.169751783,56,0,0.302715699,18300.0,6,0,1,0,0
0.477193525,53,5,0.311768039,10587.0,11,0,1,1,0
0.034377314,85,0,0.054740406,1771.0,18,0,0,0,0
0.638994092,47,1,0.3946009,6000.0,3,2,1,0,2
0.02322768,48,0,0.184714328,6685.0,13,0,0,0,0
0.429785107,39,3,0.334583244,9333.0,11,1,1,0,2
0.041647698,67,0,0.208115335,8600.0,8,0,1,0,0
1.037584966,42,2,0.599111829,2476.0,3,0,0,3,2
0.891621676,48,0,0.429708779,4772.0,5,0,1,0,2
0.577600659,47,0,1.035519639,5320.0,14,0,3,0,1
0.025857734,59,0,0.605872388,7083.0,19,0,1,0,0
0.085941332,50,0,3740.0,0.0,11,0,2,0,1
0.001825928,67,0,0.0,3600.0,3,0,0,0,0
0.14183701,48,0,0.17868281,5450.0,13,0,0,0,1
0.9999999,50,2,0.140821459,2385.0,1,0,0,0,2
0.062975493,65,0,0.02519748,10000.0,14,0,1,0,0
0.028589227,71,0,0.002063328,12600.0,5,0,0,0,0
0.830845483,55,0,0.2909007,13000.0,22,0,2,0,0
0.97569757,30,1,0.015492254,2000.0,3,0,0,0,0
0.15666688,71,0,0.438818565,3080.0,8,0,0,0,0
0.00643599,67,0,0.229471316,8000.0,16,0,1,0,0
0.18085461,53,0,0.049782695,2530.0,4,0,0,0,3
0.9999999,39,0,0.35254915,3000.0,3,0,1,0,1
0.069388979,56,0,0.137938645,4530.0,10,0,1,0,0
0.288210109,65,0,0.074981255,4000.0,3,0,0,0,0
0.416652301,40,0,0.29726997,1977.0,6,0,0,0,2
0.9999999,37,0,0.377631696,11256.0,11,0,2,0,1
0.695381898,61,3,0.656663907,4831.0,17,0,2,2,0
0.288108449,78,0,0.361340021,5581.0,15,0,1,0,0
0.0,56,0,1476.5,1.0,6,0,1,0,0
1.026993252,53,3,0.265767344,5707.0,21,1,0,1,1
0.088432877,58,1,0.644974566,5700.0,19,0,1,0,2
1.03986711,38,4,0.101004464,14335.0,5,2,0,1,3
0.922505535,45,0,0.501614046,12700.0,11,0,4,0,1
0.035872758,69,0,0.006797281,2500.0,1,0,0,0,0
0.315238751,91,1,0.519949601,16666.0,28,0,0,0,0
0.029836632,52,0,0.165931611,17458.0,12,0,1,0,0
0.9999999,39,0,1.436489607,1298.0,8,0,1,0,2
0.9999999,23,0,0.007495315,1600.0,0,1,0,0,0
0.670401156,54,1,0.308615231,6000.0,4,0,1,0,2
1.010679546,85,2,0.221926025,3000.0,10,2,0,0,0
0.002879539,55,1,0.116702477,8842.0,12,0,0,0,1
0.8732507,44,0,0.021000763,51140.0,7,2,1,0,3
0.107580557,56,0,0.405998696,4600.0,13,0,2,0,3
0.329111393,37,1,0.643178411,2000.0,6,0,1,1,1
0.9999999,55,0,0.046990602,5000.0,1,0,0,0,0
0.9999999,46,0,0.302480563,2700.0,5,1,0,0,1
0.332711121,68,0,0.831230726,7133.0,14,0,2,0,1
0.85618493,39,0,0.357607065,6000.0,4,0,2,0,0
0.167200835,49,0,0.458063757,8500.0,21,0,1,0,2
1.15942029,36,0,0.013664389,6000.0,1,2,0,0,1
0.537157027,49,2,0.520729175,13000.0,10,0,1,0,1
1.832335329,56,0,38.0,0.0,0,1,0,0,0
0.498233451,31,0,0.471023884,5400.0,9,0,1,0,0
0.035761785,77,0,0.484848485,1154.0,8,0,0,0,0
