RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.40919885,32,3,0.280241935,2479.0,7,1,0,1,1
0.41686573,29,0,0.182063587,3333.0,6,0,0,0,0
0.286670256,39,0,0.488145049,3584.0,9,0,1,0,3
0.824691932,41,2,0.717588254,3200.0,5,0,1,0,3
0.825995001,57,2,0.443012664,4500.0,14,0,1,0,0
0.9999999,30,0,0.053982006,3000.0,2,7,0,0,1
0.0,29,2,0.491868835,3750.0,4,1,0,1,0
0.034465324,50,0,0.378210439,4827.0,4,0,1,0,0
0.9999999,37,0,0.085646888,5510.0,2,0,0,0,1
0.9999999,51,0,0.008796481,2500.0,0,1,0,0,4
0.056945292,26,0,0.161723657,5731.0,7,0,0,0,0
0.030544066,81,0,0.008643042,2313.0,2,0,0,0,0
0.99366952,50,4,0.658555487,6451.0,5,0,1,0,1
0.173046657,62,0,0.24120479,8100.0,8,0,1,0,0
0.002781775,63,1,0.394614387,13108.0,13,0,5,0,0
0.078122966,46,1,0.159613462,3000.0,7,0,0,0,0
0.9999999,27,2,0.275329396,2200.0,3,0,0,1,0
0.065089125,74,0,0.144088245,2900.0,4,0,0,0,1
1.287356322,34,1,0.140388769,4166.0,5,0,0,0,4
0.01347333,63,0,0.293514483,3900.0,9,0,1,0,0
0.48005294,57,1,0.117505583,5820.0,9,0,0,0,0
0.419177029,40,0,0.823050847,1474.0,6,1,1,0,2
0.882193232,46,0,1.063873911,2410.0,16,0,2,0,0
0.799640072,48,4,0.215556779,5450.0,8,0,2,2,3
0.38563298,28,2,0.126919386,4167.0,5,0,0,0,1
0.9999999,47,1,0.130455986,4100.0,4,0,1,1,2
0.02102914,43,0,0.170775171,3366.0,3,0,1,0,2
0.087043712,68,0,0.037984806,2500.0,5,0,0,0,0
0.303710287,36,1,0.509619755,6600.0,5,9,1,1,2
0.349991139,59,1,1.272291084,2500.0,14,1,1,0,0
0.09914542,59,2,0.30308417,11250.0,9,0,2,0,2
0.894282879,34,0,0.244787204,3500.0,5,0,0,0,1
0.783845062,47,3,0.501487952,10416.0,14,0,1,0,0
0.013727154,71,4,0.001879935,7978.0,18,2,0,0,0
0.082117652,68,0,0.026394721,5000.0,6,0,0,0,1
0.087869078,44,0,1.10010587,8500.0,17,0,4,0,0
1.00419958,56,0,0.766327396,2357.0,6,1,1,0,0
0.954914167,38,1,0.483375959,2736.0,4,2,1,2,0
0.0,62,0,1.017585931,1250.0,7,0,3,0,0
0.115588547,42,0,0.340585506,6250.0,6,0,2,0,0
0.0,50,0,0.0,5250.0,4,0,0,0,1
0.9999999,34,0,0.020349875,2800.0,0,0,0,0,4
2120.0,56,2,0.723538231,3334.0,3,0,1,0,1
