x1,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
220000.0,28,0.0,0.0,0.0,0.0,0.0,0.0,59247.0,60200.0,60360.0,61168.0,57287.0,62208.0,6000.0,3037.0,4000.0,4000.0,15000.0,3000.0
130000.0,44,2.0,2.0,2.0,2.0,0.0,0.0,112570.0,109131.0,118539.0,115029.0,115793.0,118335.0,0.0,11323.0,0.0,4294.0,4700.0,4260.0
20000.0,24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,440.0,4023.0,440.0,440.0,440.0,440.0,4023.0,440.0,440.0,440.0,440.0,440.0
50000.0,42,0.0,0.0,0.0,0.0,0.0,0.0,51521.0,46015.0,15057.0,19825.0,4264.0,3690.0,1451.0,13609.0,13327.0,250.0,1000.0,700.0
240000.0,37,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190000.0,28,0.0,0.0,0.0,0.0,0.0,0.0,46923.0,48666.0,49347.0,50386.0,43883.0,34412.0,2500.0,2000.0,3000.0,2000.0,2000.0,2000.0
100000.0,40,2.0,0.0,0.0,2.0,2.0,2.0,40626.0,41945.0,45247.0,45208.0,46160.0,48268.0,2000.0,4000.0,1000.0,2000.0,3000.0,0.0
120000.0,38,0.0,0.0,0.0,0.0,0.0,0.0,118016.0,117738.0,120127.0,119719.0,118042.0,120682.0,5720.0,5820.0,5670.0,4250.0,4450.0,4470.0
220000.0,29,2.0,2.0,2.0,2.0,2.0,2.0,124820.0,126740.0,121910.0,89608.0,53535.0,36312.0,6300.0,0.0,6000.0,2500.0,0.0,1500.0
80000.0,59,0.0,0.0,0.0,0.0,0.0,0.0,78651.0,80199.0,82036.0,82031.0,81535.0,81586.0,3454.0,3725.0,3722.0,3228.0,3281.0,3374.0
180000.0,29,0.0,0.0,0.0,2.0,0.0,0.0,172271.0,179760.0,180488.0,142201.0,141826.0,125974.0,11600.0,9635.0,0.0,5245.0,5172.0,3726.0
200000.0,32,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,47244.0,92754.0,57928.0,523.0,223.0,7037.0,62330.0,57928.0,523.0,223.0,7037.0,11000.0
140000.0,30,0.0,0.0,2.0,4.0,3.0,2.0,106298.0,111040.0,122612.0,120270.0,118091.0,122963.0,6451.0,15000.0,1100.0,0.0,7000.0,0.0
350000.0,33,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,10900.0,10478.0,-22.0,-22.0,-22.0,4532.0,10530.0,0.0,0.0,0.0,4554.0,0.0
