x1,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
260000.0,35,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-7.0,-7.0,2493.0,2290.0,432.0,0.0,0.0,2507.0,2297.0,432.0,0.0,649.0
60000.0,32,1.0,2.0,0.0,0.0,0.0,2.0,17992.0,17405.0,18619.0,19636.0,20326.0,21534.0,0.0,1500.0,1328.0,1018.0,1687.0,778.0
230000.0,40,0.0,0.0,0.0,0.0,0.0,0.0,87162.0,88801.0,87972.0,57846.0,57798.0,52071.0,4293.0,3000.0,1928.0,2000.0,2500.0,2000.0
150000.0,43,0.0,0.0,0.0,0.0,0.0,0.0,18308.0,19973.0,21000.0,22013.0,22449.0,22922.0,1973.0,1353.0,1366.0,802.0,833.0,837.0
50000.0,48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,0.0
100000.0,32,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,1876.0,9814.0,6690.0,1196.0,416.0,620.0,9814.0,443.0,1196.0,2080.0,620.0,928.0
90000.0,32,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,323.0,0.0,2520.0,1651.0,0.0,323.0,0.0,2520.0,1651.0,0.0,0.0
30000.0,27,0.0,0.0,0.0,-2.0,-2.0,-2.0,3415.0,4330.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0
300000.0,38,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130000.0,56,0.0,0.0,0.0,0.0,0.0,0.0,33928.0,35356.0,36782.0,31309.0,32480.0,33953.0,2000.0,2000.0,2000.0,2000.0,2000.0,3000.0
210000.0,39,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,44100.0,0.0,28428.0,0.0,0.0,12000.0,0.0,28428.0,0.0,0.0,12000.0,33664.0
70000.0,26,3.0,2.0,2.0,2.0,2.0,2.0,49201.0,48134.0,52431.0,52479.0,53345.0,52333.0,0.0,5100.0,2000.0,2000.0,0.0,4046.0
200000.0,26,-1.0,0.0,0.0,0.0,0.0,0.0,32938.0,25985.0,19496.0,16104.0,28666.0,18215.0,3000.0,1241.0,5000.0,16831.0,1000.0,1000.0
180000.0,32,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2196.0,396.0,392.0,1592.0,1304.0,8.0,396.0,392.0,1596.0,1308.0,0.0,2218.0
