date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer
0.446662,1,0.234043,0.0269,0.288456,0.001639,0.279389,0.765789
1.0,1,0.617021,0.077369,0.46742,0.005199,0.530813,0.407456
0.460732,6,0.255319,0.029693,0.189229,0.002034,0.168566,0.382018
0.013053,4,0.87234,0.041582,0.546266,0.003467,0.422915,0.414912
0.442945,0,0.702128,0.047016,0.421154,0.003118,0.251683,0.637281
0.465599,4,0.468085,0.05299,0.53615,0.003681,0.487312,0.344298
0.867086,0,0.12766,0.023448,0.056531,0.001575,0.085189,0.693421
0.88912,2,0.744681,0.044884,0.741297,0.003108,0.753496,0.272368
0.880404,0,0.680851,0.035427,0.340524,0.002181,0.222941,0.756579
0.877085,1,0.93617,0.034076,0.457602,0.002322,0.327033,0.380263
0.451352,2,0.893617,0.03993,0.5723,0.002381,0.492491,0.714912
0.867838,3,0.297872,0.027981,0.474412,0.00085,0.488348,0.684649
0.438255,5,0.957447,0.048337,0.325647,0.003467,0.422915,0.414912
0.893677,4,0.553191,0.028852,0.492264,0.002048,0.613154,0.248246
0.907393,4,0.93617,0.053441,0.433799,0.003727,0.417141,0.435088
0.9035,0,0.829787,0.041882,0.377715,0.002744,0.321595,0.705263
0.45613,6,0.276596,0.025459,0.306456,0.001336,0.261264,0.809649
0.45113,4,0.021277,0.040531,0.54701,0.00268,0.467374,0.560088
0.000398,3,0.212766,0.081122,0.199494,0.003467,0.422915,0.414912
0.889872,5,0.553191,0.060166,0.589854,0.004258,0.698861,0.181579
0.87182,3,0.319149,0.02687,0.509521,0.001712,0.593216,0.663158
0.451396,3,0.93617,0.041371,0.637905,0.002235,0.487053,0.671053
0.89912,5,0.787234,0.085805,0.648468,0.005806,0.597877,0.382018
0.903544,1,0.255319,0.058725,0.299762,0.002732,0.189021,0.809649
0.889828,4,0.659574,0.028462,0.555638,0.002021,0.625583,0.248684
0.465333,5,0.255319,0.027801,0.30363,0.00178,0.284309,0.587281
0.474271,5,0.659574,0.030473,0.355549,0.002034,0.114448,0.834211
0.031547,4,0.319149,0.057314,0.442279,0.003467,0.422915,0.414912
0.031857,4,0.510638,0.056923,0.259447,0.003467,0.422915,0.414912
0.009557,1,0.531915,0.041642,0.556828,0.003467,0.422915,0.414912
0.004911,1,0.319149,0.090729,0.603541,0.003467,0.422915,0.414912
0.018185,2,0.680851,0.046866,0.469801,0.003467,0.422915,0.414912
0.446662,1,0.851064,0.074577,0.671973,0.004967,0.571983,0.58114
0.031636,6,0.297872,0.077819,0.20485,0.003467,0.422915,0.414912
0.456794,0,0.531915,0.029723,0.330705,0.001566,0.232522,0.750877
0.460068,5,0.212766,0.029723,0.213924,0.002015,0.249353,0.563596
0.442812,4,0.12766,0.042632,0.221958,0.002792,0.265148,0.721491
0.434317,6,0.617021,0.06542,0.295745,0.003467,0.422915,0.414912
0.022787,1,0.574468,0.09217,0.458643,0.003467,0.422915,0.414912
0.017477,0,0.851064,0.123244,0.607557,0.003467,0.422915,0.414912
0.447591,1,0.978723,0.046235,0.59759,0.002995,0.479026,0.501316
0.469139,1,0.893617,0.029152,0.38069,0.00194,0.304247,0.572368
0.452325,3,0.744681,0.03921,0.803035,0.002565,0.718281,0.465351
0.018274,4,0.170213,0.062027,0.135971,0.003467,0.422915,0.414912
0.004159,5,0.595745,0.043983,0.30839,0.003467,0.422915,0.414912
0.0273,6,1.0,0.074817,0.248884,0.003467,0.422915,0.414912
0.474492,3,0.425532,0.050949,0.458346,0.003454,0.329881,0.490351
0.46082,1,0.319149,0.043983,0.505058,0.003068,0.402382,0.138158
0.906818,5,0.276596,0.044013,0.3554,0.002991,0.285862,0.486842
0.004557,0,0.787234,0.152516,0.663344,0.003467,0.422915,0.414912
0.442901,6,0.638298,0.046175,0.344094,0.003066,0.251942,0.632018
0.442326,0,0.297872,0.03993,0.136715,0.000974,0.044019,0.500526
0.460599,3,0.723404,0.030623,0.551324,0.002079,0.488089,0.540351
0.425247,5,0.829787,0.074727,0.320292,0.003467,0.422915,0.414912
0.911597,2,0.425532,0.054882,0.529009,0.003646,0.575091,0.448684
0.881067,1,0.021277,0.028732,0.24695,0.001647,0.283273,0.849123
0.907172,6,0.638298,0.074787,0.334424,0.004817,0.318747,0.74693
0.885049,0,0.148936,0.029512,0.1446,0.001926,0.282755,0.602632
0.000487,5,0.468085,0.084544,0.420857,0.003467,0.422915,0.414912
0.451838,6,0.382979,0.038459,0.682832,0.002528,0.435267,0.560965
0.881023,0,0.489362,0.029242,0.324159,0.000839,0.225013,0.59693
0.907836,0,0.808511,0.043803,0.399286,0.002933,0.343863,0.541667
0.876775,1,0.0,0.02639,0.271348,0.001672,0.27913,0.832456
0.017964,4,0.148936,0.062027,0.205147,0.003467,0.422915,0.414912
0.876289,4,0.659574,0.031164,0.668105,0.01914,0.991196,0.115351
0.469404,0,0.148936,0.023868,0.067242,0.001587,0.132574,0.619298
0.424627,5,0.978723,0.058394,0.253198,0.003467,0.422915,0.414912
0.87682,2,0.0,0.028432,0.372211,0.001809,0.324702,0.715789
0.018362,6,0.148936,0.05221,0.096102,0.003467,0.422915,0.414912
0.433521,2,0.106383,0.043053,0.152633,0.003467,0.422915,0.414912
0.013141,6,0.276596,0.041281,0.150699,0.003467,0.422915,0.414912
0.867086,0,0.191489,0.024168,0.066647,0.001618,0.051528,0.727632
0.013274,2,0.702128,0.088567,0.530497,0.003467,0.422915,0.414912
0.429804,4,0.042553,0.049838,0.257215,0.003467,0.422915,0.414912
0.460599,3,0.340426,0.036718,0.517257,0.002499,0.585448,0.395614
0.889385,1,0.787234,0.081272,0.640583,0.005436,0.503625,0.643421
0.908013,4,0.978723,0.078269,0.474859,0.005299,0.416106,0.501754
0.424848,3,0.574468,0.062447,0.43008,0.003467,0.422915,0.414912
0.017654,4,0.553191,0.06644,0.476049,0.003467,0.422915,0.414912
0.026547,3,0.978723,0.10475,0.433502,0.003467,0.422915,0.414912
0.000487,5,0.489362,0.084364,0.405088,0.003467,0.422915,0.414912
0.013495,0,0.489362,0.051759,0.551324,0.003467,0.422915,0.414912
0.425247,5,0.12766,0.062748,0.099524,0.003467,0.422915,0.414912
0.456794,0,0.276596,0.021166,0.164981,0.001047,0.143449,0.900877
0.903234,1,1.0,0.088297,0.47114,0.005879,0.489902,0.539474
0.907924,2,0.12766,0.042512,0.166022,0.002823,0.293112,0.562719
0.473652,5,0.617021,0.028792,0.616037,0.001932,0.623252,0.406579
0.425379,1,0.638298,0.119731,0.636418,0.003467,0.422915,0.414912
0.027388,1,0.808511,0.05245,0.440643,0.003467,0.422915,0.414912
0.868236,5,0.212766,0.028852,0.303332,0.001597,0.335836,0.855263
0.871731,3,1.0,0.07953,0.4759,0.005249,0.509322,0.567544
0.469979,6,0.06383,0.030924,0.191907,0.002121,0.299586,0.428947
0.894739,3,0.148936,0.077609,0.314936,0.004967,0.438115,0.730702
0.433742,0,0.446809,0.07866,0.533175,0.003467,0.422915,0.414912
0.460378,5,0.0,0.043293,0.492115,0.002979,0.455722,0.339035
0.880404,0,0.851064,0.038369,0.371764,0.002455,0.334283,0.705263
0.433388,6,0.085106,0.040801,0.092681,0.003467,0.422915,0.414912
0.013053,4,0.361702,0.041582,0.593871,0.003467,0.422915,0.414912
0.91173,5,0.638298,0.049628,0.524993,0.003342,0.569394,0.389035
0.898943,1,0.234043,0.05209,0.282059,0.003384,0.340497,0.631579
0.008672,2,0.170213,0.042272,0.22776,0.003467,0.422915,0.414912
0.477988,1,0.319149,0.03921,0.419369,0.002738,0.413257,0.204825
0.87213,3,0.574468,0.028822,0.534514,0.001874,0.610823,0.607018
0.424981,6,0.255319,0.069623,0.082416,0.003467,0.422915,0.414912
0.894031,1,0.553191,0.075898,0.641625,0.005012,0.711807,0.475439
0.018627,5,0.0,0.053981,0.431419,0.003467,0.422915,0.414912
0.014336,5,0.829787,0.108863,0.585986,0.003467,0.422915,0.414912
0.474094,1,0.659574,0.070163,0.695031,0.004749,0.432936,0.630263
0.443432,4,0.957447,0.043473,0.506397,0.00291,0.44174,0.590351
0.031769,2,0.978723,0.070644,0.224636,0.003467,0.422915,0.414912
0.907216,0,0.744681,0.062357,0.34335,0.004188,0.410668,0.501316
0.90704,3,0.553191,0.070373,0.47114,0.004834,0.688503,0.274561
0.429981,1,0.361702,0.097364,0.602946,0.003467,0.422915,0.414912
0.871599,5,0.468085,0.034316,0.692502,0.002275,0.61885,0.549561
0.868015,0,0.787234,0.028612,0.287414,0.000841,0.218799,0.858333
0.903323,3,0.680851,0.06536,0.493752,0.004057,0.525634,0.42807
0.438609,6,0.276596,0.048037,0.122285,0.003467,0.422915,0.414912
0.867572,4,0.234043,0.035367,0.344243,0.001701,0.339979,0.774561
0.47374,0,0.851064,0.035307,0.389616,0.002202,0.2913,0.76886
0.872307,0,0.425532,0.029362,0.352722,0.000823,0.226308,0.841667
0.872351,1,0.553191,0.027621,0.558316,0.001701,0.559296,0.801316
0.897969,0,0.276596,0.063468,0.269563,0.002019,0.21854,0.816228
0.017875,2,0.468085,0.082293,0.490925,0.003467,0.422915,0.414912
0.013185,0,0.06383,0.040801,0.265248,0.003467,0.422915,0.414912
0.022123,0,0.468085,0.081542,0.322672,0.003467,0.422915,0.414912
0.03137,0,0.12766,0.040351,0.097888,0.003467,0.422915,0.414912
0.031415,1,0.914894,0.074817,0.394972,0.003467,0.422915,0.414912
0.468829,1,0.510638,0.034646,0.500298,0.002339,0.308389,0.459211
0.018097,0,0.404255,0.093821,0.539274,0.003467,0.422915,0.414912
