date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer
0.474271,5,0.255319,0.021676,0.084647,0.000976,0.039876,0.903509
0.026636,5,0.702128,0.050498,0.312705,0.003467,0.422915,0.414912
0.027565,5,0.638298,0.077489,0.309729,0.003467,0.422915,0.414912
0.877085,1,0.06383,0.035967,0.212437,0.002435,0.269808,0.382018
0.898589,0,0.680851,0.090999,0.526927,0.005083,0.27188,0.842105
0.46113,1,0.510638,0.031134,0.469354,0.002115,0.451062,0.357018
0.880536,3,0.680851,0.03975,0.6205,0.002713,0.54376,0.389035
0.455865,0,0.787234,0.036057,0.697263,0.002391,0.459865,0.728947
0.452104,5,0.723404,0.033626,0.608747,0.002254,0.535992,0.364912
0.022034,5,0.702128,0.060046,0.273431,0.003467,0.422915,0.414912
0.456175,0,0.808511,0.032245,0.477536,0.002127,0.435008,0.710088
0.986594,4,0.787234,0.076888,0.693544,0.005172,0.647074,0.389912
0.438388,1,0.489362,0.061727,0.513984,0.003467,0.422915,0.414912
0.027388,1,0.93617,0.074817,0.414311,0.003467,0.422915,0.414912
0.468917,3,0.382979,0.054191,0.536001,0.003685,0.455981,0.347807
0.872262,6,0.553191,0.034196,0.395864,0.002075,0.316157,0.851316
0.907482,6,0.170213,0.042933,0.126004,0.002889,0.182807,0.534211
0.894429,3,0.12766,0.059145,0.318209,0.003828,0.401864,0.668421
0.885271,5,0.851064,0.029092,0.481553,0.001973,0.462455,0.437281
0.438343,0,0.914894,0.049898,0.3615,0.003467,0.422915,0.414912
0.885271,5,0.021277,0.032815,0.464891,0.002169,0.340238,0.558772
0.009513,0,0.914894,0.041582,0.571407,0.003467,0.422915,0.414912
0.424583,4,0.617021,0.082713,0.396757,0.003467,0.422915,0.414912
0.447016,2,0.595745,0.054972,0.526629,0.004238,0.588037,0.234649
0.872395,2,0.212766,0.030203,0.305118,0.001863,0.343863,0.804825
0.89027,0,0.191489,0.018464,0.172121,0.001203,0.296996,0.78114
0.451971,2,0.06383,0.049358,0.508628,0.003344,0.469705,0.60614
0.433698,6,0.914894,0.045034,0.281166,0.003467,0.422915,0.414912
0.890005,1,0.191489,0.0266,0.184023,0.001722,0.310202,0.677632
0.474404,1,0.021277,0.025159,0.145939,0.001693,0.152771,0.700877
0.464714,5,0.106383,0.027381,0.218387,0.001849,0.265665,0.538596
0.017566,2,0.93617,0.088507,0.491967,0.003467,0.422915,0.414912
0.425025,0,0.468085,0.075868,0.458792,0.003467,0.422915,0.414912
0.447724,4,0.106383,0.019815,0.367301,0.001095,0.399016,0.765789
0.473652,5,0.297872,0.02642,0.487652,0.001766,0.574055,0.550439
0.902748,4,0.765957,0.088387,0.610979,0.00586,0.655878,0.456579
0.429848,5,0.744681,0.101447,0.493008,0.003467,0.422915,0.414912
0.880934,5,0.404255,0.028402,0.507587,0.001899,0.511652,0.628947
0.464537,1,0.617021,0.071544,0.283249,0.004811,0.460383,0.464474
0.442414,2,0.042553,0.067101,0.37593,0.004863,0.389953,0.500526
0.434273,5,0.319149,0.051039,0.378905,0.003467,0.422915,0.414912
0.903013,3,0.06383,0.097424,0.399435,0.006577,0.524858,0.42193
0.030839,2,0.914894,0.114957,0.419369,0.003467,0.422915,0.414912
0.894651,1,0.93617,0.070614,0.620649,0.004375,0.490419,0.55307
0.424539,3,0.957447,0.059865,0.334871,0.003467,0.422915,0.414912
0.009159,6,0.319149,0.082263,0.326391,0.003467,0.422915,0.414912
0.881333,0,0.12766,0.028942,0.098185,0.00144,0.241844,0.651754
0.876421,0,0.382979,0.028582,0.357483,0.000569,0.23537,0.857018
0.447724,4,0.531915,0.043233,0.638798,0.003039,0.616779,0.263158
0.90757,1,0.234043,0.036298,0.218982,0.002389,0.217504,0.615789
0.438034,0,0.851064,0.073136,0.452544,0.003467,0.422915,0.414912
0.026503,2,0.595745,0.05221,0.430378,0.003467,0.422915,0.414912
0.451617,1,0.06383,0.04002,0.336805,0.002636,0.44407,0.744298
0.013583,2,0.702128,0.074727,0.477983,0.003467,0.422915,0.414912
0.911287,2,0.170213,0.035697,0.200387,0.002287,0.197566,0.793421
0.907261,1,0.744681,0.162604,0.505356,0.010704,0.724495,0.436842
0.026371,6,0.723404,0.083373,0.289051,0.003467,0.422915,0.414912
0.460688,5,0.787234,0.281734,0.631806,0.019291,0.550492,0.200439
0.912128,0,0.361702,0.043803,0.364921,0.002871,0.253237,0.695614
0.433963,5,0.787234,0.05299,0.354954,0.003467,0.422915,0.414912
0.021857,1,0.446809,0.107151,0.515472,0.003467,0.422915,0.414912
0.872262,6,0.808511,0.029392,0.370723,0.001371,0.283791,0.835088
0.876952,5,0.87234,0.027111,0.353615,0.001826,0.340497,0.535965
0.013053,4,0.12766,0.064969,0.272538,0.003467,0.422915,0.414912
0.438166,3,0.957447,0.059475,0.43737,0.003467,0.422915,0.414912
0.474227,4,0.12766,0.020626,0.037043,0.001379,0.072501,0.775
0.451617,1,0.531915,0.03903,0.619607,0.002615,0.610047,0.489035
0.903234,1,0.404255,0.087426,0.56501,0.005854,0.553858,0.388158
0.424937,5,0.382979,0.07866,0.372806,0.003467,0.422915,0.414912
0.867307,2,0.510638,0.068722,0.502529,0.004574,0.549974,0.50614
0.903456,6,0.191489,0.035877,0.141327,0.001672,0.179441,0.860526
0.912349,5,0.255319,0.075387,0.426956,0.005172,0.553858,0.297807
0.004956,2,0.212766,0.056323,0.228057,0.003467,0.422915,0.414912
0.464316,3,0.12766,0.027321,0.202023,0.00182,0.278871,0.61886
0.899075,4,0.978723,0.093641,0.586433,0.006242,0.563956,0.525
0.008761,4,0.574468,0.10475,0.547456,0.003467,0.422915,0.414912
0.425645,0,0.021277,0.055242,0.153823,0.003467,0.422915,0.414912
0.455953,2,0.489362,0.05308,0.56873,0.003644,0.601761,0.329825
0.438697,1,0.297872,0.051759,0.386195,0.003467,0.422915,0.414912
0.452237,1,0.382979,0.037619,0.693395,0.002592,0.595287,0.385088
0.907924,2,0.851064,0.043773,0.455519,0.003002,0.535215,0.274561
0.456175,0,0.680851,0.024168,0.275811,0.000976,0.258933,0.708772
0.907128,5,0.510638,0.091329,0.489884,0.006186,0.632833,0.414912
