lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo
3857.0,124.0,159.0,119.0,119.0,219.0,93.409,213.5053,26.9258,64.7785,66.3871,119.0,119.0,0.0,119.0,0.2493,0.3553,0.0158,2,2
5297.0,159.0,119.0,159.0,159.0,278.0,179.2017,106.0189,129.0349,63.2317,67.9743,99.0,99.0,854.0,99.0,0.0798,0.1393,0.0072,7,6
8897.0,280.0,258.0,139.0,139.0,139.0,120.0521,826.4581,91.2688,33.738,49.3584,139.0,139.0,3717.0,139.0,0.1327,0.1327,0.0177,10,6
10802.0,333.0,80.0,239.0,239.0,179.0,410.9699,190.217,444.6234,40.0,36.8816,239.0,239.0,0.0,0.0,0.0215,0.082,0.0378,3,1
6022.0,178.0,238.0,139.0,139.0,139.0,184.5704,148.6556,165.339,14.3003,19.8116,139.0,139.0,0.0,0.0,0.0996,0.2561,0.0104,7,5
3903.0,125.0,139.0,199.0,199.0,179.0,81.8917,23.4361,123.7619,38.5,55.8055,199.0,199.0,338.0,358.0,0.1223,0.1753,0.0312,5,6
4746.0,146.0,139.0,219.0,378.0,159.0,182.5062,584.8216,187.2672,10.8167,116.0689,378.0,189.0,0.0,378.0,0.2226,0.3426,0.0431,3,8
20.0,1.0,298.0,179.0,179.0,318.0,314.0334,145.8124,397.5487,67.3146,94.5,219.0,219.0,0.0,0.0,0.1975,0.186,0.0286,3,1
7986.0,248.0,139.0,119.0,119.0,219.0,238.0137,818.4737,175.1028,58.2409,48.2312,119.0,119.0,0.0,0.0,0.3053,0.3283,0.0163,9,8
3115.0,95.0,0.0,379.0,558.0,219.0,0.0,421.4748,0.0,64.2573,195.1852,558.0,279.0,0.0,0.0,0.6921,0.6921,0.1015,1,1
10027.0,306.0,80.0,119.0,119.0,179.0,415.0976,407.939,404.0309,13.4629,30.7612,100.0,100.0,0.0,800.0,0.193,0.5105,0.0067,8,5
1086.0,33.0,239.0,119.0,119.0,99.0,575.8897,306.7544,631.3414,57.0351,60.7166,119.0,119.0,0.0,476.0,0.1224,0.0489,0.0156,9,1
7901.0,244.0,80.0,239.0,239.0,238.0,325.9149,126.5158,414.2511,86.419,85.5716,239.0,239.0,0.0,0.0,0.3218,0.3273,0.1074,3,1
5764.0,171.0,219.0,219.0,219.0,179.0,66.1154,137.5736,47.0425,21.5,21.0,219.0,219.0,0.0,0.0,0.102,0.0785,0.0221,2,3
60.0,2.0,239.0,179.0,179.0,179.0,176.7831,200.3578,34.7131,137.329,123.8275,179.0,179.0,0.0,0.0,0.1745,0.203,0.0167,6,2
1239.0,38.0,99.0,139.0,139.0,179.0,77.9647,595.0011,110.5712,64.562,65.8217,139.0,139.0,0.0,0.0,0.1693,0.1693,0.0213,10,1
1402.0,43.0,258.0,239.0,338.0,179.0,222.3044,312.5076,314.9254,131.9185,125.6234,80.0,80.0,834.0,0.0,0.2587,0.2322,0.0066,8,1
4996.0,153.0,159.0,318.0,537.0,159.0,282.1436,621.8957,286.4001,7.1063,119.2749,537.0,268.5,6143.0,0.0,0.1001,0.1771,0.0448,5,6
796.0,24.0,139.0,239.0,239.0,179.0,143.7228,122.2007,133.66,12.1655,11.7686,239.0,239.0,775.0,0.0,0.0296,0.0681,0.0264,3,5
4913.0,150.0,199.0,199.0,199.0,159.0,579.4588,236.3906,659.6302,87.9119,83.1895,159.0,159.0,278.0,0.0,0.0851,0.0996,0.0143,2,2
5647.0,167.0,298.0,139.0,139.0,99.0,121.064,53.5093,181.7058,57.3629,61.0328,139.0,139.0,0.0,0.0,0.125,0.125,0.0093,7,1
3784.0,121.0,0.0,179.0,179.0,358.0,0.0,255.5044,0.0,73.4864,63.1506,179.0,179.0,0.0,0.0,0.2108,0.2923,0.0539,4,1
1806.0,57.0,99.0,99.0,218.0,80.0,62.476,246.1229,90.7855,90.312,88.5,218.0,109.0,0.0,0.0,0.1563,0.2743,0.0243,7,2
2595.0,78.0,199.0,279.0,279.0,199.0,199.5902,353.5948,132.0,62.6139,72.9178,199.0,199.0,11655.0,4861.0,-1.322,0.319,0.005,6,2
7835.0,240.0,99.0,119.0,119.0,179.0,163.8429,0.0,140.6023,65.683,65.5934,159.0,159.0,0.0,159.0,-0.0404,-0.0404,0.0152,2,2
859.0,26.0,239.0,139.0,139.0,179.0,119.0,62.2294,35.805,86.6487,73.2888,139.0,139.0,0.0,0.0,0.0634,0.1039,0.0355,3,3
