lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo
6118.0,180.0,199.0,80.0,80.0,99.0,160.3753,214.5839,186.1317,40.9207,12.083,80.0,80.0,0.0,80.0,0.2576,0.3966,0.0077,8,2
3716.0,117.0,139.0,139.0,139.0,80.0,257.7518,29.5169,317.4161,51.7929,54.6923,139.0,139.0,0.0,0.0,0.3576,0.4406,0.0395,3,1
3100.0,94.0,638.0,319.0,319.0,379.0,160.2038,198.1161,136.8211,53.9004,54.811,319.0,319.0,0.0,0.0,1.5631,1.1616,0.0537,3,2
7845.0,241.0,219.0,159.0,159.0,179.0,75.3426,37.2726,115.434,80.5559,96.0469,159.0,159.0,0.0,0.0,0.2523,0.5383,0.0747,8,1
1332.0,42.0,179.0,80.0,80.0,179.0,221.009,751.6465,143.405,99.5301,100.0012,80.0,80.0,776.0,0.0,0.0272,0.0767,0.0085,1,6
10257.0,312.0,199.0,199.0,199.0,99.0,112.2074,233.0193,154.7773,69.2604,70.6134,199.0,199.0,0.0,0.0,0.0698,0.2118,0.0288,4,1
10087.0,308.0,139.0,179.0,179.0,179.0,50.1124,130.5996,112.5389,76.5065,62.518,179.0,179.0,0.0,179.0,-0.0108,0.0122,0.0192,5,1
1903.0,59.0,179.0,99.0,99.0,159.0,45.5439,68.6477,66.5733,44.1475,35.2278,99.0,99.0,0.0,0.0,0.2229,0.4009,0.0304,8,1
4296.0,135.0,119.0,99.0,357.0,139.0,610.6685,278.4044,698.149,89.8568,81.0015,398.0,398.0,1870.0,456.0,0.2655,0.27,0.0246,6,1
2569.0,78.0,219.0,179.0,179.0,259.0,103.0364,99.9025,55.3173,185.4973,175.7228,399.0,399.0,14824.0,3984.0,1.764,1.8775,0.0101,2,3
7216.0,221.0,80.0,139.0,139.0,100.0,267.4177,97.269,339.0767,69.0,70.8467,139.0,139.0,0.0,139.0,0.1916,0.0951,0.0314,3,1
2145.0,68.0,219.0,120.0,120.0,120.0,78.2768,429.7726,113.4372,16.5529,17.2699,120.0,120.0,0.0,0.0,2.3504,2.3504,0.0283,8,4
8047.0,250.0,298.0,179.0,179.0,179.0,102.5987,109.8692,96.566,56.648,49.0,179.0,179.0,0.0,0.0,0.0613,0.1718,0.0315,6,1
1410.0,43.0,159.0,179.0,179.0,80.0,98.256,550.3294,114.2016,46.8855,55.599,179.0,179.0,0.0,0.0,0.2322,0.2327,0.0148,7,1
4343.0,135.0,179.0,179.0,179.0,179.0,339.4971,289.7089,398.0013,67.3684,82.5379,139.0,139.0,0.0,596.0,0.084,0.2645,0.0086,2,1
4394.0,136.0,239.0,139.0,139.0,239.0,55.599,70.9102,71.7844,19.4743,22.6991,139.0,139.0,0.0,0.0,0.4992,0.5697,0.0052,8,2
2411.0,76.0,199.0,159.0,358.0,279.0,50.1597,105.6882,104.0048,31.9453,66.1381,358.0,179.0,0.0,0.0,0.8567,-0.1653,0.04,2,2
217.0,6.0,258.0,139.0,139.0,159.0,302.0348,88.459,357.7401,43.5029,56.1427,139.0,139.0,159.0,0.0,0.059,0.126,0.0187,6,2
5760.0,171.0,258.0,179.0,179.0,99.0,200.5006,53.1154,183.4475,26.9119,24.1506,179.0,179.0,0.0,0.0,0.06,0.122,0.018,1,5
8630.0,274.0,278.0,159.0,159.0,119.0,303.3752,305.3543,310.5382,17.7553,21.4767,159.0,159.0,0.0,0.0,0.2288,0.1748,0.0345,3,4
1937.0,61.0,80.0,99.0,99.0,80.0,117.0694,395.5114,165.2211,56.1894,62.0987,99.0,99.0,0.0,198.0,0.1439,0.2874,0.008,1,1
374.0,11.0,219.0,139.0,139.0,159.0,264.8971,280.7134,114.0175,148.5842,145.3109,139.0,139.0,0.0,278.0,-0.0176,0.0634,0.0128,1,2
7973.0,248.0,119.0,139.0,139.0,99.0,81.2527,59.0,157.6864,80.5761,68.9094,139.0,139.0,0.0,139.0,0.0128,0.2298,0.019,4,1
7775.0,240.0,0.0,99.0,99.0,119.0,0.0,329.5743,0.0,73.2888,70.1231,99.0,99.0,874.0,815.0,0.0441,0.1411,0.0094,2,1
7765.0,239.0,80.0,80.0,80.0,119.0,285.0439,95.7079,173.8333,107.2765,104.8821,99.0,99.0,595.0,537.0,0.1806,0.3861,0.0141,1,3
8495.0,268.0,139.0,258.0,258.0,80.0,300.0067,113.5892,252.2856,51.0392,49.7318,258.0,258.0,0.0,0.0,0.0642,0.1077,0.0598,1,8
4766.0,147.0,199.0,338.0,338.0,278.0,118.5591,106.0189,78.1089,46.0435,53.106,338.0,338.0,0.0,0.0,0.4881,0.4981,0.0766,6,2
4042.0,130.0,139.0,239.0,239.0,139.0,579.1032,171.5488,674.1409,95.0474,95.0118,239.0,239.0,0.0,0.0,0.2346,0.3241,0.022,6,1
4117.0,132.0,80.0,119.0,119.0,219.0,159.803,232.6209,129.3136,36.7865,39.3573,119.0,119.0,0.0,0.0,0.2595,0.4465,0.0141,9,3
8192.0,256.0,100.0,99.0,238.0,80.0,132.5943,77.9888,172.4094,57.9159,38.5032,238.0,119.0,0.0,0.0,0.3359,0.3554,0.0204,4,1
1864.0,58.0,159.0,139.0,139.0,139.0,210.5024,45.1221,207.4729,8.9443,7.3824,139.0,139.0,139.0,0.0,0.2029,0.4189,0.0211,8,4
8336.0,261.0,80.0,179.0,179.0,139.0,469.6408,97.8698,530.431,66.0984,57.1183,179.0,179.0,0.0,0.0,0.3704,0.2644,0.0292,2,1
6059.0,179.0,298.0,139.0,139.0,258.0,78.5255,67.7422,52.3259,40.0281,29.9541,139.0,139.0,397.0,139.0,0.1016,0.2841,0.0149,6,2
1764.0,55.0,99.0,179.0,179.0,99.0,55.5563,187.2385,121.1652,92.5,81.1865,219.0,219.0,318.0,0.0,0.2519,0.1079,0.0368,9,1
4727.0,146.0,119.0,219.0,219.0,259.0,154.4288,130.3467,216.1227,64.8845,41.1461,219.0,219.0,0.0,219.0,0.0606,0.1366,0.025,6,1
2613.0,78.0,199.0,339.0,339.0,179.0,369.3812,129.501,323.7484,55.509,36.7049,259.0,259.0,12432.0,1016.0,0.904,1.2395,0.0065,7,4
6711.0,200.0,99.0,99.0,99.0,99.0,787.0815,93.0658,816.5415,36.1179,41.0,99.0,99.0,278.0,0.0,0.029,0.1795,0.0219,8,1
7129.0,217.0,119.0,119.0,119.0,80.0,74.2428,1019.6304,123.1666,89.4343,84.6655,119.0,119.0,0.0,0.0,0.1901,0.1296,0.031,6,1
6793.0,203.0,139.0,179.0,179.0,119.0,174.4018,440.702,195.1666,46.7467,59.877,179.0,179.0,318.0,0.0,0.1154,0.2729,0.0184,9,4
8128.0,254.0,139.0,179.0,179.0,179.0,141.508,316.0775,65.2763,76.1052,93.0215,179.0,179.0,0.0,0.0,0.0874,0.2284,0.0353,2,2
2470.0,77.0,239.0,219.0,219.0,259.0,105.3767,253.5178,194.0953,97.8902,103.5857,219.0,219.0,0.0,0.0,-0.157,0.828,0.0193,7,1
679.0,22.0,80.0,179.0,179.0,298.0,189.6536,233.2349,135.0148,64.2515,69.694,179.0,179.0,0.0,1253.0,0.0791,0.1431,0.0107,1,3
8420.0,265.0,99.0,139.0,238.0,199.0,466.7574,281.5004,549.5489,85.213,31.4841,238.0,119.0,0.0,0.0,0.0307,0.2142,0.0499,2,1
4413.0,136.0,278.0,179.0,179.0,179.0,104.5108,120.1759,70.1142,46.5027,50.0025,278.0,278.0,457.0,278.0,0.2142,0.2142,0.0104,1,2
7110.0,216.0,80.0,179.0,179.0,179.0,116.1034,187.6306,112.2943,59.2558,50.01,139.0,139.0,775.0,0.0,0.0276,0.4381,0.0324,10,1
8399.0,264.0,219.0,199.0,199.0,219.0,296.2811,259.6137,323.3481,40.3051,39.6611,199.0,199.0,0.0,398.0,0.1682,0.1682,0.0449,3,3
10888.0,336.0,179.0,99.0,258.0,199.0,51.5388,177.1899,73.8241,25.632,35.7561,258.0,129.0,438.0,516.0,0.1315,0.1315,0.022,1,3
8124.0,254.0,219.0,139.0,139.0,179.0,111.2879,93.0121,34.2053,82.7647,87.0359,139.0,139.0,0.0,0.0,0.0464,0.2284,0.0274,1,3
1687.0,52.0,80.0,99.0,99.0,80.0,113.1923,142.0088,173.7613,76.5506,81.7435,139.0,139.0,616.0,0.0,0.0766,0.1696,0.0122,2,2
4619.0,143.0,239.0,199.0,199.0,139.0,165.339,128.1327,113.9517,52.0433,50.7568,199.0,199.0,0.0,0.0,0.2312,0.2312,0.0231,9,5
7506.0,229.0,278.0,199.0,199.0,99.0,148.3139,242.9532,94.2444,48.0104,64.9327,199.0,199.0,0.0,0.0,-0.0893,0.1212,0.0286,4,2
7255.0,222.0,199.0,119.0,119.0,179.0,223.4066,179.9472,265.3639,47.7546,40.5247,119.0,119.0,0.0,159.0,0.0228,0.0818,0.0151,9,1
6965.0,211.0,99.0,100.0,100.0,119.0,229.5545,331.7356,251.7956,27.5136,20.0062,100.0,100.0,0.0,0.0,-0.0232,0.2988,0.0514,3,3
9861.0,304.0,139.0,99.0,99.0,159.0,223.6096,122.5408,219.2282,2.0616,16.4012,99.0,99.0,278.0,0.0,0.1625,0.348,0.008,4,5
7063.0,215.0,199.0,139.0,338.0,80.0,310.7129,177.3083,341.7865,63.1506,63.0436,338.0,112.6667,0.0,338.0,0.2188,0.2583,0.0609,1,1
3865.0,124.0,99.0,99.0,99.0,139.0,140.0973,454.303,133.0601,15.0,42.0268,99.0,99.0,0.0,0.0,0.1338,0.1163,0.0132,6,4
4613.0,143.0,179.0,99.0,99.0,199.0,236.5021,469.3149,186.0672,50.2494,53.1272,99.0,99.0,0.0,0.0,0.2312,0.2777,0.0115,7,4
8383.0,263.0,119.0,119.0,536.0,179.0,259.3318,112.54,384.4268,143.3911,187.6499,477.0,159.0,0.0,0.0,0.2802,0.2802,0.1067,1,1
4283.0,135.0,199.0,199.0,199.0,159.0,159.3047,84.5931,114.7258,44.071,44.0,199.0,199.0,0.0,199.0,0.063,0.211,0.0123,7,2
1343.0,42.0,139.0,179.0,179.0,139.0,211.029,158.7278,132.0,79.6006,24.965,258.0,129.0,676.0,258.0,0.0957,0.1567,0.0275,5,6
7650.0,236.0,99.0,258.0,258.0,80.0,176.3434,87.6727,112.5389,73.5391,91.5601,258.0,258.0,0.0,0.0,0.2616,0.2326,0.0259,1,4
8812.0,279.0,0.0,139.0,139.0,179.0,0.0,275.055,0.0,108.5415,108.1134,139.0,139.0,0.0,0.0,0.0753,0.1288,0.0173,1,1
7839.0,241.0,80.0,80.0,80.0,119.0,220.0119,457.8398,157.0127,66.5451,82.1523,80.0,80.0,0.0,0.0,0.3498,0.2903,0.0376,2,2
4925.0,150.0,139.0,139.0,139.0,179.0,179.5341,80.7233,226.1084,61.7839,57.1686,139.0,139.0,0.0,139.0,0.0781,0.1196,0.0125,5,1
3870.0,124.0,139.0,159.0,159.0,159.0,188.9153,216.1926,140.4279,85.1029,106.265,159.0,159.0,0.0,0.0,0.0783,0.0978,0.0212,8,3
3263.0,99.0,139.0,298.0,298.0,139.0,273.9863,87.9233,319.5951,56.0022,63.0714,298.0,298.0,0.0,0.0,0.275,0.2765,0.0425,9,1
8306.0,259.0,219.0,80.0,160.0,139.0,97.1815,106.6677,123.2396,64.7341,55.4437,160.0,80.0,0.0,0.0,0.1319,0.1054,0.0299,4,2
7971.0,248.0,99.0,119.0,219.0,119.0,212.667,265.8745,244.7059,45.6755,60.6053,219.0,109.5,0.0,0.0,0.0303,0.2298,0.0299,3,5
4006.0,129.0,159.0,179.0,179.0,99.0,268.3398,125.5488,392.1849,127.6411,133.4541,179.0,179.0,0.0,0.0,0.2761,0.3596,0.0157,6,2
2736.0,83.0,1036.0,359.0,359.0,359.0,50.4232,98.0816,147.5568,51.7325,34.0331,359.0,359.0,0.0,418.0,0.4335,0.972,0.0359,7,1
