lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo
8054.0,250.0,99.0,80.0,179.0,139.0,80.5062,575.9106,98.0816,54.7083,33.2002,179.0,89.5,0.0,0.0,0.0163,0.3408,0.0315,8,6
549.0,17.0,99.0,119.0,119.0,239.0,424.5027,279.3676,314.0398,109.0562,62.8908,119.0,119.0,0.0,0.0,0.1353,0.0128,0.0257,8,5
408.0,12.0,199.0,99.0,99.0,139.0,112.3755,193.0058,73.9797,40.302,24.5153,99.0,99.0,0.0,0.0,0.2978,0.3083,0.0179,8,3
1632.0,50.0,219.0,318.0,318.0,119.0,151.4001,200.4507,82.3772,69.1231,81.5414,318.0,318.0,0.0,0.0,0.0446,0.1491,0.0727,6,3
1063.0,32.0,179.0,258.0,258.0,179.0,241.5186,110.0227,225.0089,23.7592,23.585,258.0,258.0,0.0,0.0,0.0834,0.1034,0.0782,2,3
9212.0,288.0,159.0,119.0,119.0,80.0,178.4888,108.4078,181.648,11.9269,25.387,119.0,119.0,80.0,0.0,0.2302,0.2407,0.0171,9,2
4582.0,142.0,139.0,139.0,219.0,179.0,156.7713,144.6695,115.0043,51.5461,56.0022,80.0,80.0,0.0,0.0,0.0437,0.2337,0.0058,7,2
10852.0,334.0,199.0,80.0,199.0,199.0,113.2828,171.0629,110.2905,22.0511,29.77,199.0,99.5,0.0,0.0,0.267,0.3185,0.0329,7,2
7671.0,236.0,159.0,99.0,99.0,159.0,213.6428,573.0218,133.8245,92.9624,95.0789,159.0,159.0,1512.0,239.0,0.1821,0.2906,0.0159,9,6
10143.0,309.0,139.0,179.0,398.0,80.0,469.2297,70.7425,492.8661,109.2016,60.4669,398.0,132.6667,0.0,0.0,0.1837,0.3397,0.0472,7,1
4479.0,138.0,239.0,278.0,278.0,119.0,258.774,250.1125,235.3062,41.0,52.0601,278.0,278.0,0.0,0.0,0.2712,0.2647,0.0344,1,3
1837.0,57.0,99.0,219.0,438.0,139.0,33.2415,84.4423,122.5765,90.8433,79.939,199.0,199.0,478.0,955.0,0.1729,0.1308,0.0222,2,1
10676.0,328.0,239.0,179.0,179.0,119.0,142.4588,54.2033,136.0919,12.7475,2.2361,179.0,179.0,119.0,0.0,0.0962,0.2647,0.0178,8,4
5089.0,154.0,139.0,139.0,139.0,238.0,150.2132,873.9637,63.1506,86.5708,1248.1677,139.0,139.0,0.0,0.0,0.1128,0.3583,0.0161,10,4
1352.0,42.0,238.0,199.0,199.0,80.0,177.5176,68.9094,128.5652,66.0946,50.1224,199.0,199.0,0.0,0.0,0.0527,0.1567,0.0212,6,5
8222.0,256.0,239.0,179.0,179.0,179.0,108.1504,145.1499,50.8035,60.8276,59.5525,179.0,179.0,0.0,0.0,0.2364,0.2754,0.0153,6,2
8333.0,261.0,0.0,159.0,159.0,199.0,0.0,177.9396,0.0,54.0393,52.6806,159.0,159.0,0.0,0.0,0.3704,0.3659,0.026,1,1
1491.0,44.0,119.0,219.0,219.0,139.0,169.0067,560.9503,220.8189,57.6585,64.3817,80.0,80.0,0.0,1054.0,0.1906,0.8481,0.0054,8,6
581.0,18.0,179.0,298.0,298.0,219.0,370.4582,116.2422,340.3895,56.225,36.8409,298.0,298.0,0.0,0.0,0.1978,0.7263,0.0491,5,1
8668.0,275.0,139.0,99.0,99.0,99.0,153.5586,132.0038,182.0,36.1697,29.2104,99.0,99.0,0.0,99.0,0.0883,0.1568,0.0134,5,5
8795.0,278.0,179.0,119.0,119.0,119.0,469.0003,203.0185,476.0263,5.0249,23.6326,119.0,119.0,119.0,0.0,0.2083,0.2133,0.0159,9,7
2612.0,78.0,219.0,319.0,458.0,199.0,80.514,369.3812,140.5276,67.1361,59.0191,339.0,339.0,4105.0,2255.0,0.9425,1.002,0.0085,7,1
10165.0,310.0,199.0,99.0,99.0,80.0,374.7212,401.4038,390.9693,6.364,14.3178,99.0,99.0,278.0,0.0,0.4172,0.2352,0.0127,1,5
