lineNo,assgNo,P1stFixation,P2stFixation,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,nextWordRegress,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,target
6700.0,200.0,1,0,0.0,159.0,159.0,119.0,200.2255,321.5016,150.1632,55.4301,62.5,119.0,119.0,0.0,1,0.0,0.0165,0.2751,0.0264,4,5,0
204.0,6.0,1,0,298.0,139.0,139.0,99.0,136.7644,254.5781,95.0474,44.2295,58.0517,139.0,139.0,0.0,0,0.0,0.101,0.0455,0.0187,3,2,0
5467.0,164.0,1,0,199.0,139.0,278.0,179.0,456.7631,135.9871,564.838,104.1393,44.9055,278.0,139.0,0.0,0,0.0,0.0772,0.1437,0.0237,6,1,1
1023.0,31.0,0,1,139.0,80.0,80.0,139.0,113.0597,168.3627,135.4179,31.3209,13.9463,80.0,80.0,0.0,0,0.0,0.1289,0.1254,0.0069,9,3,0
3604.0,111.0,1,0,99.0,179.0,179.0,139.0,232.7767,97.5,307.1482,75.4255,70.1231,179.0,179.0,0.0,0,0.0,0.1325,0.0925,0.0289,8,1,1
5126.0,155.0,1,0,139.0,159.0,417.0,99.0,197.6088,416.5948,102.8397,98.7244,38.5876,417.0,208.5,99.0,0,0.0,0.0063,0.0693,0.0376,5,5,1
6794.0,203.0,0,1,179.0,119.0,119.0,119.0,440.702,269.5116,512.3905,83.6212,55.7315,119.0,119.0,0.0,0,279.0,0.0914,0.2729,0.0122,9,1,0
8982.0,283.0,1,1,0.0,179.0,179.0,219.0,0.0,212.627,0.0,20.8387,7.8102,179.0,179.0,0.0,0,278.0,0.0002,0.0817,0.0252,3,2,0
6491.0,192.0,1,0,159.0,119.0,119.0,119.0,333.1625,223.5805,381.0118,41.1461,39.8152,119.0,119.0,0.0,0,119.0,0.0404,0.0859,0.0315,9,1,0
373.0,11.0,1,0,179.0,219.0,219.0,139.0,86.7006,264.8971,135.5913,117.2732,114.3951,219.0,219.0,0.0,0,438.0,-0.0176,0.0634,0.0202,1,1,1
5826.0,173.0,1,0,278.0,258.0,258.0,278.0,112.5278,264.8443,70.9366,51.4782,61.002,258.0,258.0,914.0,0,278.0,0.107,0.2565,0.0464,1,3,0
306.0,9.0,0,1,159.0,99.0,99.0,119.0,428.7336,155.6478,507.2849,78.6448,74.7813,99.0,99.0,0.0,0,198.0,0.1644,0.1059,0.0127,9,2,0
4168.0,133.0,0,1,179.0,278.0,278.0,99.0,208.8373,383.2039,113.6002,92.1805,83.1655,278.0,278.0,0.0,0,0.0,0.0165,0.2085,0.0199,6,2,1
2329.0,74.0,0,1,199.0,239.0,239.0,219.0,58.1485,77.4758,45.8803,60.6898,71.8001,239.0,239.0,0.0,1,0.0,0.3987,0.5577,0.0203,2,3,1
3428.0,105.0,1,0,199.0,219.0,219.0,258.0,183.4864,400.9115,290.1672,119.1239,119.8509,219.0,219.0,0.0,1,438.0,-0.0257,0.3303,0.0498,5,2,1
4567.0,142.0,0,1,139.0,179.0,179.0,139.0,374.0655,132.8053,319.0392,56.932,68.1487,179.0,179.0,0.0,0,0.0,-0.0403,0.0487,0.0129,4,5,1
9835.0,303.0,1,0,99.0,99.0,99.0,119.0,96.3379,217.8124,40.3113,60.6671,73.9797,99.0,99.0,0.0,0,0.0,0.135,0.2395,0.0194,6,3,0
8992.0,283.0,1,1,0.0,179.0,179.0,219.0,221.5023,188.1495,56.9386,165.7966,146.5486,199.0,199.0,0.0,0,278.0,0.1052,0.1462,0.028,3,2,0
5067.0,154.0,0,1,199.0,239.0,239.0,139.0,381.9453,83.7257,504.469,122.6795,115.7087,239.0,239.0,0.0,0,0.0,0.1243,0.1818,0.0277,4,2,1
2276.0,73.0,0,0,120.0,299.0,299.0,359.0,55.3828,103.0594,114.2322,69.3109,90.7979,299.0,299.0,0.0,1,299.0,1.3597,2.1322,0.0185,2,3,0
10885.0,336.0,1,0,119.0,99.0,99.0,139.0,63.4606,148.0076,68.0074,18.5809,4.272,99.0,99.0,0.0,1,0.0,0.089,0.1315,0.0084,1,6,0
7925.0,246.0,1,1,119.0,119.0,199.0,199.0,66.191,217.297,133.0038,87.9318,76.3053,199.0,99.5,0.0,1,278.0,0.1708,0.2198,0.0339,9,1,0
6917.0,209.0,1,1,0.0,119.0,119.0,119.0,117.4787,276.5416,185.6017,90.0028,90.1734,80.0,80.0,119.0,0,0.0,0.2303,0.3223,0.0255,4,2,1
1957.0,61.0,1,1,179.0,99.0,99.0,139.0,151.0075,187.7472,76.4199,86.5058,83.5733,179.0,179.0,0.0,0,0.0,0.1259,0.0844,0.0144,5,2,1
10597.0,324.0,1,0,80.0,139.0,139.0,179.0,184.8276,249.2007,145.7155,53.4649,74.3001,139.0,139.0,179.0,0,0.0,0.4267,0.4452,0.0242,9,7,0
8563.0,271.0,1,0,159.0,179.0,179.0,139.0,175.6082,73.0616,232.3123,70.3438,51.0221,179.0,179.0,0.0,0,0.0,0.3122,0.3302,0.0317,6,1,1
4954.0,151.0,0,1,258.0,179.0,358.0,199.0,116.2497,193.0525,49.6488,73.1249,32.73,358.0,179.0,0.0,0,219.0,0.0901,0.2116,0.0519,4,2,0
3754.0,119.0,1,0,80.0,99.0,99.0,139.0,114.0175,127.4608,114.0395,30.4015,38.4513,99.0,99.0,0.0,0,0.0,0.1603,0.3603,0.0275,6,3,1
2675.0,81.0,0,1,20.0,120.0,120.0,20.0,92.5014,419.0716,65.0538,65.0692,56.5685,120.0,120.0,0.0,0,0.0,0.4335,0.556,0.0128,1,5,0
