ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
68,216,4,65,29,0,0,100,-7,7,29,3,38,-7,0,0,52,73,9,6,2,83
59,217,4,94,17,4,3,78,19,6,23,1,52,-8,0,0,63,40,5,5,0,100
56,206,13,61,21,2,2,90,3,4,21,0,29,-7,1,0,64,50,7,2,4,69
88,474,2,153,23,0,0,100,-7,7,26,2,54,0,1,1,2,65,3,4,0,70
82,163,5,58,21,0,0,100,-7,7,21,3,29,4,2,1,7,75,3,2,0,38
74,228,8,78,19,0,0,100,-7,7,20,1,50,0,0,0,61,93,4,2,0,100
71,86,3,31,22,0,0,100,-7,7,22,8,45,0,3,2,64,91,3,6,1,75
65,305,8,93,25,3,2,85,36,6,28,1,33,0,2,2,70,-8,5,1,2,88
60,131,6,50,31,0,0,100,-7,7,31,2,35,10,0,0,75,54,14,5,8,95
73,211,3,116,23,0,0,92,48,6,24,1,13,0,6,6,41,-8,8,1,2,64
67,56,33,48,2,6,6,67,27,0,3,0,33,-8,0,0,0,-8,0,-8,-8,0
77,189,7,17,11,0,0,100,-7,7,21,4,36,0,2,2,3,74,2,3,0,86
82,213,3,79,9,0,0,100,-7,7,9,1,22,0,2,2,42,54,2,2,1,50
70,214,21,148,16,7,7,88,15,0,17,0,35,-7,0,0,28,-8,4,1,0,63
73,136,6,77,25,0,0,100,-7,7,25,4,36,0,3,3,54,100,11,1,1,100
