ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
61,132,8,69,3,1,1,80,12,6,5,2,100,0,0,0,-8,94,-8,2,-8,100
83,232,9,83,28,0,0,100,-7,7,53,1,18,11,0,0,5,12,5,2,0,41
86,229,4,94,25,0,0,100,-7,7,25,2,20,2,1,1,3,-8,2,-8,0,40
80,323,12,149,14,0,0,100,-7,7,14,0,14,0,0,0,70,-8,2,1,0,100
69,208,5,61,48,1,1,98,36,6,53,6,26,0,3,3,78,93,8,4,3,75
56,412,4,97,29,3,2,78,2,0,30,2,59,-7,2,2,6,75,1,5,-8,60
80,148,3,103,16,0,0,100,-7,7,16,1,75,3,1,1,47,51,1,6,1,88
76,174,12,77,45,0,0,98,-7,6,48,0,40,0,6,6,19,83,2,3,1,38
76,254,8,85,16,0,0,100,-7,7,16,2,31,0,0,0,49,94,2,3,2,71
78,343,6,83,43,0,0,98,67,6,43,1,23,5,0,0,14,80,7,3,0,50
78,197,23,91,15,0,0,100,-7,7,17,0,41,0,5,5,57,32,2,2,-8,67
92,233,11,72,6,0,0,100,-7,7,13,1,33,-8,0,0,0,-8,0,1,0,25
88,385,10,159,17,0,0,100,-7,7,17,1,18,-8,0,0,9,-8,3,1,0,57
88,133,14,63,5,0,0,100,-7,7,6,0,40,-7,0,0,4,44,1,2,0,75
76,65,13,31,3,0,0,100,-7,7,3,0,0,0,0,0,48,-8,2,-8,1,67
62,393,6,155,17,0,0,94,1,4,17,2,41,5,0,0,64,-8,8,-8,1,89
68,435,12,138,26,3,1,90,13,6,30,0,33,8,0,0,16,31,3,3,1,43
66,213,16,88,12,0,0,60,2,4,15,0,20,17,1,0,51,73,3,1,0,80
64,106,2,52,7,3,3,73,64,6,11,1,36,1,4,4,90,99,1,2,1,75
87,310,13,95,19,0,0,100,-7,7,25,0,26,4,1,1,12,26,3,3,0,60
79,106,2,39,9,0,0,100,-7,7,7,1,50,3,1,1,26,65,2,3,0,63
72,236,9,90,55,0,0,100,-7,7,78,1,55,-8,0,0,41,83,7,8,3,79
79,198,41,83,14,0,0,100,-7,7,17,0,29,-7,0,0,53,-8,4,1,1,71
75,140,7,56,21,0,0,100,-7,7,22,1,27,0,1,1,20,63,3,2,1,56
65,53,2,27,17,0,0,100,-7,7,19,4,61,0,3,3,51,57,5,3,1,89
73,139,6,43,14,0,0,100,-7,7,14,3,36,1,2,2,8,86,3,2,1,71
84,158,6,83,5,0,0,100,-7,7,5,2,20,0,0,0,41,-8,1,1,0,67
76,308,42,135,10,1,1,92,18,5,13,0,31,0,0,0,1,-8,1,-8,0,33
77,171,2,73,23,0,0,100,-7,7,24,2,29,2,5,5,19,25,3,2,0,50
64,130,1,33,13,0,0,100,-7,7,14,6,0,4,1,1,64,-8,7,-8,3,78
88,435,4,164,19,0,0,100,-7,7,19,1,0,4,1,1,3,-8,6,-8,0,43
58,22,2,8,4,0,0,100,-7,7,6,5,50,-7,2,2,101,76,1,3,1,100
62,134,3,48,17,0,0,94,0,4,19,3,63,0,1,1,63,55,2,5,1,88
88,277,10,127,24,0,0,100,-7,7,25,1,40,12,0,0,2,86,3,2,0,45
71,245,6,62,33,1,0,97,10,3,34,1,24,-7,0,0,19,56,7,3,0,50
73,186,7,73,30,1,0,87,27,6,31,1,19,0,1,1,69,25,3,2,1,56
64,88,5,44,16,1,1,83,11,0,18,2,44,0,0,0,43,63,3,2,0,56
81,275,3,80,50,0,0,98,33,6,50,2,16,7,0,0,3,10,3,3,0,25
64,45,1,19,10,0,0,100,-7,7,11,3,18,0,1,1,77,93,6,2,2,100
80,108,6,48,18,0,0,100,-7,7,20,4,60,0,0,0,9,50,1,4,0,71
63,313,16,113,17,3,0,70,19,5,23,0,22,0,1,1,61,-8,7,1,1,82
89,210,5,96,23,0,0,100,-7,7,24,1,21,15,0,0,3,-8,4,1,0,56
