ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
80,150,9,26,7,0,0,100,-7,7,13,3,29,8,0,0,0,88,0,1,0,25
67,166,17,65,14,0,0,100,-7,7,14,0,36,-7,1,1,66,58,7,4,3,92
56,115,4,68,16,10,10,48,5,0,33,2,30,0,24,24,19,74,1,4,1,56
93,305,24,99,19,0,0,100,-7,7,19,0,11,23,0,0,1,-8,1,-8,0,17
80,211,3,55,19,0,0,95,81,6,19,3,16,0,3,3,5,82,1,2,0,27
62,233,7,72,8,1,0,78,47,6,9,2,44,0,0,0,95,85,3,2,3,100
66,74,3,21,13,0,0,92,-8,6,13,6,23,0,4,4,33,61,5,3,0,73
87,129,2,77,15,0,0,100,-7,7,16,2,19,0,0,0,6,-8,3,1,0,40
82,200,9,64,20,0,0,100,-7,7,20,1,5,-7,2,2,10,-8,5,-8,0,50
84,149,7,80,18,0,0,100,-7,7,38,2,28,1,1,1,2,87,1,2,0,38
83,174,11,89,22,0,0,100,-7,7,23,1,43,1,1,1,12,79,2,3,0,100
67,89,1,36,16,0,0,100,-7,7,19,5,26,0,4,4,63,29,6,2,3,73
80,115,10,58,16,0,0,94,-8,6,16,1,31,0,0,0,18,-8,1,1,0,40
73,372,3,86,23,0,0,83,16,6,23,2,35,0,5,5,9,75,2,6,0,53
75,360,4,68,42,0,0,100,-7,7,22,3,14,0,1,1,11,79,10,2,0,48
84,307,5,149,29,0,0,100,-7,7,46,2,20,6,0,0,3,100,5,2,1,42
58,54,3,25,26,0,0,100,-7,7,26,5,35,1,8,8,73,97,8,6,5,74
77,192,5,83,22,0,0,96,50,6,23,1,39,0,2,2,29,37,4,3,1,54
59,219,4,84,30,1,0,91,26,6,32,3,44,2,4,4,41,89,9,4,3,76
79,439,15,142,17,2,2,89,68,6,38,0,11,15,0,0,3,-8,5,-8,0,50
