P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4
17894.0,0.47882,0.002291,0.16011,0.102295,0.794456,0.061026,0.688966,0.004692,0.056455,0.025229,0.001816,0.951415,0.363529,0.096648,0.125
135163.0,0.490918,0.045989,0.116652,0.083986,0.864911,0.01277,0.726706,0.004809,0.05514,0.040623,0.045688,0.714892,0.476339,0.112101,0.118557
2166.0,0.442752,0.000923,0.237304,0.18807,0.808864,0.038781,0.671141,0.005593,0.030201,0.122669,0.0,1.0,0.406281,0.092308,0.157895
20531.0,0.494033,0.038527,0.102918,0.077975,0.843943,0.001802,0.684231,0.006221,0.069959,0.041616,0.032123,0.960386,0.428693,0.109713,0.269231
1603.0,0.509669,0.0,0.07985,0.068702,0.905178,0.015596,0.787645,0.003861,0.025097,0.04428,0.0,0.996139,0.210332,0.080645,0.0
2260.0,0.492035,0.002212,0.054425,0.022648,0.884956,0.0,0.772076,0.004773,0.072792,0.04447,0.002387,0.906921,0.199544,0.046154,0.181818
513.0,0.45614,0.007797,0.309942,0.16129,0.80117,0.0,0.624506,0.003953,0.019763,0.635971,0.0,1.0,0.332374,0.044118,0.625
73.0,0.493151,0.0,0.20548,0.108108,0.849315,0.0,0.62069,0.0,0.0,0.09375,0.0,1.0,0.15625,0.0,0.0
33687.0,0.480868,0.016831,0.185621,0.127745,0.815775,0.019889,0.660592,0.003385,0.049701,0.084295,0.015343,0.991428,0.312117,0.048465,0.623256
3967.0,0.459793,0.071339,0.218553,0.175455,0.808672,0.036552,0.654367,0.00123,0.02706,0.100664,0.067036,0.994465,0.387721,0.106178,0.866667
4222.0,0.485078,0.00379,0.129323,0.095216,0.884178,0.0,0.747342,0.008756,0.037524,0.02142,0.003127,0.996248,0.198286,0.039906,0.4
9102.0,0.490112,0.006262,0.090859,0.06852,0.896287,0.004395,0.776809,0.004199,0.05168,0.133986,0.005491,0.967054,0.244196,0.097166,0.622222
1505.0,0.454485,0.147508,0.215282,0.16687,0.837874,0.033887,0.694539,0.003413,0.018771,0.144526,0.12628,0.982935,0.392701,0.1123,0.888889
128713.0,0.498621,0.041371,0.03556,0.036787,0.911478,0.003799,0.804022,0.002773,0.038939,0.063711,0.039344,0.954185,0.189086,0.091622,0.524558
428.0,0.446262,0.14486,0.198598,0.14346,0.848131,0.0,0.687151,0.005587,0.039106,0.062827,0.139665,0.988827,0.230367,0.043478,0.333333
9654.0,0.456909,0.109903,0.214626,0.148579,0.784856,0.009219,0.610958,0.002762,0.060313,0.039788,0.093002,0.994015,0.317639,0.024326,0.363636
740.0,0.481081,0.0,0.105405,0.104167,0.927027,0.0,0.827715,0.003745,0.018727,0.072917,0.0,1.0,0.246528,0.14,0.5
534.0,0.492509,0.0,0.073034,0.04428,0.938202,0.0,0.836842,0.0,0.010526,0.025641,0.0,0.994737,0.153846,0.16,0.5
3606.0,0.47726,0.002496,0.11675,0.087003,0.863283,0.014143,0.725866,0.0,0.044215,0.025144,0.001474,0.993368,0.22342,0.017544,0.0
1893.0,0.491284,0.014263,0.151611,0.080997,0.849445,0.005283,0.715436,0.0,0.068456,0.562537,0.013423,0.98255,0.10276,0.063158,0.566667
733.0,0.488404,0.472033,0.125512,0.176,0.858117,0.017735,0.710247,0.003534,0.024735,0.121118,0.427562,1.0,0.248447,0.146067,0.5
58.0,0.551724,0.0,0.068966,0.076923,0.862069,0.0,0.65,0.05,0.05,0.090909,0.0,1.0,0.181818,0.0,1.0
1337.0,0.436799,0.007479,0.327599,0.318725,0.676889,0.246073,0.762755,0.002551,0.022959,0.077647,0.0,1.0,0.272941,0.117021,0.2
461.0,0.503254,0.0,0.236443,0.148472,0.850325,0.032538,0.706215,0.0,0.011299,0.115,0.0,0.988701,0.205,0.217391,0.0
163.0,0.558282,0.006135,0.030675,0.013889,0.944785,0.0,0.836735,0.0,0.020408,0.109091,0.020408,0.979592,0.4,0.181818,0.0
2197.0,0.477014,0.04142,0.223487,0.172324,0.83614,0.0264,0.671156,0.0,0.010101,0.178044,0.051627,0.996633,0.321033,0.143939,0.789474
118.0,0.457627,0.0,0.169492,0.140625,0.881356,0.0,0.690476,0.0,0.02381,0.066667,0.0,1.0,0.133333,0.333333,1.0
51.0,0.490196,0.0,0.176471,0.230769,0.784314,0.0,0.521739,0.0,0.0,0.0,0.0,1.0,0.086957,0.125,0.0
17400.0,0.478103,0.063678,0.139253,0.096245,0.748736,0.098736,0.669158,0.003156,0.085534,0.0771,0.062116,0.892045,0.487125,0.098712,0.121212
34733.0,0.47773,0.146777,0.158466,0.120176,0.884375,0.010106,0.748871,0.00258,0.035472,0.024306,0.130361,0.964044,0.181782,0.067698,0.510638
12602.0,0.476194,0.010951,0.169418,0.100288,0.862958,0.0,0.709515,0.00233,0.037864,0.041504,0.01068,0.993981,0.203425,0.03785,0.454546
1546.0,0.48577,0.001294,0.201164,0.114465,0.790427,0.023933,0.638519,0.008889,0.045926,0.126779,0.001482,0.976296,0.523933,0.081851,0.666667
17728.0,0.479073,0.01461,0.154783,0.122902,0.851704,0.043547,0.741503,0.001871,0.025725,0.023447,0.000312,0.981759,0.248478,0.047253,0.230769
