P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4
244.0,0.487705,0.0,0.20082,0.136,0.836066,0.0,0.669565,0.0,0.017391,0.166667,0.0,0.965217,0.463768,0.033333,0.666667
117.0,0.461539,0.0,0.188034,0.079365,0.854701,0.0,0.659575,0.0,0.021277,0.20339,0.0,1.0,0.288136,0.25,0.0
4210.0,0.488361,0.000713,0.070546,0.061746,0.936817,0.0,0.841956,0.002126,0.02197,0.045977,0.000709,0.996456,0.187965,0.112554,0.56
1071.0,0.501401,0.015873,0.145658,0.052435,0.952381,0.0,0.876289,0.0,0.007732,0.03,0.010309,0.989691,0.02,0.0,0.5
253.0,0.458498,0.003953,0.233202,0.116788,0.84585,0.0,0.651376,0.0,0.009174,0.20438,0.0,0.990826,0.291971,0.095238,1.0
145.0,0.462069,0.289655,0.227586,0.230769,0.944828,0.0,0.851852,0.0,0.0,0.239437,0.259259,1.0,0.28169,0.0,0.333333
569.0,0.4587,0.785589,0.100176,0.113636,0.898067,0.0,0.721925,0.005348,0.026738,0.126168,0.721925,1.0,0.406542,0.253333,0.5
88693.0,0.486577,0.029191,0.109242,0.087094,0.818554,0.02335,0.687228,0.008421,0.083544,0.045279,0.02575,0.897638,0.54033,0.102969,0.251656
1492.0,0.483244,0.002011,0.233244,0.189365,0.680965,0.051609,0.510174,0.002907,0.072674,0.159951,0.002907,0.99564,0.566545,0.035928,0.333333
3853.0,0.48871,0.005191,0.114456,0.084264,0.928887,0.0,0.83035,0.003113,0.029572,0.025038,0.005448,0.981323,0.059181,0.139241,0.166667
39.0,0.461539,0.0,0.076923,0.095238,0.948718,0.0,0.846154,0.0,0.0,0.1875,0.0,1.0,0.125,0.0,0.0
8972.0,0.489857,0.001449,0.167744,0.119074,0.815426,0.012706,0.645976,0.006592,0.052458,0.083564,0.001373,0.98407,0.339542,0.086648,0.565217
1174.0,0.462521,0.0,0.194208,0.14897,0.881601,0.0,0.730361,0.002123,0.019108,0.048485,0.0,0.997877,0.147475,0.062016,0.25
2366.0,0.476754,0.036771,0.125528,0.1042,0.726543,0.02705,0.555665,0.007882,0.097537,0.643108,0.019704,0.955665,0.674051,0.081361,0.802817
14318.0,0.487359,0.008241,0.106928,0.065668,0.86744,0.000838,0.739219,0.003702,0.071997,0.030678,0.005923,0.960763,0.327413,0.086379,0.148148
264.0,0.492424,0.0,0.242424,0.186567,0.844697,0.0,0.678571,0.0,0.026786,0.145038,0.0,0.991071,0.366412,0.037037,0.0
568.0,0.487676,0.0,0.18838,0.113402,0.848592,0.0,0.688312,0.008658,0.038961,0.104651,0.0,1.0,0.213178,0.019231,0.0
4509.0,0.460634,0.001109,0.47261,0.202714,0.786427,0.010867,0.653282,0.002159,0.042746,0.282972,0.001295,0.994387,0.535294,0.035211,0.435484
1278.0,0.467136,0.000783,0.241002,0.127753,0.826291,0.030516,0.706564,0.0,0.044402,0.213961,0.0,0.994209,0.39909,0.118812,0.25
14800.0,0.487703,0.104797,0.119865,0.09272,0.874865,0.000135,0.720063,0.002801,0.03659,0.077817,0.090161,0.971113,0.293026,0.070308,0.725
63.0,0.444444,0.0,0.285714,0.257143,0.777778,0.0,0.580645,0.0,0.032258,0.138889,0.0,1.0,0.055556,0.0,0.0
2445.0,0.570552,0.005726,0.162781,0.111429,0.66135,0.20818,0.659924,0.006321,0.046776,0.09289,0.0,0.997472,0.33945,0.059028,0.615385
74.0,0.472973,0.0,0.108108,0.102564,0.851351,0.0,0.666667,0.0,0.033333,0.347826,0.0,1.0,0.413044,0.25,0.0
