P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4
2101.0,0.488339,0.006188,0.161352,0.132093,0.827225,0.0,0.638273,0.003501,0.053676,0.051991,0.003501,0.994166,0.353982,0.053977,0.666667
461.0,0.470716,0.0,0.184382,0.090164,0.928417,0.0,0.825581,0.0,0.011628,0.044444,0.0,0.982558,0.011111,0.0,0.5
5674.0,0.448713,0.017977,0.195453,0.174872,0.809834,0.016567,0.625996,0.002096,0.034382,0.09966,0.015094,0.997484,0.371083,0.064195,0.816327
1674.0,0.483274,0.00239,0.148148,0.112139,0.893071,0.003584,0.741408,0.00491,0.01964,0.166439,0.00491,0.499182,0.399727,0.124352,0.727273
1260.0,0.503968,0.002381,0.104762,0.0688,0.915079,0.007143,0.814059,0.002268,0.024943,0.039216,0.0,0.963719,0.233116,0.116505,0.333333
5451.0,0.482847,0.001835,0.144744,0.079461,0.920015,0.0,0.838389,0.003481,0.038289,0.011308,0.000994,0.988066,0.093904,0.184615,0.142857
15403.0,0.444069,0.003441,0.231124,0.152984,0.804519,0.05843,0.678119,0.001334,0.02435,0.04931,0.001334,0.996164,0.255272,0.04375,0.580645
5750.0,0.461391,0.020348,0.172,0.142719,0.860348,0.026783,0.724573,0.00225,0.013951,0.098214,0.014852,0.991899,0.261364,0.12766,0.8
2764.0,0.482634,0.213821,0.129884,0.138462,0.845876,0.031476,0.714136,0.004189,0.046073,0.150356,0.18534,0.905759,0.507117,0.185279,0.354839
1405.0,0.508185,0.001424,0.049822,0.033285,0.938078,0.0,0.866962,0.0,0.048781,0.021692,0.002217,0.997783,0.104122,0.097222,0.2
16.0,0.375,0.0,0.1875,0.3,0.8125,0.0,0.571429,0.0,0.0,0.363636,0.0,1.0,0.545455,0.0,0.0
1103.0,0.459656,0.00544,0.263826,0.206376,0.792384,0.062557,0.675381,0.002179,0.021787,0.112186,0.002179,0.997821,0.288201,0.061225,0.888889
496938.0,0.464611,0.619248,0.130113,0.116739,0.800374,0.034274,0.627014,0.002582,0.05066,0.165525,0.550349,0.9666,0.504227,0.115633,0.611435
969.0,0.541796,0.008256,0.136223,0.076577,0.762642,0.011352,0.57243,0.004673,0.070094,0.316294,0.009346,0.962617,0.736422,0.116071,0.1
10917.0,0.460017,0.003572,0.198956,0.136726,0.845012,0.030137,0.716049,0.001829,0.02332,0.039737,0.0016,0.993827,0.259056,0.022493,0.441861
2621.0,0.501717,0.026326,0.103396,0.055896,0.900801,0.001908,0.785106,0.005319,0.042553,0.055276,0.020213,0.979787,0.164824,0.150538,1.0
3602.0,0.48834,0.005553,0.083842,0.059685,0.934203,0.0,0.837191,0.00399,0.022346,0.024903,0.005587,0.991221,0.027237,0.026667,0.6
1027.0,0.488802,0.004869,0.231743,0.114286,0.851996,0.0,0.714286,0.011338,0.049887,0.167925,0.004535,0.99093,0.337736,0.1,0.444444
99.0,0.50505,0.0,0.131313,0.081633,0.939394,0.0,0.875,0.03125,0.03125,0.272727,0.0,1.0,0.227273,0.142857,0.0
6336.0,0.52904,0.085543,0.197285,0.103552,0.829072,0.097854,0.805609,0.004352,0.02031,0.036796,0.087524,0.993714,0.122031,0.119835,0.476191
9940.0,0.485413,0.059658,0.157545,0.118866,0.787626,0.074346,0.688565,0.001924,0.051677,0.037821,0.03381,0.968114,0.38667,0.05,0.64
1563.0,0.447857,0.007038,0.174664,0.162225,0.765835,0.0,0.572816,0.002774,0.067961,0.025676,0.006935,0.994452,0.386487,0.044177,0.333333
312.0,0.49359,0.0,0.163462,0.120253,0.86859,0.0,0.674797,0.0,0.00813,0.046512,0.0,1.0,0.24031,0.0625,1.0
9200.0,0.460978,0.001848,0.378804,0.205485,0.696196,0.01087,0.537,0.002224,0.072584,0.313532,0.001213,0.986858,0.524219,0.012166,0.458647
8594.0,0.499884,0.006633,0.084245,0.05235,0.876425,0.0,0.750713,0.007602,0.063668,0.52065,0.006335,0.943301,0.422867,0.146682,0.279503
15174.0,0.440359,0.035455,0.099249,0.064414,0.37037,0.292672,0.436355,0.002713,0.264979,0.079117,0.018313,0.995252,0.372892,0.119887,0.264706
50686.0,0.530068,0.058596,0.048514,0.047861,0.85349,0.063686,0.81027,0.0061,0.06965,0.025303,0.052415,0.866515,0.357276,0.233606,0.077348
17152.0,0.451959,0.012127,0.132404,0.108085,0.551831,0.191756,0.5105,0.001591,0.134426,0.092537,0.011613,0.992046,0.4712,0.041139,0.644172
1268.0,0.532334,0.000789,0.126183,0.048904,0.871451,0.0,0.759152,0.001927,0.065511,0.414882,0.0,0.992293,0.45885,0.048,0.916667
5247.0,0.490185,0.015437,0.146179,0.116262,0.906042,0.025157,0.798694,0.000594,0.010689,0.083787,0.017221,0.436461,0.375408,0.171739,0.826087
9884.0,0.481586,0.020235,0.272157,0.139735,0.824464,0.002833,0.673299,0.005553,0.055299,0.167405,0.015965,0.987969,0.40262,0.059024,0.312977
12249.0,0.479549,0.0289,0.129072,0.101961,0.87501,0.016328,0.753214,0.003444,0.045225,0.039683,0.022268,0.971763,0.233025,0.065322,0.381818
3184.0,0.465138,0.00157,0.2299,0.126835,0.804962,0.015389,0.657202,0.00277,0.046399,0.28016,0.002078,0.993767,0.39681,0.043408,0.571429
5582.0,0.48316,0.058939,0.123074,0.115078,0.749194,0.053207,0.601852,0.007055,0.075838,0.058531,0.063051,0.988095,0.479037,0.062196,0.4
2433.0,0.521989,0.011508,0.16605,0.085985,0.759967,0.0,0.607755,0.011722,0.111812,0.316698,0.008115,0.880974,0.573629,0.049608,0.255319
1260.0,0.456349,0.005556,0.720635,0.211679,0.815079,0.0,0.693295,0.0,0.024251,0.217634,0.002853,0.988588,0.299107,0.0,0.08
118.0,0.432203,0.0,0.220339,0.164179,0.805085,0.0,0.622642,0.0,0.056604,0.036364,0.0,1.0,0.272727,0.125,0.0
3913.0,0.484794,0.002811,0.154102,0.081845,0.86251,0.0,0.722823,0.010172,0.048315,0.05241,0.001907,0.988557,0.351205,0.105948,0.176471
83.0,0.542169,0.0,0.072289,0.052632,0.903615,0.0,0.774194,0.0,0.032258,0.114286,0.0,1.0,0.257143,0.2,0.0
28.0,0.464286,0.0,0.571429,0.0,0.785714,0.0,0.692308,0.0,0.076923,0.518519,0.0,1.0,0.037037,0.0,0.0
14519.0,0.489014,0.026861,0.127488,0.082221,0.866658,0.03368,0.751467,0.004191,0.039397,0.058777,0.026823,0.724434,0.368836,0.208618,0.211765
3632.0,0.457599,0.012115,0.182269,0.152284,0.819108,0.013491,0.636608,0.004711,0.03432,0.054106,0.010094,0.995289,0.260344,0.078652,0.733333
1320.0,0.523485,0.0,0.136364,0.066773,0.845455,0.0,0.733108,0.005068,0.064189,0.261845,0.0,0.978041,0.42394,0.026667,0.4375
3712.0,0.478179,0.008351,0.130657,0.089313,0.860991,0.012931,0.728232,0.001319,0.031003,0.038071,0.008575,0.996702,0.28934,0.033592,0.416667
6849.0,0.461527,0.000876,0.266754,0.191703,0.784932,0.026135,0.610963,0.00234,0.034091,0.122581,0.000668,0.997326,0.280352,0.072864,0.823529
