V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54
0.416337,1.0,0.427778,0.499872,0.209583,0.997672,0.416483,0.0174861,0.0267451,165.908,163.427,174.481,1.7695,1.20658,3.64496,-0.95414,-1.48389,-0.706492,84.2811,1.61137,-2.87255,0.242088,0.242548,0.956229,-1.22199,-0.0229599,0.27988,91.3585,0.655556,7.11207,41.97,0.200713,0.666886,0.436959,-16.1435,0.646553,159.882,0.0944444,98.3693,10.4373,1.36504,47.9581,22.1837,144.899,57.2959,0.493207,0.235888,0.046337,168.902,1.12072,26.4963,14.1375,0.0921991,0.260132
0.0335359,0.11875,0.347222,0.456726,0.605766,0.102899,0.335791,0.0569456,0.186667,42.936,30.6036,38.3895,12.8151,12.2508,10.6878,2.19206,2.19943,2.34011,42.4149,9.4101,-4.1302,6.45489,3.06428,3.23257,0.722055,-0.414614,0.542886,64.3738,0.2875,-1.29312,69.2752,0.175763,16.9164,0.606568,-1.21175,-1.07693,118.546,0.122222,251.75,7.98961,0.578336,16.8145,15.0556,125.676,33.1279,0.971393,0.363867,0.0636829,195.569,1.55133,38.4062,11.945,0.103819,0.0932897
0.0446238,0.763889,0.364583,0.56288,0.601906,0.694478,0.300396,0.0802749,0.839771,102.868,103.648,43.0652,14.8448,16.4954,13.9849,-0.688858,-1.03024,1.56512,68.409,-9.08403,29.5117,4.61635,4.11469,8.67254,-1.33242,0.645945,-0.513189,58.2345,1.0,-12.0914,40.1646,0.362821,11.6969,0.492144,-1.63393,0.0787759,184.848,0.855556,172.159,36.0052,3.04494,60.8325,2.40279,134.78,64.6084,0.702478,0.487733,0.0615732,111.465,3.08346,50.9977,3.85496,0.253796,0.31449
0.0138542,0.227778,0.0854167,0.619111,0.608917,0.209105,0.0684696,0.0818713,0.287924,148.815,150.543,145.857,37.0194,37.2133,37.5468,-0.557982,-0.644476,-0.966399,80.3679,-0.831263,1.47018,8.95403,1.88492,5.32002,-1.30286,1.40072,3.57955,52.8366,0.125,12.5111,60.4389,0.371613,8.69216,0.462412,0.471681,0.840723,70.4765,0.38125,125.044,47.5829,-3.27233,11.1194,4.29425,171.992,36.891,0.469633,0.441398,0.063012,97.3344,0.262196,45.8269,21.6823,0.294512,0.632786
0.189404,1.0,0.233333,0.503915,0.0979349,1.04658,0.201112,0.0287818,0.188269,189.231,204.25,224.601,11.489,7.11793,2.95518,1.39773,1.16241,1.14951,91.408,-0.716124,-5.70707,1.33039,0.51213,1.6199,1.08473,1.24442,0.885703,85.9892,0.116667,14.5696,31.4924,0.459349,12.0449,0.26848,0.496772,-13.1069,197.398,0.252778,162.8,12.0282,0.764602,38.4571,17.6755,141.51,46.4717,0.183892,0.794147,0.0281732,137.916,0.117,49.9632,16.8172,0.16048,0.16413
0.0208044,0.0972222,0.258333,0.696094,0.455985,0.0833342,0.251165,0.0784423,0.171659,34.6517,40.0498,70.5777,24.7771,24.56,24.9768,3.7511,3.56428,1.71212,45.6379,5.75169,-19.9139,9.26101,3.19114,7.79984,1.98787,0.0661822,0.530974,73.3548,1.0,-6.77616,16.582,0.215819,9.93285,0.286311,0.630339,1.04831,186.518,0.591667,66.1406,45.854,0.0746679,67.9328,4.68929,148.204,29.4517,0.193918,0.430682,0.0317397,22.8959,-0.0656797,22.9787,2.32355,0.558409,0.0390379
0.306647,1.0,0.396875,0.471235,0.845795,1.01636,0.321793,0.0250101,0.227346,54.3014,49.0661,39.4785,31.8846,29.5987,28.6461,2.81706,3.45835,3.85279,49.1635,-0.335742,7.82786,11.3388,2.12858,2.26531,0.744491,-0.71916,0.382903,61.5632,0.86875,2.21761,46.6255,0.861595,7.06975,0.140733,0.699586,1.2653,114.147,0.658333,86.1857,33.9937,1.31063,42.7962,0.720901,113.203,17.5101,0.672273,0.436119,0.0307232,90.4394,-0.948722,2.2763,3.04423,0.0249884,0.15475
0.0367651,0.536111,0.0916667,0.406595,0.396874,0.493964,0.0753193,0.0624902,0.251884,160.083,172.42,190.476,32.5159,28.8392,20.7819,0.542535,0.390433,-0.161346,85.2298,-0.490378,-5.84538,5.74417,0.972894,3.59898,-0.22126,0.633413,0.127537,62.5789,0.635417,-0.0621392,76.9858,0.218875,8.57605,0.415351,-0.561589,0.451218,159.444,0.458333,19.3581,2.58123,-0.295054,36.322,15.9512,46.7601,9.0644,0.105891,0.0759651,0.0363094,182.185,-1.96589,70.7293,15.0335,0.172569,0.226086
0.100023,0.533333,0.358333,0.218319,0.118676,0.57767,0.303541,0.0426406,0.476623,162.955,209.08,250.821,13.1984,14.2109,18.8699,-1.47193,-6.75613,-7.4558,91.3078,-4.05752,-12.0612,2.92033,1.41406,2.54488,-7.29939,6.33166,4.80657,77.631,0.0645833,3.46822,13.6061,0.21829,19.2038,0.0751515,-6.39146,0.32039,183.548,0.702778,104.105,35.6112,0.907696,51.7514,4.52563,176.268,21.8959,0.471108,0.319761,0.186603,152.683,0.310005,10.74,2.14147,0.393102,0.951348
0.0140046,0.0666667,0.380556,0.975678,0.375975,0.0582697,0.309443,0.116116,0.447993,98.5017,92.2161,85.5157,54.2656,47.1162,44.4662,0.531825,0.573236,0.721147,64.3991,0.361113,3.25836,14.3332,4.85329,3.54826,0.156057,-0.455856,0.238996,96.1217,0.911111,-9.39439,10.7718,0.179958,4.68231,0.133563,2.61845,-2.99224,80.5609,0.383333,87.4273,7.58948,7.14753,25.8548,7.59192,113.77,49.1586,0.785108,0.267634,0.0839879,160.031,-0.0616032,6.34113,16.4347,0.220093,0.632037
