V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54
0.0756192,0.120833,1.0,0.871039,0.497336,0.0886668,1.0142,0.060075,0.374186,103.487,95.8247,96.9204,33.8132,30.3315,28.6667,1.18488,1.22717,1.02112,67.3446,2.24066,0.179907,8.43896,2.0125,2.39289,0.453543,-0.598522,1.42069,67.0857,1.0,-0.533196,58.7987,0.608325,14.1878,0.247759,1.32776,-17.2635,160.427,0.55625,135.592,24.0244,-4.24704,29.8944,18.5026,159.89,39.9102,0.57204,0.195769,0.0230795,91.4696,-4.32864,14.4763,9.2693,0.0652141,0.295246
0.0311574,0.404167,0.119444,0.807656,0.512832,0.376848,0.090991,0.0796805,0.354591,65.9261,57.37,52.7394,15.3232,13.8474,13.0547,2.29501,4.10541,5.33409,54.808,2.32787,3.82066,4.87385,1.68788,2.49558,1.75583,-0.0519763,0.0782482,73.7922,1.0,0.122732,6.45936,0.214238,14.8801,0.496936,0.064561,0.184904,143.082,0.164583,113.611,29.794,-1.7177,44.458,2.20742,97.091,16.1501,0.551627,0.239913,0.0144877,196.755,-1.52231,25.6991,18.2352,0.413241,0.151716
0.248715,1.0,0.3375,0.490668,0.239582,1.03478,0.276693,0.0234073,0.263066,99.0142,92.6677,66.2446,36.1759,35.0144,37.6529,0.748538,0.597841,1.55857,65.2034,-2.31846,14.2068,10.8886,2.64183,7.61788,-0.398117,0.454368,-0.475269,72.1839,1.0,-0.940558,22.348,0.0572496,9.99222,0.390297,11.62,-0.905821,79.5828,0.569444,63.1015,61.6424,1.48461,9.72035,6.32516,191.645,5.89377,0.569627,0.332263,0.0327351,164.856,2.31927,56.174,6.15675,0.0119734,0.99011
0.0244618,0.172917,0.227778,0.910213,0.788446,0.163904,0.181815,0.0617459,0.37893,149.948,145.163,137.903,80.7268,78.0461,78.2824,0.00719842,0.0276288,-0.0105728,76.3668,-0.0449242,3.44123,19.6441,2.87735,6.57644,-0.442723,3.2579,-0.147012,59.7214,1.0,6.54757,22.3554,0.117848,8.7562,0.81542,-11.2055,1.68039,96.7961,0.111111,113.843,21.3656,-1.29624,14.1477,8.38548,106.425,90.6821,0.350335,0.360432,0.068708,103.365,-1.26588,18.1187,15.587,0.127216,0.898595
0.293675,1.0,0.35,0.488618,0.570782,0.960456,0.304634,0.0225826,0.160929,105.243,106.135,114.009,28.9862,26.0926,25.0942,0.489994,0.152603,-0.348242,70.092,0.833046,-3.09018,7.37319,1.57548,3.65486,-0.384796,0.564389,1.65913,98.4322,1.0,-0.302973,41.207,0.417549,9.99735,0.153742,-3.36017,0.22051,168.653,0.641667,185.309,23.347,6.77115,26.1318,3.51016,132.018,53.9269,0.537994,0.174194,0.044837,176.388,2.63225,78.8906,1.06126,0.0105671,0.0952511
0.00324653,0.0791667,0.05,0.241771,0.235611,0.0720466,0.0443629,0.156863,0.179825,136.203,165.299,197.483,43.7568,47.1633,49.8575,-0.236717,-0.30369,-0.437588,82.5781,-2.38296,-10.7771,10.2116,1.049,2.44298,-0.5331,-0.0758251,-0.593043,65.9145,0.91875,-1.00472,65.6953,0.534544,1.64071,0.449519,1.46844,2.03467,113.435,0.252778,103.579,63.3954,1.97406,23.2962,12.6692,91.1649,63.496,0.85033,0.457769,0.0456078,84.7368,0.893059,26.9993,17.2048,0.147205,0.409843
0.313102,1.0,0.752083,0.492992,0.63565,0.571034,0.714929,0.0256358,0.583687,67.3782,65.5716,55.4372,32.9534,34.0592,35.0041,3.23278,2.95367,3.17411,55.5723,-0.801942,7.02786,12.6238,4.00347,5.00133,-0.790828,5.03689,2.50372,59.689,0.675,2.09273,49.1544,0.288233,14.2685,0.132795,12.1143,0.982176,142.006,0.322222,112.032,37.0248,1.43664,17.5779,7.6916,59.16,22.6597,0.756409,0.517789,0.0483179,199.103,-1.71054,28.9798,5.87091,0.344664,1.07436
0.111823,0.514583,0.316667,0.628414,0.559413,0.451109,0.281479,0.0326554,0.313765,83.1243,59.4363,39.769,57.6802,57.9853,57.142,1.0521,1.40263,2.18761,50.8114,7.9966,22.5333,20.4302,7.80894,13.8665,0.479319,0.90274,-0.0907826,65.8264,0.354167,7.85711,43.4861,0.496469,7.45032,0.417397,-2.43527,-1.64625,74.5876,0.494444,92.0837,32.6702,-0.0665788,16.5223,23.3342,68.875,12.4139,0.369392,0.72134,0.0730295,139.331,1.58721,49.9162,14.405,0.161933,0.720214
0.0502344,0.18125,0.416667,0.472438,0.443834,0.14956,0.361628,0.0579316,0.334828,159.69,164.381,161.266,27.5827,25.4384,27.3785,-0.671325,-0.877258,-0.680871,83.6431,-1.29204,0.634057,5.68409,0.896332,3.42156,-1.45233,-0.195393,0.87955,96.2116,0.177083,-13.7896,52.4422,0.671764,4.81593,0.394053,-0.981107,0.0989822,106.085,0.386111,243.499,44.8964,1.28058,16.6687,7.61462,79.3891,25.1181,0.134952,0.657534,0.0141131,89.5223,1.07556,28.904,10.0539,0.461603,0.326829
0.0377546,0.579167,0.155556,0.515463,0.439874,0.480752,0.123216,0.0855304,0.580935,161.901,150.78,146.127,40.8739,37.122,42.411,-1.07711,-0.884463,-0.675199,80.9361,1.55398,2.60062,9.42651,3.73543,4.031,-1.59911,-1.73918,0.745694,90.3118,1.0,-0.0847444,50.2124,0.320907,7.29742,0.670334,8.9838,2.07439,170.216,0.402778,147.375,0.675317,1.40233,61.1038,19.3727,179.098,57.1578,0.485101,0.257238,0.0229532,171.933,-1.16159,71.6394,5.6873,0.138333,0.33941
