f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,target
71,91,83,74,94,0,0,0,12,50,0,0,0,0,19,1,0,0,0,0,0,1,1,0,0,0,1
89,105,76,71,94,0,2,1,0,9,81,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,149,77,71,94,0,0,5,41,0,0,71,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,77,136,72,94,6,7,17,2,1,0,0,0,0,0,0,0,45,3,0,0,0,0,0,0,0,0
21,114,76,71,94,0,2,1,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,79,71,94,0,0,17,7,29,36,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1
92,77,88,115,94,57,26,2,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0
32,147,76,71,94,0,0,0,0,1,2,5,62,22,0,0,0,0,0,0,0,0,0,0,0,0,0
75,79,80,78,94,0,44,19,0,0,3,4,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1
61,77,76,71,94,0,0,4,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,123,91,71,94,42,6,1,0,0,0,0,0,12,47,0,0,0,0,0,0,0,0,0,0,0,0
107,99,76,71,94,0,0,12,50,0,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,170,76,71,94,0,0,0,0,0,0,0,37,67,0,0,0,0,0,0,0,0,0,0,0,0,0
74,77,79,72,94,0,1,1,31,31,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1
64,77,76,71,94,4,3,29,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,77,76,71,94,0,37,62,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,96,76,71,94,0,2,0,1,2,48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,77,78,76,94,50,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1
43,97,76,71,94,1,6,0,0,0,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
