f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33
105,86,76,71,94,0,0,62,0,8,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,78,145,71,94,0,0,44,21,0,0,0,0,0,0,0,5,51,0,0,0,0,0,0,0,0
16,119,79,71,94,0,0,0,0,1,2,1,0,36,8,0,0,0,0,0,0,0,0,0,0,0
74,77,88,115,94,0,0,0,38,27,0,0,0,0,0,0,0,0,0,0,38,2,0,0,0,0
105,89,77,72,94,0,44,19,1,2,42,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89,105,76,71,94,0,25,41,0,0,0,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0
117,77,76,71,94,1,42,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,84,78,71,94,0,0,0,9,56,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0
145,77,76,71,94,0,8,71,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,77,76,71,94,56,9,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,78,76,71,94,0,2,42,23,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,104,76,71,94,0,0,9,13,32,42,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,82,76,71,94,0,0,0,0,48,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
133,77,76,71,94,38,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,110,76,71,94,0,2,1,5,18,6,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0
66,79,76,71,94,0,43,11,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,77,76,71,94,1,9,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,78,76,71,94,0,0,37,66,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,77,76,71,94,1,58,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,77,80,72,94,0,1,1,46,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0
61,83,82,71,94,0,2,1,0,32,22,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
18,200,83,71,94,1,0,0,0,0,4,2,0,113,21,0,0,0,0,0,0,0,0,0,0,0
40,82,76,71,94,1,2,3,10,10,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
64,81,123,71,94,0,11,43,0,0,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0
62,119,96,72,94,0,11,39,2,0,0,0,0,0,57,2,0,0,0,0,1,0,0,0,0,0
33,124,111,71,94,12,8,0,0,0,0,0,1,1,37,37,0,0,0,0,0,0,0,0,0,0
28,113,77,71,94,0,0,0,0,0,0,20,25,7,1,0,0,0,0,0,0,0,0,0,0,0
61,77,78,71,94,2,1,0,19,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
92,77,76,71,94,0,0,0,52,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,84,96,71,94,43,6,0,0,0,0,0,1,0,0,3,18,0,0,0,0,0,0,0,0,0
17,150,83,71,94,0,3,0,0,0,0,0,4,71,0,0,0,5,1,0,0,0,0,0,0,0
125,81,77,72,94,0,0,25,37,45,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,77,76,71,94,0,7,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,78,78,73,94,56,6,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
32,112,76,71,94,5,5,0,0,3,0,0,31,13,0,0,0,0,0,0,0,0,0,0,0,0
59,77,76,71,94,9,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,97,76,71,94,32,47,46,0,1,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,84,76,71,94,0,25,39,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0
113,80,76,71,94,0,1,2,5,88,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,77,78,73,94,25,74,12,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
75,84,76,71,94,0,1,1,0,41,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,111,87,71,94,0,37,10,1,2,0,0,0,10,33,0,0,0,0,0,0,0,0,0,0,0
66,141,76,83,159,0,0,0,0,0,28,47,46,0,0,0,0,0,0,0,0,0,0,0,32,9
123,85,76,71,94,0,37,25,0,30,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,77,76,71,94,0,31,31,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,131,76,71,94,46,0,0,0,11,50,0,7,37,0,0,0,0,0,0,0,0,0,0,0,0
145,77,76,71,94,50,12,32,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,77,76,71,94,8,77,58,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,100,85,87,94,0,0,0,0,13,66,15,0,0,0,0,0,0,0,10,8,0,0,0,0,0
114,77,77,76,94,0,19,44,28,18,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
52,86,132,77,94,0,2,1,1,10,38,0,0,0,0,0,0,31,17,0,0,0,0,0,0,0
43,94,145,71,94,0,1,2,0,0,27,19,0,0,0,0,5,51,0,0,0,0,0,0,0,0
89,77,77,77,94,0,1,2,16,63,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
82,140,76,71,94,0,0,0,0,0,38,79,21,0,0,0,0,0,0,0,0,0,0,0,0,0
54,97,79,94,94,0,0,0,3,0,39,22,0,0,0,0,0,0,0,0,8,9,0,0,0,0
94,82,76,71,94,55,25,0,0,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
18,115,98,80,94,0,0,3,2,0,0,0,0,25,19,0,0,0,13,5,0,0,0,0,0,0
77,77,76,71,94,0,34,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,77,76,71,94,0,1,3,37,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,93,76,71,94,0,0,1,1,0,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,84,125,71,94,1,1,0,0,24,21,0,0,0,0,0,11,31,0,0,0,0,0,0,0,0
85,106,76,71,94,0,0,0,0,46,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,82,76,71,94,6,1,0,0,32,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,118,116,73,94,0,0,0,0,2,59,0,0,0,0,51,7,0,0,0,2,0,0,0,0,0
63,113,76,75,120,0,37,9,0,0,0,0,31,14,0,0,0,0,0,0,0,0,0,0,10,6
130,116,81,71,94,9,37,79,0,0,0,0,0,28,15,0,0,0,0,0,0,0,0,0,0,0
22,92,76,71,94,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0
120,110,97,74,94,0,71,8,0,0,6,60,3,0,0,0,0,10,9,0,0,0,0,0,0,0
97,96,76,71,94,0,0,3,0,33,68,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,77,76,71,94,0,0,18,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,77,76,71,94,6,56,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,77,76,71,94,0,5,60,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,108,76,72,97,0,1,3,1,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,2,0
77,77,76,71,94,12,50,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,82,84,92,94,0,0,0,6,56,0,0,3,4,0,0,0,0,0,5,13,1,1,0,0,0
93,102,76,71,94,0,29,38,0,0,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
93,77,76,71,94,1,20,63,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,77,76,71,94,0,15,127,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,79,76,71,94,0,0,26,56,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
74,77,76,81,150,2,0,0,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8
90,123,92,74,94,0,0,63,16,3,0,0,0,11,48,0,0,0,0,0,0,1,1,0,0,0
130,77,81,75,94,0,79,37,9,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0
96,96,76,71,94,1,0,0,18,28,44,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,77,76,71,94,0,0,0,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,115,102,71,94,0,0,0,1,1,1,1,0,0,34,25,0,0,0,0,0,0,0,0,0,0
128,79,76,71,94,0,0,23,23,70,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,91,76,71,94,0,0,0,0,18,44,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
56,82,76,77,117,0,0,0,5,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
16,129,155,71,94,0,3,0,0,0,0,0,0,0,58,1,37,20,0,0,0,0,0,0,0,0
58,81,76,71,94,0,5,41,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
52,82,77,71,94,0,0,0,31,10,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
83,77,76,73,94,1,39,25,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66,78,81,74,94,0,38,16,0,0,2,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0
48,85,76,78,99,0,0,0,0,11,35,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0
126,80,77,71,94,0,0,12,50,49,13,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
76,80,76,71,94,0,0,8,1,48,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,77,76,71,94,23,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,77,78,76,97,0,49,5,0,2,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,0
20,77,128,71,94,3,0,1,1,2,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0
67,102,76,71,94,0,1,1,0,2,53,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,138,85,71,94,0,0,0,0,2,43,0,0,30,29,0,0,0,0,0,0,0,0,0,0,0
78,77,76,71,94,0,0,37,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,112,86,71,94,0,1,1,0,2,0,0,0,13,31,0,0,0,0,0,0,0,0,0,0,0
71,77,79,79,94,0,0,0,6,56,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
81,97,76,72,94,0,30,18,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,77,76,71,94,0,0,23,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,77,76,71,94,3,3,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,86,76,71,94,0,0,19,44,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,119,98,71,94,0,0,2,1,1,45,60,0,0,0,0,7,12,0,0,0,0,0,0,0,0
72,83,76,71,94,0,0,2,5,35,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,77,78,73,94,50,59,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
22,170,76,71,94,0,0,0,0,0,0,0,37,67,0,0,0,0,0,0,0,0,0,0,0,0
60,108,109,71,94,1,47,0,0,1,0,0,0,0,13,45,0,0,0,0,0,0,0,0,0,0
77,77,76,71,94,1,0,18,30,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,77,79,71,94,0,0,0,28,18,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
70,77,76,71,94,2,10,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
