f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33
76,77,76,71,94,0,39,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,98,76,73,96,5,5,0,0,0,30,15,0,6,0,0,0,0,0,0,0,0,0,2,0,0
200,77,76,71,94,44,19,88,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,77,76,71,94,0,2,0,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,88,79,72,94,0,0,0,0,2,44,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
59,79,79,71,94,0,0,2,33,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
132,77,76,71,94,2,19,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,77,76,71,94,0,14,35,66,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,79,77,75,96,0,1,34,14,0,0,0,0,1,2,0,0,0,0,0,0,0,4,1,0,0
71,77,77,99,129,0,0,0,43,19,0,0,0,0,1,0,0,0,0,0,0,0,2,35,0,0
39,155,76,71,94,0,0,0,0,1,8,38,2,57,0,0,0,0,0,0,0,0,0,0,0,0
70,136,77,71,94,0,0,0,0,59,3,0,0,58,1,0,0,0,0,0,0,0,0,0,0,0
200,78,76,71,94,0,27,146,31,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,97,122,72,96,0,2,41,5,0,0,0,0,0,0,27,31,0,0,0,0,0,0,1,1,0
37,77,76,72,94,0,4,11,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
98,81,77,71,94,0,0,2,24,54,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,77,76,71,94,0,68,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,132,76,75,96,0,0,2,1,0,0,2,74,0,0,0,0,0,0,0,0,0,3,1,0,0
93,162,92,71,94,1,1,0,0,0,54,85,0,0,39,5,0,0,0,0,0,0,0,0,0,0
81,77,76,71,94,0,37,30,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,88,79,71,94,0,0,0,0,14,31,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
71,79,84,73,94,0,50,12,0,0,0,0,0,0,0,3,5,0,0,1,2,0,0,0,0,0
38,149,78,71,94,12,15,0,0,0,0,0,0,69,6,0,0,0,0,0,0,0,0,0,0,0
51,130,92,71,94,0,0,2,1,13,33,0,0,9,49,0,0,0,0,0,0,0,0,0,0,0
26,173,87,71,94,0,0,0,0,0,0,9,36,41,34,0,0,0,0,0,0,0,0,0,0,0
98,96,76,71,94,1,45,19,0,0,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,82,76,71,94,37,9,0,1,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,92,76,71,94,0,2,1,0,1,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,77,76,71,94,5,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,77,76,71,94,0,0,53,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,91,76,71,94,0,0,3,1,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,77,79,75,94,1,1,32,49,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
40,102,76,71,94,0,3,0,0,4,2,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0
18,110,114,71,94,0,3,0,0,0,0,2,7,0,0,54,4,0,0,0,0,0,0,0,0,0
75,82,76,71,94,0,0,7,58,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
15,93,194,75,94,0,0,0,1,2,0,0,0,0,0,25,18,60,11,0,0,0,0,0,0,0
55,98,78,71,94,0,4,1,0,0,36,25,0,0,0,0,1,1,0,0,0,0,0,0,0,0
