Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile
1,9,18,0,0,0,0,43,7,1461.0,2,12,437062.0,386328.0,-1.444417,53.372519,14,2,1,215.0,6135.0,0.0,0,2,1,1,52,8,0,0,9,2
2,3,18,0,0,0,0,22,5,125.0,1,4,532810.0,177750.0,-0.088737,51.483119,1,2,1,8.0,214.0,0.0,0,2,1,0,22,5,0,0,3,5
1,19,18,0,0,0,0,35,6,2198.0,2,7,428993.0,514310.0,-1.553581,54.523256,11,3,3,161.0,0.0,0.0,0,1,1,0,35,6,0,0,19,3
3,9,4,0,0,0,0,31,6,1995.0,1,12,529671.0,335600.0,-0.07355199999999999,52.902203,32,4,2,350.0,16.0,0.0,1,1,1,1,52,8,0,0,9,2
2,9,17,0,0,0,0,30,6,2521.0,1,9,536460.0,167690.0,-0.040078,51.391848,1,3,8,19.0,214.0,0.0,0,1,4,0,42,7,0,0,11,9
1,9,9,0,0,0,0,25,5,1199.0,1,12,528449.0,380408.0,-0.073805,53.30505,32,2,1,351.0,153.0,551.0,1,1,1,0,25,5,0,0,9,4
2,9,18,0,0,0,0,30,6,1997.0,1,3,378642.0,345543.0,-2.319742,53.00676899999999,21,3,2,253.0,525.0,17.0,1,3,2,1,55,8,0,0,9,3
1,9,4,0,0,0,0,33,6,1390.0,1,8,539750.0,181620.0,0.012676,51.516223,1,3,2,17.0,13.0,0.0,0,3,2,0,24,5,0,0,9,3
1,3,18,0,4,10,0,36,7,100.0,1,10,366870.0,398950.0,-2.500747,53.486214,6,2,1,114.0,574.0,0.0,0,1,1,0,36,7,0,0,3,8
1,5,18,0,0,0,0,55,8,1198.0,1,4,492190.0,299062.0,-0.64085,52.581564,33,1,1,368.0,672.0,0.0,1,1,1,0,55,8,0,0,5,9
1,9,1,0,0,0,0,68,10,1398.0,1,5,377294.0,148537.0,-2.32661,51.235559,52,2,1,606.0,0.0,0.0,0,1,1,1,68,10,0,0,9,4
1,5,17,0,0,2,0,22,5,645.0,1,14,462379.0,349071.0,-1.071209,53.03529,31,1,2,343.0,0.0,0.0,1,1,2,0,21,5,0,0,5,7
3,9,3,0,0,0,0,36,7,1596.0,1,5,490689.0,408207.0,-0.632267,53.56265300000001,16,3,2,232.0,1501.0,0.0,0,2,1,0,27,6,0,0,9,1
2,9,18,0,0,0,0,33,6,1995.0,2,7,623530.0,307682.0,1.300878,52.62086,36,2,2,404.0,147.0,818.0,0,1,1,1,75,10,0,0,9,5
1,9,18,0,0,0,0,69,10,5998.0,1,4,572386.0,206931.0,0.495038,51.73458,42,1,1,454.0,138.0,0.0,0,1,1,0,43,7,1,1,0,10
1,9,18,0,0,0,0,19,4,1198.0,1,1,330794.0,399286.0,-3.044423,53.48571800000001,5,2,1,93.0,0.0,0.0,0,2,2,1,31,6,0,0,9,7
1,9,13,0,0,0,0,27,6,1598.0,2,1,413371.0,329767.0,-1.802828,52.865222,21,2,2,251.0,5017.0,512.0,1,2,2,0,29,6,0,0,19,9
1,9,18,0,0,0,0,22,5,1587.0,1,12,434408.0,387168.0,-1.484214,53.380248,14,2,1,215.0,61.0,6547.0,0,1,1,1,22,5,0,0,9,10
2,9,2,0,0,0,0,42,7,1998.0,2,7,479764.0,352039.0,-0.811272,53.059658,31,2,1,345.0,0.0,0.0,0,1,1,0,32,6,0,0,4,4
2,9,18,0,0,0,0,38,7,1560.0,2,9,251457.0,130277.0,-4.120725,51.052575,50,5,5,582.0,39.0,0.0,1,2,1,1,38,7,0,0,9,4
1,19,3,0,0,0,0,26,6,2198.0,2,1,525870.0,171350.0,-0.190904,51.427187,1,2,1,22.0,218.0,0.0,0,1,1,0,53,8,0,0,19,10
1,9,4,0,0,0,0,45,7,1685.0,2,3,396730.0,398430.0,-2.050744,53.482579,6,1,1,110.0,6175.0,0.0,0,1,1,0,29,6,6,9,0,1
1,9,18,0,0,0,0,29,6,1390.0,1,7,390660.0,347554.0,-2.140701,53.025193,21,2,1,257.0,52.0,0.0,0,2,1,0,12,3,0,0,1,4
2,9,7,0,0,0,0,32,6,2499.0,2,14,528760.0,189650.0,-0.142681,51.590996,1,2,1,31.0,504.0,504.0,0,1,1,1,41,7,0,0,9,7
3,9,18,0,0,0,0,34,6,1995.0,2,9,556947.0,192119.0,0.265004,51.606039,42,3,1,452.0,25.0,0.0,1,3,1,1,34,6,0,0,9,3
2,3,18,0,0,0,0,29,6,125.0,1,2,520960.0,185460.0,-0.256662,51.555066,1,2,1,28.0,4557.0,0.0,0,2,1,0,29,6,0,0,3,5
2,9,7,0,0,0,0,25,5,1598.0,1,5,452907.0,303250.0,-1.219858,52.624442,33,2,2,360.0,47.0,3522.0,0,1,1,0,19,4,0,0,19,4
2,9,18,0,0,0,0,31,6,999.0,1,1,393580.0,408690.0,-2.098425,53.57477,6,5,4,104.0,0.0,0.0,0,2,2,1,31,6,0,0,9,4
2,9,18,0,0,0,0,20,4,1360.0,1,11,250336.0,54070.0,-4.105785,50.367449,50,2,2,583.0,379.0,0.0,0,2,2,0,23,5,0,0,9,6
4,9,4,0,0,0,0,58,9,1968.0,2,2,455120.0,397306.0,-1.1711120000000002,53.469614,14,6,2,211.0,18.0,0.0,1,2,1,0,30,6,0,0,9,9
2,9,3,0,0,0,0,59,9,1984.0,2,2,425293.0,564414.0,-1.606403,54.973703,10,2,1,147.0,167.0,167.0,0,1,1,0,35,6,0,0,9,1
2,9,18,0,0,0,0,50,8,1598.0,2,2,405850.0,286310.0,-1.915303,52.474691,20,2,3,300.0,0.0,0.0,0,1,1,0,35,6,0,0,9,5
1,9,18,0,0,0,0,25,5,1997.0,2,4,518740.0,183860.0,-0.289207,51.541158,1,2,5,28.0,0.0,0.0,0,2,2,0,36,7,0,0,9,3
1,9,18,0,1,6,0,54,8,1997.0,2,10,439769.0,464515.0,-1.393712,54.075034,12,2,3,182.0,1.0,0.0,1,2,2,0,21,5,0,0,9,4
1,9,9,0,0,0,0,25,5,1360.0,1,12,439736.0,541075.0,-1.38399,54.763044,11,2,1,169.0,15.0,0.0,0,2,1,0,21,5,0,0,3,1
1,9,16,0,0,7,0,39,7,2231.0,2,8,385030.0,341457.0,-2.224353,52.970258,21,1,2,255.0,6.0,0.0,1,1,1,1,35,6,0,0,9,2
1,9,9,0,0,0,0,22,5,1396.0,1,11,355560.0,429870.0,-2.675606,53.763274,4,1,2,79.0,59.0,0.0,0,1,2,1,10,2,5,1,0,2
1,8,9,0,0,0,0,60,9,1598.0,2,2,352000.0,428460.0,-2.729385,53.750286,4,2,1,83.0,59.0,0.0,0,2,1,1,20,4,0,0,1,10
1,9,17,0,10,11,0,19,4,1149.0,1,13,245423.0,70633.0,-4.18165,50.515023,50,1,1,589.0,3257.0,0.0,1,1,1,1,19,4,0,0,9,5
2,9,17,0,0,1,0,44,7,1396.0,1,13,485427.0,376665.0,-0.720228,53.28009,32,2,2,356.0,156.0,0.0,1,2,1,1,44,7,0,0,9,2
2,9,4,0,0,0,0,37,7,2993.0,2,2,414876.0,255946.0,-1.783754,52.201546,23,4,1,293.0,46.0,0.0,1,1,1,1,50,8,0,0,9,8
2,9,17,0,0,0,0,55,8,1796.0,1,14,422218.0,294823.0,-1.6737650000000002,52.550803,23,2,1,290.0,4098.0,0.0,1,2,1,1,55,8,0,0,9,10
2,9,3,0,0,0,0,43,7,1968.0,2,7,412080.0,286910.0,-1.823561,52.479984,20,2,3,300.0,0.0,4128.0,0,2,2,0,25,5,0,0,9,1
1,9,1,0,0,0,0,46,8,1896.0,2,9,201010.0,52334.0,-4.797672,50.337238,50,1,1,596.0,0.0,0.0,0,1,1,0,82,11,8,8,0,3
3,9,4,0,0,0,0,53,8,1997.0,1,1,507077.0,199099.0,-0.452664,51.680457,41,3,4,436.0,25.0,0.0,1,1,1,0,38,7,0,0,19,2
1,9,4,0,0,0,0,49,8,1275.0,1,16,406980.0,289360.0,-1.898604,52.502097,20,1,1,300.0,4144.0,0.0,0,1,1,1,18,4,1,3,0,1
1,9,18,0,0,0,0,68,10,1998.0,2,12,617606.0,216039.0,1.154642,51.80063300000001,42,3,1,461.0,0.0,0.0,0,2,1,1,41,7,0,0,9,1
1,9,18,0,0,0,0,44,7,1984.0,1,7,520800.0,181880.0,-0.260196,51.522926,1,2,2,27.0,4000.0,0.0,0,1,1,1,44,7,0,0,9,8
2,9,18,0,0,0,0,53,8,1364.0,2,5,416510.0,360390.0,-1.754647,53.140408,30,2,1,329.0,515.0,0.0,1,2,1,0,53,8,0,0,9,9
2,5,18,0,0,0,0,21,5,471.0,1,1,530920.0,187290.0,-0.112398,51.56929,1,2,1,31.0,1201.0,0.0,0,2,1,0,21,5,0,0,5,6
2,9,3,0,0,0,0,54,8,2231.0,2,1,427902.0,579009.0,-1.564226,55.104713,10,2,2,139.0,192.0,0.0,1,2,2,1,54,8,0,0,9,9
