Vehicle_Reference_df_res,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Hit_Object_in_Carriageway,Hit_Object_off_Carriageway,Was_Vehicle_Left_Hand_Drive?,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Number_of_Vehicles,Number_of_Casualties,Local_Authority_(District),1st_Road_Number,2nd_Road_Number,Urban_or_Rural_Area,Vehicle_Reference_df,Casualty_Reference,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Casualty_Type,Casualty_IMD_Decile
2,9,4,0,0,0,0,39,7,1753.0,2,8,421682.0,568490.0,-1.662506,55.0105,10,2,1,147.0,1.0,0.0,0,1,1,1,14,3,0,0,8,2
1,9,18,0,0,0,0,48,8,2993.0,2,10,514260.0,187300.0,-0.352661,51.572999,1,1,1,29.0,0.0,0.0,0,1,1,0,13,3,5,1,0,5
1,9,4,0,0,0,0,19,4,1590.0,1,11,459168.0,305062.0,-1.127053,52.640085,33,2,1,364.0,594.0,0.0,0,1,1,0,23,5,1,2,0,2
1,11,18,0,0,0,0,45,7,6370.0,2,13,356400.0,173618.0,-2.62895,51.459848,52,2,2,601.0,4176.0,0.0,1,1,2,0,31,6,0,0,11,7
1,9,16,0,10,10,0,18,4,1199.0,1,13,417681.0,291127.0,-1.74087,52.517743,23,1,2,290.0,4117.0,0.0,1,1,1,1,18,4,0,0,9,7
2,9,17,0,0,0,0,55,8,1399.0,1,6,447200.0,316898.0,-1.302206,52.747649,33,2,2,362.0,7207.0,7204.0,1,1,1,0,34,6,0,0,8,1
1,9,9,0,0,0,0,56,9,1398.0,2,4,461532.0,378381.0,-1.0782120000000002,53.298819,31,2,2,341.0,0.0,0.0,1,1,1,1,56,9,0,0,9,5
2,9,17,0,0,0,0,49,8,1390.0,1,11,503828.0,343737.0,-0.455001,52.98093000000001,32,2,1,353.0,323.0,0.0,1,2,1,1,49,8,0,0,9,9
2,9,9,0,0,11,0,24,5,1597.0,1,11,501930.0,367490.0,-0.475736,53.194735,32,2,2,353.0,1188.0,0.0,1,1,1,0,20,4,0,0,4,5
1,9,17,0,10,4,0,62,9,2987.0,2,5,507850.0,192040.0,-0.443662,51.616864,1,1,2,26.0,404.0,0.0,0,1,1,0,62,9,0,0,9,7
1,9,4,0,0,0,0,56,9,1998.0,1,11,291246.0,63721.0,-3.533607,50.463203,50,1,1,587.0,379.0,0.0,0,1,1,0,49,8,6,9,0,8
1,9,18,0,0,0,0,26,6,1997.0,1,9,546008.0,210789.0,0.114965,51.77673,42,1,1,457.0,0.0,0.0,0,1,1,0,11,3,1,3,0,3
1,9,17,0,0,0,0,56,9,2495.0,2,11,387955.0,349867.0,-2.181117,53.04593000000001,21,2,1,257.0,0.0,0.0,0,2,1,0,26,6,0,0,1,1
