,scaled_input_RevolvingUtilizationOfUnsecuredLines,scaled_input_age,scaled_input_NumberOfTime30-59DaysPastDueNotWorse,scaled_input_DebtRatio,scaled_input_MonthlyIncome,scaled_input_NumberOfOpenCreditLinesAndLoans,scaled_input_NumberOfTimes90DaysLate,scaled_input_NumberRealEstateLoansOrLines,scaled_input_NumberOfTime60-89DaysPastDueNotWorse,scaled_input_NumberOfDependents,scaled_input_target,origin_input_RevolvingUtilizationOfUnsecuredLines,origin_input_age,origin_input_NumberOfTime30-59DaysPastDueNotWorse,origin_input_DebtRatio,origin_input_MonthlyIncome,origin_input_NumberOfOpenCreditLinesAndLoans,origin_input_NumberOfTimes90DaysLate,origin_input_NumberRealEstateLoansOrLines,origin_input_NumberOfTime60-89DaysPastDueNotWorse,origin_input_NumberOfDependents,origin_input_target,scaled_cf_RevolvingUtilizationOfUnsecuredLines,scaled_cf_age,scaled_cf_NumberOfTime30-59DaysPastDueNotWorse,scaled_cf_DebtRatio,scaled_cf_MonthlyIncome,scaled_cf_NumberOfOpenCreditLinesAndLoans,scaled_cf_NumberOfTimes90DaysLate,scaled_cf_NumberRealEstateLoansOrLines,scaled_cf_NumberOfTime60-89DaysPastDueNotWorse,scaled_cf_NumberOfDependents,scaled_cf_target,origin_cf_RevolvingUtilizationOfUnsecuredLines,origin_cf_age,origin_cf_NumberOfTime30-59DaysPastDueNotWorse,origin_cf_DebtRatio,origin_cf_MonthlyIncome,origin_cf_NumberOfOpenCreditLinesAndLoans,origin_cf_NumberOfTimes90DaysLate,origin_cf_NumberRealEstateLoansOrLines,origin_cf_NumberOfTime60-89DaysPastDueNotWorse,origin_cf_NumberOfDependents,origin_cf_target,running_time,Found,ground_truth,prediction
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0,1.661602742680323e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.811035406,37.0,0.0,0.4159490145751653,9490.0,9.0,0.0,2.0,0.0,2.0,N,0.057225942611694336,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0,1.6794455992504995e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.811035406,37.0,0.0,0.42041561686037754,9490.0,9.0,0.0,2.0,0.0,2.0,N,0.05877876281738281,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0,1.653409583806959e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.811035406,37.0,0.0,0.4138980211143961,9490.0,9.0,0.0,2.0,0.0,2.0,N,0.05575394630432129,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0,1.6725084711676747e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.811035406,37.0,0.0,0.418679045587404,9490.0,9.0,0.0,2.0,0.0,2.0,N,0.05860185623168945,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0,1.662231696021602e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.811035406,37.0,0.0,0.4161064604650876,9490.0,9.0,0.0,2.0,0.0,2.0,N,0.05852317810058594,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,4.310130643674775e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.9482287416084505,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.03465914726257324,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,4.3097764499401594e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.9481508189868351,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.17032599449157715,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,4.3110610315340264e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.9484334269374859,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.03489208221435547,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,4.307915781298954e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.94774147188577,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.1633608341217041,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,4.309884124934932e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.9481745074856851,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.17198491096496582,Y,1.0,Y
0,8.634636727272726e-06,0.0641025641025641,0.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,0.0,0.189962008,26.0,0.0,0.99760096,2500.0,6.0,0.0,2.0,0.0,0.0,0.0,8.634636727272726e-06,0.0641025641025641,0.0,2.4549015474398535e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,Y,0.189962008,26.0,0.0,0.6145355043706185,2500.0,6.0,0.0,2.0,0.0,0.0,Y,0.04627108573913574,Y,0.0,N
0,8.634636727272726e-06,0.0641025641025641,0.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,0.0,0.189962008,26.0,0.0,0.99760096,2500.0,6.0,0.0,2.0,0.0,0.0,0.0,8.634636727272726e-06,0.0641025641025641,0.0,2.520352489497351e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,Y,0.189962008,26.0,0.0,0.6309198386958719,2500.0,6.0,0.0,2.0,0.0,0.0,Y,0.046421051025390625,Y,0.0,N
0,8.634636727272726e-06,0.0641025641025641,0.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,0.0,0.189962008,26.0,0.0,0.99760096,2500.0,6.0,0.0,2.0,0.0,0.0,0.0,8.634636727272726e-06,0.0641025641025641,0.0,2.4911658911127404e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,Y,0.189962008,26.0,0.0,0.6236135575222523,2500.0,6.0,0.0,2.0,0.0,0.0,Y,0.043683767318725586,Y,0.0,N
0,8.634636727272726e-06,0.0641025641025641,0.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,0.0,0.189962008,26.0,0.0,0.99760096,2500.0,6.0,0.0,2.0,0.0,0.0,0.0,8.634636727272726e-06,0.0641025641025641,0.0,2.5681370127869834e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,Y,0.189962008,26.0,0.0,0.6428817384109655,2500.0,6.0,0.0,2.0,0.0,0.0,Y,0.04395914077758789,Y,0.0,N
0,8.634636727272726e-06,0.0641025641025641,0.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,0.0,0.189962008,26.0,0.0,0.99760096,2500.0,6.0,0.0,2.0,0.0,0.0,0.0,8.634636727272726e-06,0.0641025641025641,0.0,2.5074610571059323e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,Y,0.189962008,26.0,0.0,0.627692726425328,2500.0,6.0,0.0,2.0,0.0,0.0,Y,0.04314017295837402,Y,0.0,N
0,4.4281098409090906e-05,0.43589743589743585,0.01020408163265306,2.2578505652538646e-05,0.018,0.13461538461538464,0.0,0.06896551724137931,0.0,0.0,1.0,0.974184165,55.0,1.0,0.565207732,4500.0,7.000000000000001,0.0,2.0,0.0,0.0,1.0,4.4281098409090906e-05,0.43589743589743585,0.01020408163265306,1.964128055483597e-05,0.018,0.13461538461538464,0.0,0.06896551724137931,0.0,0.0,N,0.974184165,55.0,1.0,0.49168017612920883,4500.0,7.000000000000001,0.0,2.0,0.0,0.0,N,0.07709217071533203,Y,1.0,Y
0,4.4281098409090906e-05,0.43589743589743585,0.01020408163265306,2.2578505652538646e-05,0.018,0.13461538461538464,0.0,0.06896551724137931,0.0,0.0,1.0,0.974184165,55.0,1.0,0.565207732,4500.0,7.000000000000001,0.0,2.0,0.0,0.0,1.0,4.4281098409090906e-05,0.43589743589743585,0.01020408163265306,1.9611333281160193e-05,0.018,0.13461538461538464,0.0,0.06896551724137931,0.0,0.0,N,0.974184165,55.0,1.0,0.4909305060272831,4500.0,7.000000000000001,0.0,2.0,0.0,0.0,N,0.08025789260864258,Y,1.0,Y
0,4.4281098409090906e-05,0.43589743589743585,0.01020408163265306,2.2578505652538646e-05,0.018,0.13461538461538464,0.0,0.06896551724137931,0.0,0.0,1.0,0.974184165,55.0,1.0,0.565207732,4500.0,7.000000000000001,0.0,2.0,0.0,0.0,1.0,4.4281098409090906e-05,0.43589743589743585,0.01020408163265306,1.9580662373882047e-05,0.018,0.13461538461538464,0.0,0.06896551724137931,0.0,0.0,N,0.974184165,55.0,1.0,0.4901627212053893,4500.0,7.000000000000001,0.0,2.0,0.0,0.0,N,0.07648682594299316,Y,1.0,Y
0,4.4281098409090906e-05,0.43589743589743585,0.01020408163265306,2.2578505652538646e-05,0.018,0.13461538461538464,0.0,0.06896551724137931,0.0,0.0,1.0,0.974184165,55.0,1.0,0.565207732,4500.0,7.000000000000001,0.0,2.0,0.0,0.0,1.0,4.4281098409090906e-05,0.43589743589743585,0.01020408163265306,1.9623359930749236e-05,0.018,0.13461538461538464,0.0,0.06896551724137931,0.0,0.0,N,0.974184165,55.0,1.0,0.4912315691464456,4500.0,7.000000000000001,0.0,2.0,0.0,0.0,N,0.0761878490447998,Y,1.0,Y
0,4.4281098409090906e-05,0.43589743589743585,0.01020408163265306,2.2578505652538646e-05,0.018,0.13461538461538464,0.0,0.06896551724137931,0.0,0.0,1.0,0.974184165,55.0,1.0,0.565207732,4500.0,7.000000000000001,0.0,2.0,0.0,0.0,1.0,4.4281098409090906e-05,0.43589743589743585,0.01020408163265306,1.972459779569433e-05,0.018,0.13461538461538464,0.0,0.06896551724137931,0.0,0.0,N,0.974184165,55.0,1.0,0.4937658566196162,4500.0,7.000000000000001,0.0,2.0,0.0,0.0,N,0.07935404777526855,Y,1.0,Y
0,1.4940663636363634e-07,0.282051282051282,0.0,6.717409339671633e-06,0.013864,0.3269230769230769,0.0,0.034482758620689655,0.0,0.25,0.0,0.003286946,42.99999999999999,0.0,0.168156908,3466.0,17.0,0.0,1.0,0.0,2.0,0.0,5.327732639814625e-06,0.282051282051282,0.0,6.717409339671633e-06,0.013864,0.3269230769230769,0.0,0.034482758620689655,0.0,0.25,Y,0.11721011807592176,42.99999999999999,0.0,0.168156908,3466.0,17.0,0.0,1.0,0.0,2.0,Y,0.1143789291381836,Y,0.0,N
0,1.4940663636363634e-07,0.282051282051282,0.0,6.717409339671633e-06,0.013864,0.3269230769230769,0.0,0.034482758620689655,0.0,0.25,0.0,0.003286946,42.99999999999999,0.0,0.168156908,3466.0,17.0,0.0,1.0,0.0,2.0,0.0,5.524205139023426e-06,0.282051282051282,0.0,6.717409339671633e-06,0.013864,0.3269230769230769,0.0,0.034482758620689655,0.0,0.25,Y,0.12153251305851538,42.99999999999999,0.0,0.168156908,3466.0,17.0,0.0,1.0,0.0,2.0,Y,0.11860299110412598,Y,0.0,N
0,1.4940663636363634e-07,0.282051282051282,0.0,6.717409339671633e-06,0.013864,0.3269230769230769,0.0,0.034482758620689655,0.0,0.25,0.0,0.003286946,42.99999999999999,0.0,0.168156908,3466.0,17.0,0.0,1.0,0.0,2.0,0.0,5.4187162731223255e-06,0.282051282051282,0.0,6.717409339671633e-06,0.013864,0.3269230769230769,0.0,0.034482758620689655,0.0,0.25,Y,0.11921175800869117,42.99999999999999,0.0,0.168156908,3466.0,17.0,0.0,1.0,0.0,2.0,Y,0.12358713150024414,Y,0.0,N
0,1.4940663636363634e-07,0.282051282051282,0.0,6.717409339671633e-06,0.013864,0.3269230769230769,0.0,0.034482758620689655,0.0,0.25,0.0,0.003286946,42.99999999999999,0.0,0.168156908,3466.0,17.0,0.0,1.0,0.0,2.0,0.0,5.41221197861705e-06,0.282051282051282,0.0,6.717409339671633e-06,0.013864,0.3269230769230769,0.0,0.034482758620689655,0.0,0.25,Y,0.1190686635295751,42.99999999999999,0.0,0.168156908,3466.0,17.0,0.0,1.0,0.0,2.0,Y,0.11895394325256348,Y,0.0,N
0,1.4940663636363634e-07,0.282051282051282,0.0,6.717409339671633e-06,0.013864,0.3269230769230769,0.0,0.034482758620689655,0.0,0.25,0.0,0.003286946,42.99999999999999,0.0,0.168156908,3466.0,17.0,0.0,1.0,0.0,2.0,0.0,5.416875476531732e-06,0.282051282051282,0.0,6.717409339671633e-06,0.013864,0.3269230769230769,0.0,0.034482758620689655,0.0,0.25,Y,0.11917126048369811,42.99999999999999,0.0,0.168156908,3466.0,17.0,0.0,1.0,0.0,2.0,Y,0.12020206451416016,Y,0.0,N
0,4.545454090909091e-05,0.38461538461538464,0.01020408163265306,0.0,0.024716,0.038461538461538464,0.0,0.0,0.01020408163265306,0.0,1.0,0.9999999,51.0,1.0,0.0,6179.0,2.0,0.0,0.0,1.0,0.0,1.0,4.7768217511461256e-05,0.38461538461538464,0.01020408163265306,5.434183313750297e-07,0.024716,0.038461538461538464,0.0,0.0,0.01020408163265306,0.0,N,1.0509007852521477,51.0,1.0,0.013603391089311119,6179.0,2.0,0.0,0.0,1.0,0.0,N,0.06390714645385742,Y,1.0,Y
0,4.545454090909091e-05,0.38461538461538464,0.01020408163265306,0.0,0.024716,0.038461538461538464,0.0,0.0,0.01020408163265306,0.0,1.0,0.9999999,51.0,1.0,0.0,6179.0,2.0,0.0,0.0,1.0,0.0,1.0,4.7764421698204465e-05,0.38461538461538464,0.01020408163265306,8.485809409307463e-07,0.024716,0.038461538461538464,0.0,0.0,0.01020408163265306,0.0,N,1.0508172773604982,51.0,1.0,0.02124252669431937,6179.0,2.0,0.0,0.0,1.0,0.0,N,0.0650639533996582,Y,1.0,Y
0,4.545454090909091e-05,0.38461538461538464,0.01020408163265306,0.0,0.024716,0.038461538461538464,0.0,0.0,0.01020408163265306,0.0,1.0,0.9999999,51.0,1.0,0.0,6179.0,2.0,0.0,0.0,1.0,0.0,1.0,4.7683757833889505e-05,0.38461538461538464,0.01020408163265306,1.024090238573657e-06,0.024716,0.038461538461538464,0.0,0.0,0.01020408163265306,0.0,N,1.0490426723455692,51.0,1.0,0.025636050942214352,6179.0,2.0,0.0,0.0,1.0,0.0,N,0.06363391876220703,Y,1.0,Y
0,4.545454090909091e-05,0.38461538461538464,0.01020408163265306,0.0,0.024716,0.038461538461538464,0.0,0.0,0.01020408163265306,0.0,1.0,0.9999999,51.0,1.0,0.0,6179.0,2.0,0.0,0.0,1.0,0.0,1.0,4.779850292476378e-05,0.38461538461538464,0.01020408163265306,4.5778860850754903e-07,0.024716,0.038461538461538464,0.0,0.0,0.01020408163265306,0.0,N,1.0515670643448032,51.0,1.0,0.011459822236769475,6179.0,2.0,0.0,0.0,1.0,0.0,N,0.06666398048400879,Y,1.0,Y
0,4.545454090909091e-05,0.38461538461538464,0.01020408163265306,0.0,0.024716,0.038461538461538464,0.0,0.0,0.01020408163265306,0.0,1.0,0.9999999,51.0,1.0,0.0,6179.0,2.0,0.0,0.0,1.0,0.0,1.0,4.769341811446964e-05,0.38461538461538464,0.01020408163265306,8.259424453338059e-07,0.024716,0.038461538461538464,0.0,0.0,0.01020408163265306,0.0,N,1.0492551985183323,51.0,1.0,0.020675817234041164,6179.0,2.0,0.0,0.0,1.0,0.0,N,0.06367778778076172,Y,1.0,Y
