,scaled_input_RevolvingUtilizationOfUnsecuredLines,scaled_input_age,scaled_input_NumberOfTime30-59DaysPastDueNotWorse,scaled_input_DebtRatio,scaled_input_MonthlyIncome,scaled_input_NumberOfOpenCreditLinesAndLoans,scaled_input_NumberOfTimes90DaysLate,scaled_input_NumberRealEstateLoansOrLines,scaled_input_NumberOfTime60-89DaysPastDueNotWorse,scaled_input_NumberOfDependents,scaled_input_target,origin_input_RevolvingUtilizationOfUnsecuredLines,origin_input_age,origin_input_NumberOfTime30-59DaysPastDueNotWorse,origin_input_DebtRatio,origin_input_MonthlyIncome,origin_input_NumberOfOpenCreditLinesAndLoans,origin_input_NumberOfTimes90DaysLate,origin_input_NumberRealEstateLoansOrLines,origin_input_NumberOfTime60-89DaysPastDueNotWorse,origin_input_NumberOfDependents,origin_input_target,scaled_cf_RevolvingUtilizationOfUnsecuredLines,scaled_cf_age,scaled_cf_NumberOfTime30-59DaysPastDueNotWorse,scaled_cf_DebtRatio,scaled_cf_MonthlyIncome,scaled_cf_NumberOfOpenCreditLinesAndLoans,scaled_cf_NumberOfTimes90DaysLate,scaled_cf_NumberRealEstateLoansOrLines,scaled_cf_NumberOfTime60-89DaysPastDueNotWorse,scaled_cf_NumberOfDependents,scaled_cf_target,origin_cf_RevolvingUtilizationOfUnsecuredLines,origin_cf_age,origin_cf_NumberOfTime30-59DaysPastDueNotWorse,origin_cf_DebtRatio,origin_cf_MonthlyIncome,origin_cf_NumberOfOpenCreditLinesAndLoans,origin_cf_NumberOfTimes90DaysLate,origin_cf_NumberRealEstateLoansOrLines,origin_cf_NumberOfTime60-89DaysPastDueNotWorse,origin_cf_NumberOfDependents,origin_cf_target,running_time,Found,ground_truth,prediction
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0024732774434486206,-0.0017995272228921017,0.03796,0.17307692307692307,0.0035003814025318797,0.06896551724137931,0.002489406763639947,0.25,Y,0.811035406,37.0,0.24238118945796483,-45.04756497065798,9490.0,9.0,0.34303737744812424,2.0,0.2439618628367148,2.0,Y,0.4780306816101074,Y,1.0,N
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.003085716485532469,1.4647191906683179e-05,0.03796,0.17307692307692307,0.003307879444914768,0.06896551724137931,0.002810385124785947,0.25,Y,0.811035406,37.0,0.302400215582182,0.366663155,9490.0,9.0,0.3241721856016473,2.0,0.2754177422290228,2.0,Y,0.47713494300842285,Y,1.0,N
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0025559034796267363,1.4647191906683179e-05,0.03796,0.17307692307692307,0.004101019834266024,0.06896551724137931,0.0023494458539215744,0.25,Y,0.811035406,37.0,0.2504785410034202,0.366663155,9490.0,9.0,0.4018999437580704,2.0,0.2302456936843143,2.0,Y,0.4878709316253662,Y,1.0,N
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.002410331506817303,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0035580483515534104,0.06896551724137931,0.0028380181997252475,0.25,Y,0.811035406,37.0,0.23621248766809572,0.366663155,9490.0,9.0,0.34868873845223425,2.0,0.27812578357307427,2.0,Y,0.48926210403442383,Y,1.0,N
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0021547326613129327,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0041590291379353965,0.06896551724137931,0.002210867276384559,0.25,Y,0.811035406,37.0,0.21116380080866742,0.366663155,9490.0,9.0,0.4075848555176689,2.0,0.2166649930856868,2.0,Y,0.4520449638366699,Y,1.0,N
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,4.231160527272727e-05,0.23076923076923078,0.01000023293559534,0.0001117386329523647,0.0136,0.17307692307692307,-0.0003177471895535944,0.06896551724137931,-0.0005544089118935659,0.25,N,0.930855316,39.0,0.9800228276883435,2.797153198696545,3400.0,9.0,-0.031139224576252254,2.0,-0.054332073365569465,2.0,N,0.6091437339782715,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,4.231160527272727e-05,0.23076923076923078,0.009779165820613776,3.564832792713618e-05,0.0136,0.17307692307692307,-0.0004733640346199324,0.06896551724137931,-0.00023713702927006272,0.25,N,0.930855316,39.0,0.9583582504201501,0.892384593,3400.0,9.0,-0.04638967539275338,2.0,-0.02323942886846615,2.0,N,0.5831489562988281,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,4.231160527272727e-05,0.23076923076923078,0.009957094644841605,3.564832792713618e-05,0.01381359186807303,0.17307692307692307,-0.0004960090262688644,0.06896551724137931,-0.00028993587138856765,0.25,N,0.930855316,39.0,0.9757952751944774,0.892384593,3453.3979670182575,9.0,-0.04860888457434872,2.0,-0.02841371539607963,2.0,N,0.5821719169616699,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,4.231160527272727e-05,0.23076923076923078,0.009936301928838362,3.564832792713618e-05,0.0136,0.17307692307692307,-0.0004776569223464458,0.06896551724137931,-0.0003456760254296383,0.25,N,0.930855316,39.0,0.9737575890261595,0.892384593,3400.0,9.0,-0.046810378389951696,2.0,-0.033876250492104555,2.0,N,0.5947542190551758,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,4.231160527272727e-05,0.23076923076923078,0.009866066510980789,3.564832792713618e-05,0.0136,0.17307692307692307,-0.0005129062378821547,0.06896551724137931,-0.00023283556145824638,0.25,N,0.930855316,39.0,0.9668745180761174,0.892384593,3400.0,9.0,-0.05026481131245116,2.0,-0.022817885022908147,2.0,N,0.565922737121582,Y,1.0,Y
