,scaled_input_RevolvingUtilizationOfUnsecuredLines,scaled_input_age,scaled_input_NumberOfTime30-59DaysPastDueNotWorse,scaled_input_DebtRatio,scaled_input_MonthlyIncome,scaled_input_NumberOfOpenCreditLinesAndLoans,scaled_input_NumberOfTimes90DaysLate,scaled_input_NumberRealEstateLoansOrLines,scaled_input_NumberOfTime60-89DaysPastDueNotWorse,scaled_input_NumberOfDependents,scaled_input_target,origin_input_RevolvingUtilizationOfUnsecuredLines,origin_input_age,origin_input_NumberOfTime30-59DaysPastDueNotWorse,origin_input_DebtRatio,origin_input_MonthlyIncome,origin_input_NumberOfOpenCreditLinesAndLoans,origin_input_NumberOfTimes90DaysLate,origin_input_NumberRealEstateLoansOrLines,origin_input_NumberOfTime60-89DaysPastDueNotWorse,origin_input_NumberOfDependents,origin_input_target,scaled_cf_RevolvingUtilizationOfUnsecuredLines,scaled_cf_age,scaled_cf_NumberOfTime30-59DaysPastDueNotWorse,scaled_cf_DebtRatio,scaled_cf_MonthlyIncome,scaled_cf_NumberOfOpenCreditLinesAndLoans,scaled_cf_NumberOfTimes90DaysLate,scaled_cf_NumberRealEstateLoansOrLines,scaled_cf_NumberOfTime60-89DaysPastDueNotWorse,scaled_cf_NumberOfDependents,scaled_cf_target,origin_cf_RevolvingUtilizationOfUnsecuredLines,origin_cf_age,origin_cf_NumberOfTime30-59DaysPastDueNotWorse,origin_cf_DebtRatio,origin_cf_MonthlyIncome,origin_cf_NumberOfOpenCreditLinesAndLoans,origin_cf_NumberOfTimes90DaysLate,origin_cf_NumberRealEstateLoansOrLines,origin_cf_NumberOfTime60-89DaysPastDueNotWorse,origin_cf_NumberOfDependents,origin_cf_target,running_time,Found,ground_truth,prediction
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.2899969913249106e-05,0.20512820512820512,0.0,1.3950932437714096e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.7237993380914803,37.0,0.0,0.34923369171329693,9490.0,9.0,0.0,2.0,0.0,2.0,N,0.3873629570007324,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.247431683666922e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.7144349704067229,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,N,0.4107959270477295,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.309619423307763e-05,0.20512820512820512,0.0,1.3751402144423098e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.7281162731277079,37.0,0.0,0.3442388498813434,9490.0,9.0,0.0,2.0,0.0,2.0,N,0.38843584060668945,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.3311834935559845e-05,0.20512820512820512,0.0,1.1946048581789505e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.7328603685823166,37.0,0.0,0.29904543414793666,9490.0,9.0,0.0,2.0,0.0,2.0,N,0.3907630443572998,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.243394162041282e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.7135467156490821,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,N,0.5280678272247314,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,2.7976840472111705e-05,0.23076923076923078,0.01020408163265306,4.1262530965650244e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.6154904903864575,39.0,1.0,1.0329249376631227,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.20282793045043945,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,2.7186398539917878e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.5981007678781933,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.2028651237487793,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,2.7871831604335356e-05,0.23076923076923078,0.01020408163265306,3.436152864839668e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.6131802952953779,39.0,1.0,0.860172146655314,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.20479917526245117,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,2.6719338720853492e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.5878254518587769,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.2058250904083252,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,2.7715200455251337e-05,0.23076923076923078,0.01020408163265306,3.469987176157394e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.6097344100155294,39.0,1.0,0.8686418898074805,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.19753789901733398,Y,1.0,Y
