,scaled_input_f5,scaled_input_f6,scaled_input_f7,scaled_input_f8,scaled_input_f9,scaled_input_f13,scaled_input_f14,scaled_input_f15,scaled_input_f16,scaled_input_f17,scaled_input_f18,scaled_input_f19,scaled_input_f20,scaled_input_f21,scaled_input_f22,scaled_input_f23,scaled_input_f24,scaled_input_f25,scaled_input_f26,scaled_input_f27,scaled_input_f28,scaled_input_f29,scaled_input_f30,scaled_input_f31,scaled_input_f32,scaled_input_f33,scaled_input_target,origin_input_f5,origin_input_f6,origin_input_f7,origin_input_f8,origin_input_f9,origin_input_f13,origin_input_f14,origin_input_f15,origin_input_f16,origin_input_f17,origin_input_f18,origin_input_f19,origin_input_f20,origin_input_f21,origin_input_f22,origin_input_f23,origin_input_f24,origin_input_f25,origin_input_f26,origin_input_f27,origin_input_f28,origin_input_f29,origin_input_f30,origin_input_f31,origin_input_f32,origin_input_f33,origin_input_target,scaled_cf_f5,scaled_cf_f6,scaled_cf_f7,scaled_cf_f8,scaled_cf_f9,scaled_cf_f13,scaled_cf_f14,scaled_cf_f15,scaled_cf_f16,scaled_cf_f17,scaled_cf_f18,scaled_cf_f19,scaled_cf_f20,scaled_cf_f21,scaled_cf_f22,scaled_cf_f23,scaled_cf_f24,scaled_cf_f25,scaled_cf_f26,scaled_cf_f27,scaled_cf_f28,scaled_cf_f29,scaled_cf_f30,scaled_cf_f31,scaled_cf_f32,scaled_cf_f33,scaled_cf_target,origin_cf_f5,origin_cf_f6,origin_cf_f7,origin_cf_f8,origin_cf_f9,origin_cf_f13,origin_cf_f14,origin_cf_f15,origin_cf_f16,origin_cf_f17,origin_cf_f18,origin_cf_f19,origin_cf_f20,origin_cf_f21,origin_cf_f22,origin_cf_f23,origin_cf_f24,origin_cf_f25,origin_cf_f26,origin_cf_f27,origin_cf_f28,origin_cf_f29,origin_cf_f30,origin_cf_f31,origin_cf_f32,origin_cf_f33,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.4064171122994652,0.0,0.0,0.015503875968992276,0.08974358974358987,0.0,0.0,0.0,0.07086614173228346,0.5669291338582677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,1.0,89.0,77.0,76.0,73.0,101.00000000000001,0.0,0.0,0.0,9.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.4391920820456752,0.0,0.0,0.022584207802443596,0.1139768812718521,0.027727354283998192,0.020278240380504815,0.0,0.08830237383900398,0.5735465717362132,0.0,0.0,0.0,0.0,-0.02997189279497739,0.009383602179718621,0.0,0.0,0.010480066838063563,0.004783085228649042,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,N,95.12891934254127,77.0,76.0,73.91336280651522,102.89019673920446,3.1331910340917957,2.5956147687046163,0.0,11.214401477553507,72.84041461049907,0.0,0.0,0.0,0.0,-3.926317956142038,0.9758946266907366,0.0,0.0,1.1318472185108648,0.31568362509083675,0.0,0.0,0.0,0.0,4.0,0.0,N,0.7001388072967529,Y,1.0,Y
0,0.4064171122994652,0.0,0.0,0.015503875968992276,0.08974358974358987,0.0,0.0,0.0,0.07086614173228346,0.5669291338582677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,1.0,89.0,77.0,76.0,73.0,101.00000000000001,0.0,0.0,0.0,9.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.43357968804564795,0.0,0.0,0.024973564529854962,0.10259248253801947,0.023985301390515596,0.0,0.039283731488433796,0.08543812990536051,0.5669291338582677,0.0,0.0,0.0,-0.02604748129996497,0.0,0.011122169289298498,0.014933208269156277,0.0,0.0,0.0,-0.015907217063608738,-0.01210775250526545,0.0,0.0,0.10256410256410256,0.0,N,94.07940166453618,77.0,76.0,74.2215898243513,102.00221363796553,2.7103390571282624,0.0,5.892559723265069,10.850642497980784,72.0,0.0,0.0,0.0,-2.943365386896042,0.0,1.1567056060870438,0.8362596630727516,0.0,0.0,0.0,-1.1771340627070466,-0.8112194178527852,0.0,0.0,4.0,0.0,N,0.6805508136749268,Y,1.0,Y
0,0.4064171122994652,0.0,0.0,0.015503875968992276,0.08974358974358987,0.0,0.0,0.0,0.07086614173228346,0.5669291338582677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,1.0,89.0,77.0,76.0,73.0,101.00000000000001,0.0,0.0,0.0,9.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.45689269496966445,0.0,0.0,0.015503875968992276,0.08974358974358987,0.0,0.006371263098012827,0.03007173380917483,0.08683507667100727,0.5754058266061686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02684813368391381,0.0,0.0,0.0,0.0,0.0,0.022475954917694572,0.10256410256410256,0.0,N,98.43893395932724,77.0,76.0,73.0,101.00000000000001,0.0,0.8155216765456419,4.510760071376224,11.028054737217923,73.0765399789834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9330656252417944,0.0,0.0,0.0,0.0,0.0,0.9439901065431721,4.0,0.0,N,0.6756191253662109,Y,1.0,Y
0,0.4064171122994652,0.0,0.0,0.015503875968992276,0.08974358974358987,0.0,0.0,0.0,0.07086614173228346,0.5669291338582677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,1.0,89.0,77.0,76.0,73.0,101.00000000000001,0.0,0.0,0.0,9.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.4269635972982507,0.0,0.0,0.015503875968992276,0.08974358974358987,0.0,0.02199390196238552,0.02228166322369988,0.10697120188859788,0.5891689954260988,0.0,0.0,0.0,0.0,0.0,0.0067515784904051855,0.0,0.01854298613164436,0.013427627466179183,0.0,0.0,0.0,0.0,0.0,0.14191074556864952,0.0,N,92.84219269477288,77.0,76.0,73.0,101.00000000000001,0.0,2.8152194511853468,3.342249483554982,13.58534263985193,74.82446241911455,0.0,0.0,0.0,0.0,0.0,0.7021641630021392,0.0,1.335095001478394,1.4501837663473518,0.0,0.0,0.0,0.0,0.0,5.534519077177332,0.0,N,0.7270557880401611,Y,1.0,Y
0,0.4064171122994652,0.0,0.0,0.015503875968992276,0.08974358974358987,0.0,0.0,0.0,0.07086614173228346,0.5669291338582677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,1.0,89.0,77.0,76.0,73.0,101.00000000000001,0.0,0.0,0.0,9.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.43541343411374217,-0.01704204283683051,-0.019740131857470488,0.029917991231314955,0.08974358974358987,0.022675410111209535,0.02529374418259797,0.0,0.07086614173228346,0.6007326480223125,0.0,0.01583807585848038,0.0,-0.012745014250423098,-0.011909150199359436,0.0,0.0,0.0,0.021537152246620485,0.014623118623226176,0.0,0.0,-0.013401108389699034,0.0,0.10256410256410256,0.01926961113009467,N,94.4223121792698,74.90382873106985,73.55222364967366,74.85942086883963,101.00000000000001,2.5623213425666775,3.2375992553725403,0.0,9.0,76.29304629883369,0.0,1.7580264202913223,0.0,-1.44018661029781,-1.5600986761160862,0.0,0.0,0.0,2.3260124426350126,0.9651258291329277,0.0,0.0,-0.5762476607570585,0.0,4.0,0.7515148340736921,N,0.6921567916870117,Y,1.0,Y
0,0.53475935828877,0.04878048780487809,0.0,0.0,0.0,0.0,0.25,0.09333333333333334,0.015748031496062992,0.30708661417322836,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,83.0,76.0,71.0,94.0,0.0,32.0,14.0,2.0,39.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48704840743684175,0.04878048780487809,0.01948434825073912,0.0,0.0,-0.0448035147601852,0.25,0.0544048377535391,0.015748031496062992,0.2749466880874696,0.18904811056458104,0.0,0.0,0.02588924970254304,0.0,-0.019273542077945904,0.0,0.0,0.0,0.0,0.0,0.0,0.03952401964858646,0.0,0.0,0.021896335172833233,Y,104.07805219068942,83.0,78.41605918309165,71.0,94.0,-5.062797167900928,32.0,8.160725663030863,2.0,34.91822938710864,23.63101382057263,0.0,0.0,2.9254852163873637,0.0,-2.004448376106374,0.0,0.0,0.0,0.0,0.0,0.0,1.699532844889218,0.0,0.0,0.8539570717404962,Y,0.14530086517333984,Y,0.0,N
0,0.53475935828877,0.04878048780487809,0.0,0.0,0.0,0.0,0.25,0.09333333333333334,0.015748031496062992,0.30708661417322836,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,83.0,76.0,71.0,94.0,0.0,32.0,14.0,2.0,39.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4935558204366356,0.04878048780487809,0.0,0.0,0.0,-0.05924082075665161,0.2203341088004957,0.06973341540085741,0.015748031496062992,0.28653433541333434,0.2,0.0,0.0,0.02428689941298026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055851356022962345,0.06076679425761635,0.0,0.0,0.0,Y,105.29493842165085,83.0,76.0,71.0,94.0,-6.694212745501632,28.20276592646345,10.460012310128612,2.0,36.38986059749346,25.0,0.0,0.0,2.7444196336667694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.742040853538477,2.612972153077503,0.0,0.0,0.0,Y,0.14560985565185547,Y,0.0,N
0,0.53475935828877,0.04878048780487809,0.0,0.0,0.0,0.0,0.25,0.09333333333333334,0.015748031496062992,0.30708661417322836,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,83.0,76.0,71.0,94.0,0.0,32.0,14.0,2.0,39.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4732558424538719,0.04878048780487809,0.0,0.0,0.0,-0.045983210279571446,0.23338460700644154,0.09333333333333334,-0.030613810286121527,0.28275808569106065,0.2,0.0,0.0,0.04314599419003624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019729476841930525,0.0,0.0,0.0,Y,101.49884253887406,83.0,76.0,71.0,94.0,-5.196102761591574,29.873229696824517,14.0,-3.887953906337434,35.910276882764705,25.0,0.0,0.0,4.875497343474095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8483675042030125,0.0,0.0,0.0,Y,0.14500999450683594,Y,0.0,N
0,0.53475935828877,0.04878048780487809,0.0,0.0,0.0,0.0,0.25,0.09333333333333334,0.015748031496062992,0.30708661417322836,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,83.0,76.0,71.0,94.0,0.0,32.0,14.0,2.0,39.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4823421718961646,0.04878048780487809,0.0,0.0,0.0,-0.02656430397543964,0.21044292101850104,0.053766033164860116,0.015748031496062992,0.29840266533922755,0.2,0.0,0.023479501486803986,0.0,0.02059417727121548,-0.01413250005908113,0.0,0.0,0.0,0.0,0.0,0.024839613985594387,0.036931495057601765,0.0,0.03280435288468697,0.030796414435987865,Y,103.19798614458277,83.0,76.0,71.0,94.0,-3.0017663492246793,26.936693890368133,8.064904974729018,2.0,37.8971384980819,25.0,0.0,2.1366346352991625,0.0,2.6978372225292278,-1.4697800061444375,0.0,0.0,0.0,0.0,0.0,1.664254137034824,1.588054287476876,0.0,1.279369762502792,1.2010601630035267,Y,0.13023686408996582,Y,0.0,N
0,0.53475935828877,0.04878048780487809,0.0,0.0,0.0,0.0,0.25,0.09333333333333334,0.015748031496062992,0.30708661417322836,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,83.0,76.0,71.0,94.0,0.0,32.0,14.0,2.0,39.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4817606668257416,0.010976212697117897,0.025721430445649833,-0.03764031134599866,0.0,-0.03756842149328351,0.25,0.09333333333333334,-0.02854100892262923,0.30708661417322836,0.15149405842019154,0.0,0.0,0.019055917788510984,0.0,0.0,0.0,0.02628314721255341,-0.023777529705155214,0.0,0.027063598127671066,0.0,0.017557410527270004,0.0,0.0,0.012635511525229426,Y,103.08924469641367,78.3500741617455,79.18945737526057,66.14439983636618,94.0,-4.2452316287410365,32.0,14.0,-3.6247081331739124,39.0,18.93675730252394,0.0,0.0,2.1533187101017415,0.0,0.0,0.0,1.8923865993038456,-2.567973208156763,0.0,2.002706261447659,0.0,0.7549686526726102,0.0,0.0,0.49278494948394763,Y,0.14374399185180664,Y,0.0,N
