,scaled_input_age,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_native-country,origin_input_class,scaled_cf_age,scaled_cf_workclass,scaled_cf_education,scaled_cf_marital-status,scaled_cf_occupation,scaled_cf_relationship,scaled_cf_race,scaled_cf_sex,scaled_cf_capital-gain,scaled_cf_capital-loss,scaled_cf_hours-per-week,scaled_cf_native-country,scaled_cf_class,origin_cf_age,origin_cf_workclass,origin_cf_education,origin_cf_marital-status,origin_cf_occupation,origin_cf_relationship,origin_cf_race,origin_cf_sex,origin_cf_capital-gain,origin_cf_capital-loss,origin_cf_hours-per-week,origin_cf_native-country,origin_cf_class,running_time,Found,ground_truth,prediction
0,0.5205479452054793,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.14285714285714282,United-States,0.0,54.99999999999999,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,14.999999999999998,United-States,0.0,0.5205479452054793,State-gov,Bachelors,Married-AF-spouse,Prof-specialty,Husband,White,Male,0.6,0.0,0.14285714285714282,United-States,>50K,54.99999999999999,State-gov,Bachelors,Married-AF-spouse,Prof-specialty,Husband,White,Male,59999.4,0.0,14.999999999999998,United-States,>50K,0.10088086128234863,Y,0,<=50K
0,0.5205479452054793,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.14285714285714282,United-States,0.0,54.99999999999999,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,14.999999999999998,United-States,0.0,0.5205479452054793,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.80635858,United-States,>50K,54.99999999999999,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,80.02314084000001,United-States,>50K,0.10114312171936035,Y,0,<=50K
0,0.5205479452054793,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.14285714285714282,United-States,0.0,54.99999999999999,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,14.999999999999998,United-States,0.0,0.5205479452054793,State-gov,Doctorate,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,0.14285714285714282,United-States,>50K,54.99999999999999,State-gov,Doctorate,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,14.999999999999998,United-States,>50K,0.10086393356323242,Y,0,<=50K
0,0.5205479452054793,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.14285714285714282,United-States,0.0,54.99999999999999,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,14.999999999999998,United-States,0.0,0.5205479452054793,State-gov,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.96091261,United-States,>50K,54.99999999999999,State-gov,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,95.16943578,United-States,>50K,0.1019887924194336,Y,0,<=50K
0,0.5205479452054793,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.14285714285714282,United-States,0.0,54.99999999999999,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,14.999999999999998,United-States,0.0,0.5205479452054793,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,0.67049846,United-States,>50K,54.99999999999999,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,66.70884908000001,United-States,>50K,0.10064387321472168,Y,0,<=50K
0,0.6575342465753424,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.19387755102040813,United-States,0.0,65.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,20.0,United-States,0.0,0.6575342465753424,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.84237906,United-States,>50K,65.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,83.55314788,United-States,>50K,0.10058021545410156,Y,0,<=50K
0,0.6575342465753424,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.19387755102040813,United-States,0.0,65.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,20.0,United-States,0.0,0.6575342465753424,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,1.1,0.19387755102040813,United-States,>50K,65.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,4791.6,20.0,United-States,>50K,0.09979891777038574,Y,0,<=50K
0,0.6575342465753424,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.19387755102040813,United-States,0.0,65.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,20.0,United-States,0.0,0.6575342465753424,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Female,0.0,0.0,0.78565077,United-States,>50K,65.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Female,0.0,0.0,77.99377546000001,United-States,>50K,0.10062289237976074,Y,0,<=50K
0,0.6575342465753424,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.19387755102040813,United-States,0.0,65.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,20.0,United-States,0.0,0.6575342465753424,Private,Bachelors,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0.0,1.0,0.19387755102040813,United-States,<=50K,65.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0.0,4356.0,20.0,United-States,<=50K,0.10094785690307617,Y,0,<=50K
0,0.6575342465753424,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,0.19387755102040813,United-States,0.0,65.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,20.0,United-States,0.0,0.6575342465753424,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,0.9,0.0,0.19387755102040813,United-States,>50K,65.0,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,89999.1,0.0,20.0,United-States,>50K,0.1008310317993164,Y,0,<=50K
