,scaled_input_age,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_length_of_stay,scaled_input_class,origin_input_age,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_length_of_stay,origin_input_class,scaled_cf_age,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_length_of_stay,scaled_cf_class,origin_cf_age,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_length_of_stay,origin_cf_class,running_time,Found,ground_truth,prediction
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.3,High,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,239.7,High,0.033941030502319336,Y,Medium-Low,Medium-Low
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,Less than 25,Female,Other,0.02631578947368421,0.0,F,0,0,0,1.1,High,28.0,Less than 25,Female,Other,1.0,0.0,F,0,0,0,878.9000000000001,High,0.030625104904174805,Y,Medium-Low,Medium-Low
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.7,High,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,559.3,High,0.030595064163208008,Y,Medium-Low,Medium-Low
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,1.1,High,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,878.9000000000001,High,0.03078913688659668,Y,Medium-Low,Medium-Low
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.3,High,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,239.7,High,0.030752897262573242,Y,Medium-Low,Medium-Low
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.23528048,Less than 25,Male,African-American,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,Medium-Low,36.351877439999996,Less than 25,Male,African-American,6.0,168.0,F,1,0,1,62.0,Medium-Low,0.03053593635559082,Y,High,High
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.051282051282051294,Less than 25,Male,Caucasian,0.4,0.15894039735099338,F,1,0,1,0.6,Medium-Low,22.0,Less than 25,Male,Caucasian,15.200000000000001,168.0,F,1,0,1,479.4,Medium-Low,0.030601978302001953,Y,High,High
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.051282051282051294,Less than 25,Male,Caucasian,0.8,0.15894039735099338,F,1,0,1,0.07759699624530664,Medium-Low,22.0,Less than 25,Male,Caucasian,30.400000000000002,168.0,F,1,0,1,62.0,Medium-Low,0.030568361282348633,Y,High,High
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.3594514,Less than 25,Male,Caucasian,0.1,0.15894039735099338,F,1,0,1,0.07759699624530664,Medium-Low,46.0372092,Less than 25,Male,Caucasian,3.8000000000000003,168.0,F,1,0,1,62.0,Medium-Low,0.030426740646362305,Y,High,High
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.8182905,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,1,1,0.07759699624530664,Medium-Low,81.826659,Less than 25,Male,Caucasian,6.0,168.0,F,1,1,1,62.0,Medium-Low,0.030709028244018555,Y,High,High
0,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,1,0,0,0.2,High,44.0,25 - 45,Male,African-American,0.0,1.0,M,1,0,0,159.8,High,0.030548095703125,Y,Medium-Low,Medium-Low
0,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.33333333333333337,25 - 45,Male,African-American,1.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,High,44.0,25 - 45,Male,African-American,38.0,1.0,M,0,0,0,2.0,High,0.030472755432128906,Y,Medium-Low,Medium-Low
