,scaled_input_age,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_length_of_stay,scaled_input_class,origin_input_age,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_length_of_stay,origin_input_class,scaled_cf_age,scaled_cf_age_cat,scaled_cf_sex,scaled_cf_race,scaled_cf_priors_count,scaled_cf_days_b_screening_arrest,scaled_cf_c_charge_degree,scaled_cf_is_recid,scaled_cf_is_violent_recid,scaled_cf_two_year_recid,scaled_cf_length_of_stay,scaled_cf_class,origin_cf_age,origin_cf_age_cat,origin_cf_sex,origin_cf_race,origin_cf_priors_count,origin_cf_days_b_screening_arrest,origin_cf_c_charge_degree,origin_cf_is_recid,origin_cf_is_violent_recid,origin_cf_two_year_recid,origin_cf_length_of_stay,origin_cf_class,running_time,Found,ground_truth,prediction
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Female,Other,38.0,0.0,F,0,0,0,0.0,High,0.03548908233642578,Y,Medium-Low,Medium-Low
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,25 - 45,Male,Other,0.8,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Male,Other,30.400000000000002,0.0,F,0,0,0,0.0,High,0.035720109939575195,Y,Medium-Low,Medium-Low
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,1,0,0.7,High,28.0,25 - 45,Female,Other,1.0,0.0,F,0,1,0,559.3,High,0.035925865173339844,Y,Medium-Low,Medium-Low
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,25 - 45,Female,Hispanic,0.3,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Female,Hispanic,11.4,0.0,F,0,0,0,0.0,High,0.03507113456726074,Y,Medium-Low,Medium-Low
0,0.12820512820512822,25 - 45,Female,Other,0.02631578947368421,0.0,F,0,0,0,0.0,Medium-Low,28.0,25 - 45,Female,Other,1.0,0.0,F,0,0,0,0.0,Medium-Low,0.12820512820512822,25 - 45,Male,Other,0.6,0.0,F,0,0,0,0.0,High,28.0,25 - 45,Male,Other,22.8,0.0,F,0,0,0,0.0,High,0.03507494926452637,Y,Medium-Low,Medium-Low
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.8658431,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,M,1,0,1,0.07759699624530664,Medium-Low,85.5357618,Less than 25,Male,Caucasian,6.0,168.0,M,1,0,1,62.0,Medium-Low,0.03396201133728027,Y,High,High
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.69041973,Less than 25,Male,Caucasian,0.15789473684210525,0.3638002399,F,1,0,1,0.07759699624530664,Medium-Low,71.85273894,Less than 25,Male,Caucasian,6.0,384.5368535743,F,1,0,1,62.0,Medium-Low,0.03689289093017578,Y,High,High
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.051282051282051294,Greater than 45,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,1,1,0.07759699624530664,Medium-Low,22.0,Greater than 45,Male,Caucasian,6.0,168.0,F,1,1,1,62.0,Medium-Low,0.03491783142089844,Y,High,High
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.73612665,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,1,1,0.07759699624530664,Medium-Low,75.4178787,Less than 25,Male,Caucasian,6.0,168.0,F,1,1,1,62.0,Medium-Low,0.03503108024597168,Y,High,High
0,0.051282051282051294,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,High,22.0,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,High,0.38161885,Less than 25,Male,Caucasian,0.15789473684210525,0.15894039735099338,F,1,0,1,0.07759699624530664,Medium-Low,47.7662703,Less than 25,Male,Caucasian,6.0,168.0,F,1,0,1,62.0,Medium-Low,0.03489494323730469,Y,High,High
0,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.33333333333333337,25 - 45,Male,African-American,0.9,0.000946073793755913,M,0,0,0,0.0025031289111389237,High,44.0,25 - 45,Male,African-American,34.2,1.0,M,0,0,0,2.0,High,0.03497791290283203,Y,Medium-Low,Medium-Low
0,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.33333333333333337,25 - 45,Male,African-American,0.3,0.000946073793755913,M,0,0,0,0.5,High,44.0,25 - 45,Male,African-American,11.4,1.0,M,0,0,0,399.5,High,0.03498220443725586,Y,Medium-Low,Medium-Low
0,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.33333333333333337,25 - 45,Male,African-American,0.0,0.759558887,M,0,0,0,0.7,High,44.0,25 - 45,Male,African-American,0.0,802.853743559,M,0,0,0,559.3,High,0.03475618362426758,Y,Medium-Low,Medium-Low
0,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.33333333333333337,25 - 45,Male,African-American,1.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,High,44.0,25 - 45,Male,African-American,38.0,1.0,M,0,0,0,2.0,High,0.035512685775756836,Y,Medium-Low,Medium-Low
0,0.33333333333333337,25 - 45,Male,African-American,0.0,0.000946073793755913,M,0,0,0,0.0025031289111389237,Medium-Low,44.0,25 - 45,Male,African-American,0.0,1.0,M,0,0,0,2.0,Medium-Low,0.33333333333333337,25 - 45,Male,African-American,0.5,0.000946073793755913,M,0,0,0,0.0025031289111389237,High,44.0,25 - 45,Male,African-American,19.0,1.0,M,0,0,0,2.0,High,0.034787654876708984,Y,Medium-Low,Medium-Low
0,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,0.14102564102564105,25 - 45,Male,African-American,0.1,0.0,M,0,0,0,0.8,High,29.000000000000004,25 - 45,Male,African-American,3.8000000000000003,0.0,M,0,0,0,639.2,High,0.034967899322509766,Y,Medium-Low,Medium-Low
0,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.0,Medium-Low,0.14102564102564105,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,0.6,High,29.000000000000004,25 - 45,Male,African-American,0.0,0.0,M,0,0,0,479.4,High,0.03517270088195801,Y,Medium-Low,Medium-Low
