,scaled_input_RevolvingUtilizationOfUnsecuredLines,scaled_input_age,scaled_input_NumberOfTime30-59DaysPastDueNotWorse,scaled_input_DebtRatio,scaled_input_MonthlyIncome,scaled_input_NumberOfOpenCreditLinesAndLoans,scaled_input_NumberOfTimes90DaysLate,scaled_input_NumberRealEstateLoansOrLines,scaled_input_NumberOfTime60-89DaysPastDueNotWorse,scaled_input_NumberOfDependents,scaled_input_target,origin_input_RevolvingUtilizationOfUnsecuredLines,origin_input_age,origin_input_NumberOfTime30-59DaysPastDueNotWorse,origin_input_DebtRatio,origin_input_MonthlyIncome,origin_input_NumberOfOpenCreditLinesAndLoans,origin_input_NumberOfTimes90DaysLate,origin_input_NumberRealEstateLoansOrLines,origin_input_NumberOfTime60-89DaysPastDueNotWorse,origin_input_NumberOfDependents,origin_input_target,scaled_cf_RevolvingUtilizationOfUnsecuredLines,scaled_cf_age,scaled_cf_NumberOfTime30-59DaysPastDueNotWorse,scaled_cf_DebtRatio,scaled_cf_MonthlyIncome,scaled_cf_NumberOfOpenCreditLinesAndLoans,scaled_cf_NumberOfTimes90DaysLate,scaled_cf_NumberRealEstateLoansOrLines,scaled_cf_NumberOfTime60-89DaysPastDueNotWorse,scaled_cf_NumberOfDependents,scaled_cf_target,origin_cf_RevolvingUtilizationOfUnsecuredLines,origin_cf_age,origin_cf_NumberOfTime30-59DaysPastDueNotWorse,origin_cf_DebtRatio,origin_cf_MonthlyIncome,origin_cf_NumberOfOpenCreditLinesAndLoans,origin_cf_NumberOfTimes90DaysLate,origin_cf_NumberRealEstateLoansOrLines,origin_cf_NumberOfTime60-89DaysPastDueNotWorse,origin_cf_NumberOfDependents,origin_cf_target,running_time,Found,ground_truth,prediction
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.86,0.17307692307692307,0.0,0.06896551724137931,0.0,0.3,N,0.811035406,37.0,0.0,0.366663155,215000.0,9.0,0.0,2.0,0.0,2.4,N,0.05213308334350586,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.8,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.811035406,37.0,0.0,0.366663155,200000.00000000003,9.0,0.0,2.0,0.0,2.0,N,0.013054132461547852,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.97,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.811035406,37.0,0.0,0.366663155,242500.0,9.0,0.0,2.0,0.0,2.0,N,0.013160943984985352,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.54,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.811035406,37.0,0.0,0.366663155,135000.00000000003,9.0,0.0,2.0,0.0,2.0,N,0.012612104415893555,Y,1.0,Y
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,1.0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.76,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,0.811035406,37.0,0.0,0.366663155,190000.0,9.0,0.0,2.0,0.0,2.0,N,0.01190805435180664,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,0.780019717,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,17160.433774,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.013388872146606445,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,0.4826215049,0.23076923076923078,0.1,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,10617.673107800001,39.0,9.8,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.013083934783935547,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,0.2010725607,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,4423.5963354000005,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.013653993606567383,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,0.6066308111,0.61257765,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,N,13345.8778442,68.7810567,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,N,0.01230621337890625,Y,1.0,Y
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,1.0,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,1.0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.9,0.25,N,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,88.2,2.0,N,0.012495994567871094,Y,1.0,Y
0,8.634636727272726e-06,0.0641025641025641,0.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,0.0,0.189962008,26.0,0.0,0.99760096,2500.0,6.0,0.0,2.0,0.0,0.0,0.0,8.634636727272726e-06,0.0641025641025641,0.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.2,0.3,0.0,0.0,Y,0.189962008,26.0,0.0,0.99760096,2500.0,6.0,19.6,8.7,0.0,0.0,Y,0.011931896209716797,Y,0.0,N
0,8.634636727272726e-06,0.0641025641025641,0.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,0.0,0.189962008,26.0,0.0,0.99760096,2500.0,6.0,0.0,2.0,0.0,0.0,0.0,8.634636727272726e-06,0.2411022,0.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.4,0.0,Y,0.189962008,39.8059716,0.0,0.99760096,2500.0,6.0,0.0,2.0,39.2,0.0,Y,0.013400793075561523,Y,0.0,N
0,8.634636727272726e-06,0.0641025641025641,0.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,0.0,0.189962008,26.0,0.0,0.99760096,2500.0,6.0,0.0,2.0,0.0,0.0,0.0,8.634636727272726e-06,0.0641025641025641,0.8,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,Y,0.189962008,26.0,78.4,0.99760096,2500.0,6.0,0.0,2.0,0.0,0.0,Y,0.012438058853149414,Y,0.0,N
0,8.634636727272726e-06,0.0641025641025641,0.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,0.0,0.189962008,26.0,0.0,0.99760096,2500.0,6.0,0.0,2.0,0.0,0.0,0.0,8.634636727272726e-06,0.0641025641025641,1.0,3.9851434506451484e-05,0.01,0.11538461538461539,0.0,0.06896551724137931,0.0,0.0,Y,0.189962008,26.0,98.00000000000001,0.99760096,2500.0,6.0,0.0,2.0,0.0,0.0,Y,0.011387109756469727,Y,0.0,N
