,scaled_input_date,scaled_input_period,scaled_input_nswprice,scaled_input_nswdemand,scaled_input_vicprice,scaled_input_vicdemand,scaled_input_transfer,scaled_input_target,origin_input_date,origin_input_period,origin_input_nswprice,origin_input_nswdemand,origin_input_vicprice,origin_input_vicdemand,origin_input_transfer,origin_input_target,scaled_cf_date,scaled_cf_period,scaled_cf_nswprice,scaled_cf_nswdemand,scaled_cf_vicprice,scaled_cf_vicdemand,scaled_cf_transfer,scaled_cf_target,origin_cf_date,origin_cf_period,origin_cf_nswprice,origin_cf_nswdemand,origin_cf_vicprice,origin_cf_vicdemand,origin_cf_transfer,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.525421,0.1420737807333242,0.606665,0.974129,0.438374,0.4266120801366956,N,0.460865,0.525421,0.136904,0.606665,0.974129,0.438374,0.409211,N,0.017081260681152344,Y,1.0,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.723404,0.1420737807333242,0.606665,0.987935,0.899544,0.4266120801366956,N,0.460865,0.723404,0.136904,0.606665,0.987935,0.899544,0.409211,N,0.013695955276489258,Y,1.0,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.723404,0.04191366,0.606665,0.009412,0.438374,0.4266120801366956,N,0.460865,0.723404,0.040388505739920005,0.606665,0.009412,0.438374,0.409211,N,0.013563871383666992,Y,1.0,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.723404,0.04778742,0.606665,0.637194,0.438374,0.4266120801366956,N,0.460865,0.723404,0.04604853136104,0.606665,0.637194,0.438374,0.409211,N,0.012959957122802734,Y,1.0,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.723404,0.1420737807333242,0.606665,0.842717,0.438374,0.4635924,N,0.460865,0.723404,0.136904,0.606665,0.842717,0.438374,0.4446829295964001,N,0.013534069061279297,Y,1.0,Y
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.309378,0.004805,Y,0.013053,1.0,0.048247,0.534216,0.003467,0.309378,0.004609008855000001,Y,0.013474702835083008,N,1.0,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,1.0,0.67862412,0.534216,0.003467,0.422915,0.43255550655695146,Y,0.013053,1.0,0.6539303455214401,0.534216,0.003467,0.422915,0.414912,Y,0.013598918914794922,N,1.0,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,1.0,0.19203261,0.534216,0.003467,0.422915,0.43255550655695146,Y,0.013053,1.0,0.18504492738732,0.534216,0.003467,0.422915,0.414912,Y,0.013453245162963867,N,1.0,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,1.0,0.46399922,0.534216,0.003467,0.422915,0.43255550655695146,Y,0.013053,1.0,0.44711521638264,0.534216,0.003467,0.422915,0.414912,Y,0.013461828231811523,N,1.0,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,1.0,0.82668048,0.534216,0.003467,0.422915,0.43255550655695146,Y,0.013053,1.0,0.7965992306937602,0.534216,0.003467,0.422915,0.414912,Y,0.01363992691040039,N,1.0,N
