,scaled_input_date,scaled_input_day,scaled_input_period,scaled_input_nswprice,scaled_input_nswdemand,scaled_input_vicprice,scaled_input_vicdemand,scaled_input_transfer,scaled_input_target,origin_input_date,origin_input_day,origin_input_period,origin_input_nswprice,origin_input_nswdemand,origin_input_vicprice,origin_input_vicdemand,origin_input_transfer,origin_input_target,scaled_cf_date,scaled_cf_day,scaled_cf_period,scaled_cf_nswprice,scaled_cf_nswdemand,scaled_cf_vicprice,scaled_cf_vicdemand,scaled_cf_transfer,scaled_cf_target,origin_cf_date,origin_cf_day,origin_cf_period,origin_cf_nswprice,origin_cf_nswdemand,origin_cf_vicprice,origin_cf_vicdemand,origin_cf_transfer,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.460865,0.3333333333333333,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,2.0,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.3333333333333333,0.723404,0.1420737807333242,0.050403,0.009412,0.438374,0.4266120801366956,N,0.460865,2.0,0.723404,0.136904,0.050403,0.009412,0.438374,0.409211,N,0.05173683166503906,Y,1.0,Y
0,0.013053,0.6666666666666666,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,4.0,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,0.6666666666666666,1.0,0.70653921,0.534216,0.003467,0.422915,0.6011302,Y,0.013053,4.0,1.0,0.68082966122652,0.534216,0.003467,0.422915,0.5766107002722001,Y,0.01614212989807129,N,1.0,N
0,0.014247,0.5,0.680851,0.04212380086590868,0.494942,0.003467,0.422915,0.43255550655695146,0.0,0.014247,3.0,0.680851,0.040591,0.494942,0.003467,0.422915,0.414912,0.0,0.014247,0.5,0.680851,0.66826693,0.494942,0.003467,0.422915,0.4559176,Y,0.014247,3.0,0.680851,0.6439500329511602,0.494942,0.003467,0.422915,0.4373211770136,Y,0.01641082763671875,Y,0.0,N
0,0.437768,0.16666666666666666,0.021277,0.04932068093797088,0.249926,0.003467,0.422915,0.43255550655695146,0.0,0.437768,1.0,0.021277,0.047526,0.249926,0.003467,0.422915,0.414912,0.0,0.510741,0.52794928,0.021277,0.04932068093797088,0.249926,0.003467,0.422915,0.43255550655695146,Y,0.510741,3.16769568,0.021277,0.047526,0.249926,0.003467,0.422915,0.414912,Y,0.01613903045654297,Y,0.0,N
0,0.013716,0.8333333333333333,0.744681,0.047482804282221465,0.50238,0.003467,0.422915,0.43255550655695146,0.0,0.013716,5.0,0.744681,0.045755,0.50238,0.003467,0.422915,0.414912,0.0,0.013716,0.82730688,0.744681,0.047482804282221465,0.773279,0.003467,0.422915,0.43255550655695146,Y,0.013716,4.9638412800000005,0.744681,0.045755,0.773279,0.003467,0.422915,0.414912,Y,0.017728090286254883,Y,0.0,N
0,0.893677,0.6666666666666666,0.425532,0.029785847415764847,0.505207,0.002023,0.60202,0.34567889650973554,0.0,0.893677,4.0,0.425532,0.028702,0.505207,0.002023,0.60202,0.331579,0.0,0.893677,0.06238822,0.425532,0.4333805,0.505207,0.002023,0.60202,0.34567889650973554,Y,0.893677,0.37432932,0.425532,0.41761065036600004,0.505207,0.002023,0.60202,0.331579,Y,0.017924785614013672,Y,0.0,N
0,0.443122,0.6666666666666666,1.0,0.057452584650253415,0.500744,0.003882,0.459606,0.541380363653044,1.0,0.443122,4.0,1.0,0.055362,0.500744,0.003882,0.459606,0.519298,1.0,0.443122,0.6666666666666666,1.0,0.057452584650253415,0.659679,0.003882,0.459606,0.541380363653044,Y,0.443122,4.0,1.0,0.055362,0.659679,0.003882,0.459606,0.519298,Y,0.017464160919189453,N,1.0,N
0,0.907216,0.0,0.617021,0.03330593641424141,0.254686,0.002119,0.288452,0.6314585633400783,0.0,0.907216,0.0,0.617021,0.032094,0.254686,0.002119,0.288452,0.605702,0.0,0.907216,0.0,0.617021,0.21802168,0.254686,0.002119,0.288452,0.6314585633400783,Y,0.907216,0.0,0.617021,0.21008830710816,0.254686,0.002119,0.288452,0.605702,Y,0.02064371109008789,Y,0.0,N
0,0.474492,0.5,0.404255,0.04935181380057533,0.458792,0.003218,0.313309,0.48605364200368834,0.0,0.474492,3.0,0.404255,0.047556,0.458792,0.003218,0.313309,0.466228,0.0,0.4214,0.5,0.404255,0.04935181380057533,0.458792,0.003218,0.313309,0.48605364200368834,Y,0.4214,3.0,0.404255,0.047556,0.458792,0.003218,0.313309,0.466228,Y,0.017364978790283203,Y,0.0,N
0,0.008672,0.3333333333333333,0.489362,0.09627422655591669,0.590747,0.003467,0.422915,0.43255550655695146,1.0,0.008672,2.0,0.489362,0.092771,0.590747,0.003467,0.422915,0.414912,1.0,0.945223,0.3333333333333333,0.153127,0.09627422655591669,0.590747,0.003467,0.422915,0.43255550655695146,N,0.945223,2.0,0.153127,0.092771,0.590747,0.003467,0.422915,0.414912,N,0.017007112503051758,Y,1.0,Y
