,scaled_input_date,scaled_input_day,scaled_input_period,scaled_input_nswprice,scaled_input_nswdemand,scaled_input_vicprice,scaled_input_vicdemand,scaled_input_transfer,scaled_input_target,origin_input_date,origin_input_day,origin_input_period,origin_input_nswprice,origin_input_nswdemand,origin_input_vicprice,origin_input_vicdemand,origin_input_transfer,origin_input_target,scaled_cf_date,scaled_cf_day,scaled_cf_period,scaled_cf_nswprice,scaled_cf_nswdemand,scaled_cf_vicprice,scaled_cf_vicdemand,scaled_cf_transfer,scaled_cf_target,origin_cf_date,origin_cf_day,origin_cf_period,origin_cf_nswprice,origin_cf_nswdemand,origin_cf_vicprice,origin_cf_vicdemand,origin_cf_transfer,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.460865,0.3333333333333333,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,1.0,0.460865,2.0,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,1.0,0.460865,0.3333333333333333,0.723404,0.1420737807333242,0.606665,0.725119,0.438374,0.4266120801366956,N,0.460865,2.0,0.723404,0.136904,0.606665,0.725119,0.438374,0.409211,N,0.04012489318847656,Y,1.0,Y
0,0.013053,0.6666666666666666,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,1.0,0.013053,4.0,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,1.0,0.013053,0.6666666666666666,0.608982,0.1165258,0.534216,0.003467,0.422915,0.43255550655695146,Y,0.013053,4.0,0.608982,0.11228565918960001,0.534216,0.003467,0.422915,0.414912,Y,0.02830815315246582,N,1.0,N
0,0.014247,0.5,0.680851,0.04212380086590868,0.494942,0.003467,0.422915,0.43255550655695146,0.0,0.014247,3.0,0.680851,0.040591,0.494942,0.003467,0.422915,0.414912,0.0,0.111052,0.5,0.680851,0.49028785,0.494942,0.003467,0.422915,0.43255550655695146,Y,0.111052,3.0,0.680851,0.4724472557142001,0.494942,0.003467,0.422915,0.414912,Y,0.027422189712524414,Y,0.0,N
0,0.437768,0.16666666666666666,0.021277,0.04932068093797088,0.249926,0.003467,0.422915,0.43255550655695146,0.0,0.437768,1.0,0.021277,0.047526,0.249926,0.003467,0.422915,0.414912,0.0,0.437768,0.16666666666666666,0.021277,0.04932068093797088,0.730487,0.003467,0.422915,0.611863,Y,0.437768,1.0,0.021277,0.047526,0.730487,0.003467,0.422915,0.5869057200930001,Y,0.02390289306640625,Y,0.0,N
0,0.013716,0.8333333333333333,0.744681,0.047482804282221465,0.50238,0.003467,0.422915,0.43255550655695146,0.0,0.013716,5.0,0.744681,0.045755,0.50238,0.003467,0.422915,0.414912,0.0,0.013716,0.65493466,0.744681,0.49561038,0.50238,0.003467,0.422915,0.43255550655695146,Y,0.013716,3.9296079600000002,0.744681,0.4775761094925601,0.50238,0.003467,0.422915,0.414912,Y,0.02888798713684082,Y,0.0,N
0,0.893677,0.6666666666666666,0.425532,0.029785847415764847,0.505207,0.002023,0.60202,0.34567889650973554,0.0,0.893677,4.0,0.425532,0.028702,0.505207,0.002023,0.60202,0.331579,0.0,0.893677,0.16420786,0.425532,0.65486733,0.505207,0.002023,0.60202,0.34567889650973554,Y,0.893677,0.9852471600000001,0.425532,0.63103801759596,0.505207,0.002023,0.60202,0.331579,Y,0.024374008178710938,Y,0.0,N
0,0.443122,0.6666666666666666,1.0,0.057452584650253415,0.500744,0.003882,0.459606,0.541380363653044,1.0,0.443122,4.0,1.0,0.055362,0.500744,0.003882,0.459606,0.519298,1.0,0.443122,0.6666666666666666,1.0,0.60690485,0.91314,0.003882,0.459606,0.541380363653044,Y,0.443122,4.0,1.0,0.5848207963182002,0.91314,0.003882,0.459606,0.519298,Y,0.026525020599365234,N,1.0,N
0,0.907216,0.0,0.617021,0.03330593641424141,0.254686,0.002119,0.288452,0.6314585633400783,0.0,0.907216,0.0,0.617021,0.032094,0.254686,0.002119,0.288452,0.605702,0.0,0.907216,0.43197656,0.617021,0.86038712,0.254686,0.002119,0.288452,0.6314585633400783,Y,0.907216,2.5918593600000004,0.617021,0.82907935347744,0.254686,0.002119,0.288452,0.605702,Y,0.025321006774902344,Y,0.0,N
0,0.474492,0.5,0.404255,0.04935181380057533,0.458792,0.003218,0.313309,0.48605364200368834,0.0,0.474492,3.0,0.404255,0.047556,0.458792,0.003218,0.313309,0.466228,0.0,0.474492,0.5,0.404255,0.04935181380057533,0.458792,0.203632,0.313309,0.48605364200368834,N,0.474492,3.0,0.404255,0.047556,0.458792,0.203632,0.313309,0.466228,N,0.02927684783935547,N,0.0,Y
0,0.008672,0.3333333333333333,0.489362,0.09627422655591669,0.590747,0.003467,0.422915,0.43255550655695146,1.0,0.008672,2.0,0.489362,0.092771,0.590747,0.003467,0.422915,0.414912,1.0,0.437218,0.3333333333333333,0.489362,0.03407311,0.590747,0.003467,0.422915,0.43255550655695146,N,0.437218,2.0,0.489362,0.03283325767332,0.590747,0.003467,0.422915,0.414912,N,0.025861024856567383,Y,1.0,Y
0,0.429671,0.16666666666666666,0.446809,0.11527876365176024,0.645641,0.003467,0.422915,0.43255550655695146,1.0,0.429671,1.0,0.446809,0.111084,0.645641,0.003467,0.422915,0.414912,1.0,0.429671,0.16666666666666666,0.446809,0.11527876365176024,0.645641,0.641233,0.422915,0.43255550655695146,N,0.429671,1.0,0.446809,0.111084,0.645641,0.641233,0.422915,0.414912,N,0.024446964263916016,Y,1.0,Y
0,0.460732,1.0,0.106383,0.0327455448873613,0.261678,0.00216,0.26696,0.3470508574234448,0.0,0.460732,6.0,0.106383,0.031554,0.261678,0.00216,0.26696,0.332895,0.0,0.460732,1.0,0.106383,0.49529741,0.261678,0.494802,0.26696,0.3470508574234448,Y,0.460732,6.0,0.106383,0.47727452784492,0.261678,0.494802,0.26696,0.332895,Y,0.02497410774230957,Y,0.0,N
0,0.902836,1.0,0.638298,0.07471368144024773,0.329813,0.004632,0.308907,0.8143567994945844,1.0,0.902836,6.0,0.638298,0.071995,0.329813,0.004632,0.308907,0.78114,1.0,0.902836,1.0,0.638298,0.02010552,0.329813,0.86293,0.308907,0.8143567994945844,N,0.902836,6.0,0.638298,0.019373920338240005,0.329813,0.86293,0.308907,0.78114,N,0.025834083557128906,Y,1.0,Y
0,0.031061,0.0,0.425532,0.07736205028579968,0.501785,0.003467,0.422915,0.43255550655695146,1.0,0.031061,0.0,0.425532,0.074547,0.501785,0.003467,0.422915,0.414912,1.0,0.031061,0.0,0.425532,0.07736205028579968,0.501785,0.929213,0.422915,0.43255550655695146,N,0.031061,0.0,0.425532,0.074547,0.501785,0.929213,0.422915,0.414912,N,0.02413201332092285,Y,1.0,Y
0,0.443387,0.5,0.553191,0.04632985060376998,0.488545,0.003037,0.530813,0.4663916489698303,0.0,0.443387,3.0,0.553191,0.044644,0.488545,0.003037,0.530813,0.447368,0.0,0.443387,0.927949,0.553191,0.04632985060376998,0.488545,0.003037,0.530813,0.4663916489698303,Y,0.443387,5.567694,0.553191,0.044644,0.488545,0.003037,0.530813,0.447368,Y,0.024750947952270508,Y,0.0,N
0,0.912438,0.0,0.489362,0.04629871774116553,0.329069,0.002919,0.269549,0.7293087756499872,1.0,0.912438,0.0,0.489362,0.044614,0.329069,0.002919,0.269549,0.699561,1.0,0.912438,0.0,0.489362,0.04629871774116553,0.329069,0.162353,0.269549,0.51658,N,0.912438,0.0,0.489362,0.044614,0.329069,0.162353,0.269549,0.4955092183800001,N,0.02526116371154785,Y,1.0,Y
0,0.876908,0.6666666666666666,0.148936,0.029692448827951495,0.1626,0.001861,0.251165,0.6794688551319781,0.0,0.876908,4.0,0.148936,0.028612,0.1626,0.001861,0.251165,0.651754,0.0,0.876908,0.6666666666666666,0.148936,0.15129151,0.1626,0.001861,0.251165,0.6794688551319781,Y,0.876908,4.0,0.148936,0.14578631453412,0.1626,0.001861,0.251165,0.651754,Y,0.02625107765197754,Y,0.0,N
0,0.894429,0.5,0.12766,0.06137843862467466,0.318209,0.003828,0.401864,0.6968445941508177,0.0,0.894429,3.0,0.12766,0.059145,0.318209,0.003828,0.401864,0.668421,0.0,0.894429,0.5,0.12766,0.06137843862467466,0.318209,0.293416,0.401864,0.6968445941508177,N,0.894429,3.0,0.12766,0.059145,0.318209,0.293416,0.401864,0.668421,N,0.0255129337310791,N,0.0,Y
0,0.868192,0.6666666666666666,0.170213,0.026701618493750592,0.193841,0.001674,0.252978,0.8939180222078352,0.0,0.868192,4.0,0.170213,0.02573,0.193841,0.001674,0.252978,0.857456,0.0,0.868192,0.6666666666666666,0.170213,0.20553438,0.193841,0.001674,0.252978,0.8939180222078352,Y,0.868192,4.0,0.170213,0.19805539498056002,0.193841,0.001674,0.252978,0.857456,Y,0.024814844131469727,Y,0.0,N
0,0.474271,0.8333333333333333,0.042553,0.025455266227485746,0.091044,0.001635,0.18203,0.7773201099653777,0.0,0.474271,5.0,0.042553,0.024529,0.091044,0.001635,0.18203,0.745614,0.0,0.474271,0.8333333333333333,0.042553,0.76584613,0.091044,0.001635,0.18203,0.7773201099653777,Y,0.474271,5.0,0.042553,0.7379785210215601,0.091044,0.001635,0.18203,0.745614,Y,0.02734518051147461,Y,0.0,N
