,scaled_input_V1,scaled_input_V6,scaled_input_V10,scaled_input_V12,scaled_input_V13,scaled_input_V14,scaled_input_V15,scaled_input_target,origin_input_V1,origin_input_V6,origin_input_V10,origin_input_V12,origin_input_V13,origin_input_V14,origin_input_V15,origin_input_target,running_time,Found,ground_truth,prediction,scaled_cf_V1,scaled_cf_V6,scaled_cf_V10,scaled_cf_V12,scaled_cf_V13,scaled_cf_V14,scaled_cf_V15,scaled_cf_target,origin_cf_V1,origin_cf_V6,origin_cf_V10,origin_cf_V12,origin_cf_V13,origin_cf_V14,origin_cf_V15,origin_cf_target
0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.0,0.0,0.0,N,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,N,21.411959648132324,N,N,N,,,,,,,,,,,,,,,,
0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.0,0.0,0.0,N,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,N,21.34571099281311,N,N,N,,,,,,,,,,,,,,,,
0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.0,0.0,0.0,N,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,N,21.386559009552002,N,N,N,,,,,,,,,,,,,,,,
0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.0,0.0,0.0,N,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,N,21.40746808052063,N,N,N,,,,,,,,,,,,,,,,
0,0.29333333333333333,0.04075624290578888,0.5,0.06601340897369778,0.0,0.0,0.0,N,40.0,75.00000000000007,16.0,259.0,1.0,-1.0,0.0,N,21.373424768447876,N,N,N,,,,,,,,,,,,,,,,
0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.0,0.0,0.0,Y,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,Y,21.267995834350586,Y,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,18.0,-3371.9998,1.0,3.0,1.0,-1.0,0.0,N
0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.0,0.0,0.0,Y,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,Y,21.36628794670105,Y,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,18.0,-3371.9998,1.0,3.0,1.0,-1.0,0.0,N
0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.0,0.0,0.0,Y,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,Y,21.318935871124268,Y,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,18.0,-3371.9998,1.0,3.0,1.0,-1.0,0.0,N
0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.0,0.0,0.0,Y,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,Y,21.26755714416504,Y,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,18.0,-3371.9998,1.0,3.0,1.0,-1.0,0.0,N
0,0.1466666666666667,0.039928584941354525,0.06666666666666668,0.08200103145951522,0.0,0.0,0.0,Y,29.0,5.000000000000122,3.0,321.0,1.0,-1.0,0.0,Y,21.474358797073364,Y,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,18.0,-3371.9998,1.0,3.0,1.0,-1.0,0.0,N
