,scaled_input_date,scaled_input_period,scaled_input_nswprice,scaled_input_nswdemand,scaled_input_vicprice,scaled_input_vicdemand,scaled_input_transfer,scaled_input_target,origin_input_date,origin_input_period,origin_input_nswprice,origin_input_nswdemand,origin_input_vicprice,origin_input_vicdemand,origin_input_transfer,origin_input_target,scaled_cf_date,scaled_cf_period,scaled_cf_nswprice,scaled_cf_nswdemand,scaled_cf_vicprice,scaled_cf_vicdemand,scaled_cf_transfer,scaled_cf_target,origin_cf_date,origin_cf_period,origin_cf_nswprice,origin_cf_nswdemand,origin_cf_vicprice,origin_cf_vicdemand,origin_cf_transfer,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,20.877238988876343,Y,Y,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,20.67003321647644,Y,Y,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,20.646365880966187,Y,Y,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,20.835231065750122,Y,Y,Y
0,0.460865,0.723404,0.1420737807333242,0.606665,0.009412,0.438374,0.4266120801366956,Y,0.460865,0.723404,0.136904,0.606665,0.009412,0.438374,0.409211,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,20.74537706375122,Y,Y,Y
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,,,,,,,,,,,,,,,,,20.758317708969116,N,Y,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,,,,,,,,,,,,,,,,,20.761549949645996,N,Y,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,,,,,,,,,,,,,,,,,20.708812952041626,N,Y,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,,,,,,,,,,,,,,,,,20.71556305885315,N,Y,N
0,0.013053,1.0,0.05006890740256451,0.534216,0.003467,0.422915,0.43255550655695146,N,0.013053,1.0,0.048247,0.534216,0.003467,0.422915,0.414912,N,,,,,,,,,,,,,,,,,20.73961877822876,N,Y,N
