,scaled_input_RevolvingUtilizationOfUnsecuredLines,scaled_input_age,scaled_input_NumberOfTime30-59DaysPastDueNotWorse,scaled_input_DebtRatio,scaled_input_MonthlyIncome,scaled_input_NumberOfOpenCreditLinesAndLoans,scaled_input_NumberOfTimes90DaysLate,scaled_input_NumberRealEstateLoansOrLines,scaled_input_NumberOfTime60-89DaysPastDueNotWorse,scaled_input_NumberOfDependents,scaled_input_target,origin_input_RevolvingUtilizationOfUnsecuredLines,origin_input_age,origin_input_NumberOfTime30-59DaysPastDueNotWorse,origin_input_DebtRatio,origin_input_MonthlyIncome,origin_input_NumberOfOpenCreditLinesAndLoans,origin_input_NumberOfTimes90DaysLate,origin_input_NumberRealEstateLoansOrLines,origin_input_NumberOfTime60-89DaysPastDueNotWorse,origin_input_NumberOfDependents,origin_input_target,running_time,Found,ground_truth,prediction,scaled_cf_RevolvingUtilizationOfUnsecuredLines,scaled_cf_age,scaled_cf_NumberOfTime30-59DaysPastDueNotWorse,scaled_cf_DebtRatio,scaled_cf_MonthlyIncome,scaled_cf_NumberOfOpenCreditLinesAndLoans,scaled_cf_NumberOfTimes90DaysLate,scaled_cf_NumberRealEstateLoansOrLines,scaled_cf_NumberOfTime60-89DaysPastDueNotWorse,scaled_cf_NumberOfDependents,scaled_cf_target,origin_cf_RevolvingUtilizationOfUnsecuredLines,origin_cf_age,origin_cf_NumberOfTime30-59DaysPastDueNotWorse,origin_cf_DebtRatio,origin_cf_MonthlyIncome,origin_cf_NumberOfOpenCreditLinesAndLoans,origin_cf_NumberOfTimes90DaysLate,origin_cf_NumberRealEstateLoansOrLines,origin_cf_NumberOfTime60-89DaysPastDueNotWorse,origin_cf_NumberOfDependents,origin_cf_target
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,Y,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,Y,0.6876921653747559,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,Y,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,Y,0.6229300498962402,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,Y,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,Y,0.6195430755615234,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,Y,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,Y,0.6190247535705566,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
0,3.6865245727272725e-05,0.20512820512820512,0.0,1.4647191906683179e-05,0.03796,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,Y,0.811035406,37.0,0.0,0.366663155,9490.0,9.0,0.0,2.0,0.0,2.0,Y,0.6226968765258789,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,Y,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,Y,0.6263761520385742,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,Y,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,Y,0.653435230255127,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,Y,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,Y,0.6279969215393066,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,Y,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,Y,0.6673381328582764,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
0,4.231160527272727e-05,0.23076923076923078,0.01020408163265306,3.564832792713618e-05,0.0136,0.17307692307692307,0.0,0.06896551724137931,0.0,0.25,Y,0.930855316,39.0,1.0,0.892384593,3400.0,9.0,0.0,2.0,0.0,2.0,Y,0.6778318881988525,N,Y,Y,,,,,,,,,,,,,,,,,,,,,,
