,scaled_input_V1,scaled_input_V2,scaled_input_V3,scaled_input_V4,scaled_input_V5,scaled_input_V6,scaled_input_V7,scaled_input_V8,scaled_input_V9,scaled_input_V10,scaled_input_V11,scaled_input_V12,scaled_input_V13,scaled_input_V14,scaled_input_V15,scaled_input_V16,scaled_input_V17,scaled_input_V18,scaled_input_V19,scaled_input_V20,scaled_input_V21,scaled_input_V22,scaled_input_V23,scaled_input_V24,scaled_input_V25,scaled_input_V26,scaled_input_V27,scaled_input_V28,scaled_input_V29,scaled_input_V30,scaled_input_V31,scaled_input_V32,scaled_input_V33,scaled_input_V34,scaled_input_V35,scaled_input_V36,scaled_input_V37,scaled_input_V38,scaled_input_V39,scaled_input_V40,scaled_input_V41,scaled_input_V42,scaled_input_V43,scaled_input_V44,scaled_input_V45,scaled_input_V46,scaled_input_V47,scaled_input_V48,scaled_input_V49,scaled_input_V50,scaled_input_V51,scaled_input_V52,scaled_input_V53,scaled_input_V54,scaled_input_target,origin_input_V1,origin_input_V2,origin_input_V3,origin_input_V4,origin_input_V5,origin_input_V6,origin_input_V7,origin_input_V8,origin_input_V9,origin_input_V10,origin_input_V11,origin_input_V12,origin_input_V13,origin_input_V14,origin_input_V15,origin_input_V16,origin_input_V17,origin_input_V18,origin_input_V19,origin_input_V20,origin_input_V21,origin_input_V22,origin_input_V23,origin_input_V24,origin_input_V25,origin_input_V26,origin_input_V27,origin_input_V28,origin_input_V29,origin_input_V30,origin_input_V31,origin_input_V32,origin_input_V33,origin_input_V34,origin_input_V35,origin_input_V36,origin_input_V37,origin_input_V38,origin_input_V39,origin_input_V40,origin_input_V41,origin_input_V42,origin_input_V43,origin_input_V44,origin_input_V45,origin_input_V46,origin_input_V47,origin_input_V48,origin_input_V49,origin_input_V50,origin_input_V51,origin_input_V52,origin_input_V53,origin_input_V54,origin_input_target,scaled_cf_V1,scaled_cf_V2,scaled_cf_V3,scaled_cf_V4,scaled_cf_V5,scaled_cf_V6,scaled_cf_V7,scaled_cf_V8,scaled_cf_V9,scaled_cf_V10,scaled_cf_V11,scaled_cf_V12,scaled_cf_V13,scaled_cf_V14,scaled_cf_V15,scaled_cf_V16,scaled_cf_V17,scaled_cf_V18,scaled_cf_V19,scaled_cf_V20,scaled_cf_V21,scaled_cf_V22,scaled_cf_V23,scaled_cf_V24,scaled_cf_V25,scaled_cf_V26,scaled_cf_V27,scaled_cf_V28,scaled_cf_V29,scaled_cf_V30,scaled_cf_V31,scaled_cf_V32,scaled_cf_V33,scaled_cf_V34,scaled_cf_V35,scaled_cf_V36,scaled_cf_V37,scaled_cf_V38,scaled_cf_V39,scaled_cf_V40,scaled_cf_V41,scaled_cf_V42,scaled_cf_V43,scaled_cf_V44,scaled_cf_V45,scaled_cf_V46,scaled_cf_V47,scaled_cf_V48,scaled_cf_V49,scaled_cf_V50,scaled_cf_V51,scaled_cf_V52,scaled_cf_V53,scaled_cf_V54,scaled_cf_target,origin_cf_V1,origin_cf_V2,origin_cf_V3,origin_cf_V4,origin_cf_V5,origin_cf_V6,origin_cf_V7,origin_cf_V8,origin_cf_V9,origin_cf_V10,origin_cf_V11,origin_cf_V12,origin_cf_V13,origin_cf_V14,origin_cf_V15,origin_cf_V16,origin_cf_V17,origin_cf_V18,origin_cf_V19,origin_cf_V20,origin_cf_V21,origin_cf_V22,origin_cf_V23,origin_cf_V24,origin_cf_V25,origin_cf_V26,origin_cf_V27,origin_cf_V28,origin_cf_V29,origin_cf_V30,origin_cf_V31,origin_cf_V32,origin_cf_V33,origin_cf_V34,origin_cf_V35,origin_cf_V36,origin_cf_V37,origin_cf_V38,origin_cf_V39,origin_cf_V40,origin_cf_V41,origin_cf_V42,origin_cf_V43,origin_cf_V44,origin_cf_V45,origin_cf_V46,origin_cf_V47,origin_cf_V48,origin_cf_V49,origin_cf_V50,origin_cf_V51,origin_cf_V52,origin_cf_V53,origin_cf_V54,origin_cf_target,running_time,Found,ground_truth,prediction
0,0.42342649404114585,0.9999999999999999,0.47568678306344914,0.5115315632530452,0.7943920705976523,0.6017375313515937,0.3141835965516683,0.015638060691619562,0.12744251851256047,0.9000037853072551,0.7283062001181795,0.4986926127415488,0.15754722890919343,0.19872860100508014,0.21923985265866514,0.667795664684192,0.7384922752158886,0.6424646033187267,0.8909755467864037,0.36726094490333544,0.5460142694553736,0.10071643308665415,0.05573695068196322,0.12714925849731196,0.9339189682094103,0.44729645795657896,0.6130755266658808,0.8357310962661332,1.0,0.3885087504850399,0.5526454447539632,0.07719300472815976,0.21771249258162434,0.1450445050471743,0.363885779508604,0.6319485445272292,0.8688338595297879,0.07102278247675495,0.3867023671077895,0.0832900094326023,0.37319037769184127,0.20614690457355486,0.35526026021927715,0.4549943418880599,0.4221391834691184,0.5294956326690131,0.2855186276032833,0.02278377035830004,0.40666204561260694,0.7546912703364865,0.30628532936834063,0.411131998450442,0.3010085651766178,0.07029077789906227,Y,0.4236,1.0,0.483333,0.513232,0.787752,0.989017,0.434201,0.017077,0.12358699999999999,229.542,185.821,127.299,17.6048,21.7892,24.8789,-1.4081600000000063,-0.4821129999999946,0.01071889999999439,89.1869,2.291459999999997,19.966099999999997,3.8828300000000002,1.87775,4.85789,-1.212279999999995,0.3055770000000003,0.5414959999999976,83.5785,1.0,0.532630999999998,59.4604,0.11747500000000001,7.49167,0.22054399999999996,3.2319200000000006,0.6235610000000076,221.554,0.0916667,98.7457,9.19987,-1.4051300000000004,21.108,12.5681,116.257,46.3741,0.530864,0.270174,0.0197911,103.705,2.2918500000000024,33.4422,14.932,0.301227,0.12227899999999998,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N,1.0,1.0,1.0,0.9926711,0.989939,1.6370801,1.35321,0.50849,0.969747,254.99998,255.0,255.0,111.743,109.643,113.478,49.4495,39.630398,40.766,99.99999,69.6633,72.340294,38.5521,33.6895,38.2062,8.09433,41.168003,35.0066,99.9997,1.0,59.3129,107.479,1.3532101,34.383297,1.44279,69.6633,63.824398,255.00002,1.0,254.98201,109.38,41.807,102.393,35.3635,254.99998,109.855,0.9926711,0.946257,0.485714,255.00002,38.106903,109.074,36.3158,0.99999994,1.6092799,N,1.4601600170135498,Y,Y,Y
0,0.42342649404114585,0.9999999999999999,0.47568678306344914,0.5115315632530452,0.7943920705976523,0.6017375313515937,0.3141835965516683,0.015638060691619562,0.12744251851256047,0.9000037853072551,0.7283062001181795,0.4986926127415488,0.15754722890919343,0.19872860100508014,0.21923985265866514,0.667795664684192,0.7384922752158886,0.6424646033187267,0.8909755467864037,0.36726094490333544,0.5460142694553736,0.10071643308665415,0.05573695068196322,0.12714925849731196,0.9339189682094103,0.44729645795657896,0.6130755266658808,0.8357310962661332,1.0,0.3885087504850399,0.5526454447539632,0.07719300472815976,0.21771249258162434,0.1450445050471743,0.363885779508604,0.6319485445272292,0.8688338595297879,0.07102278247675495,0.3867023671077895,0.0832900094326023,0.37319037769184127,0.20614690457355486,0.35526026021927715,0.4549943418880599,0.4221391834691184,0.5294956326690131,0.2855186276032833,0.02278377035830004,0.40666204561260694,0.7546912703364865,0.30628532936834063,0.411131998450442,0.3010085651766178,0.07029077789906227,Y,0.4236,1.0,0.483333,0.513232,0.787752,0.989017,0.434201,0.017077,0.12358699999999999,229.542,185.821,127.299,17.6048,21.7892,24.8789,-1.4081600000000063,-0.4821129999999946,0.01071889999999439,89.1869,2.291459999999997,19.966099999999997,3.8828300000000002,1.87775,4.85789,-1.212279999999995,0.3055770000000003,0.5414959999999976,83.5785,1.0,0.532630999999998,59.4604,0.11747500000000001,7.49167,0.22054399999999996,3.2319200000000006,0.6235610000000076,221.554,0.0916667,98.7457,9.19987,-1.4051300000000004,21.108,12.5681,116.257,46.3741,0.530864,0.270174,0.0197911,103.705,2.2918500000000024,33.4422,14.932,0.301227,0.12227899999999998,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N,1.0,1.0,1.0,0.9926711,0.989939,1.6370801,1.35321,0.50849,0.969747,254.99998,255.0,255.0,111.743,109.643,113.478,49.4495,39.630398,40.766,99.99999,69.6633,72.340294,38.5521,33.6895,38.2062,8.09433,41.168003,35.0066,99.9997,1.0,59.3129,107.479,1.3532101,34.383297,1.44279,69.6633,63.824398,255.00002,1.0,254.98201,109.38,41.807,102.393,35.3635,254.99998,109.855,0.9926711,0.946257,0.485714,255.00002,38.106903,109.074,36.3158,0.99999994,1.6092799,N,1.4075570106506348,Y,Y,Y
0,0.42342649404114585,0.9999999999999999,0.47568678306344914,0.5115315632530452,0.7943920705976523,0.6017375313515937,0.3141835965516683,0.015638060691619562,0.12744251851256047,0.9000037853072551,0.7283062001181795,0.4986926127415488,0.15754722890919343,0.19872860100508014,0.21923985265866514,0.667795664684192,0.7384922752158886,0.6424646033187267,0.8909755467864037,0.36726094490333544,0.5460142694553736,0.10071643308665415,0.05573695068196322,0.12714925849731196,0.9339189682094103,0.44729645795657896,0.6130755266658808,0.8357310962661332,1.0,0.3885087504850399,0.5526454447539632,0.07719300472815976,0.21771249258162434,0.1450445050471743,0.363885779508604,0.6319485445272292,0.8688338595297879,0.07102278247675495,0.3867023671077895,0.0832900094326023,0.37319037769184127,0.20614690457355486,0.35526026021927715,0.4549943418880599,0.4221391834691184,0.5294956326690131,0.2855186276032833,0.02278377035830004,0.40666204561260694,0.7546912703364865,0.30628532936834063,0.411131998450442,0.3010085651766178,0.07029077789906227,Y,0.4236,1.0,0.483333,0.513232,0.787752,0.989017,0.434201,0.017077,0.12358699999999999,229.542,185.821,127.299,17.6048,21.7892,24.8789,-1.4081600000000063,-0.4821129999999946,0.01071889999999439,89.1869,2.291459999999997,19.966099999999997,3.8828300000000002,1.87775,4.85789,-1.212279999999995,0.3055770000000003,0.5414959999999976,83.5785,1.0,0.532630999999998,59.4604,0.11747500000000001,7.49167,0.22054399999999996,3.2319200000000006,0.6235610000000076,221.554,0.0916667,98.7457,9.19987,-1.4051300000000004,21.108,12.5681,116.257,46.3741,0.530864,0.270174,0.0197911,103.705,2.2918500000000024,33.4422,14.932,0.301227,0.12227899999999998,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N,1.0,1.0,1.0,0.9926711,0.989939,1.6370801,1.35321,0.50849,0.969747,254.99998,255.0,255.0,111.743,109.643,113.478,49.4495,39.630398,40.766,99.99999,69.6633,72.340294,38.5521,33.6895,38.2062,8.09433,41.168003,35.0066,99.9997,1.0,59.3129,107.479,1.3532101,34.383297,1.44279,69.6633,63.824398,255.00002,1.0,254.98201,109.38,41.807,102.393,35.3635,254.99998,109.855,0.9926711,0.946257,0.485714,255.00002,38.106903,109.074,36.3158,0.99999994,1.6092799,N,1.4027700424194336,Y,Y,Y
0,0.42342649404114585,0.9999999999999999,0.47568678306344914,0.5115315632530452,0.7943920705976523,0.6017375313515937,0.3141835965516683,0.015638060691619562,0.12744251851256047,0.9000037853072551,0.7283062001181795,0.4986926127415488,0.15754722890919343,0.19872860100508014,0.21923985265866514,0.667795664684192,0.7384922752158886,0.6424646033187267,0.8909755467864037,0.36726094490333544,0.5460142694553736,0.10071643308665415,0.05573695068196322,0.12714925849731196,0.9339189682094103,0.44729645795657896,0.6130755266658808,0.8357310962661332,1.0,0.3885087504850399,0.5526454447539632,0.07719300472815976,0.21771249258162434,0.1450445050471743,0.363885779508604,0.6319485445272292,0.8688338595297879,0.07102278247675495,0.3867023671077895,0.0832900094326023,0.37319037769184127,0.20614690457355486,0.35526026021927715,0.4549943418880599,0.4221391834691184,0.5294956326690131,0.2855186276032833,0.02278377035830004,0.40666204561260694,0.7546912703364865,0.30628532936834063,0.411131998450442,0.3010085651766178,0.07029077789906227,Y,0.4236,1.0,0.483333,0.513232,0.787752,0.989017,0.434201,0.017077,0.12358699999999999,229.542,185.821,127.299,17.6048,21.7892,24.8789,-1.4081600000000063,-0.4821129999999946,0.01071889999999439,89.1869,2.291459999999997,19.966099999999997,3.8828300000000002,1.87775,4.85789,-1.212279999999995,0.3055770000000003,0.5414959999999976,83.5785,1.0,0.532630999999998,59.4604,0.11747500000000001,7.49167,0.22054399999999996,3.2319200000000006,0.6235610000000076,221.554,0.0916667,98.7457,9.19987,-1.4051300000000004,21.108,12.5681,116.257,46.3741,0.530864,0.270174,0.0197911,103.705,2.2918500000000024,33.4422,14.932,0.301227,0.12227899999999998,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N,1.0,1.0,1.0,0.9926711,0.989939,1.6370801,1.35321,0.50849,0.969747,254.99998,255.0,255.0,111.743,109.643,113.478,49.4495,39.630398,40.766,99.99999,69.6633,72.340294,38.5521,33.6895,38.2062,8.09433,41.168003,35.0066,99.9997,1.0,59.3129,107.479,1.3532101,34.383297,1.44279,69.6633,63.824398,255.00002,1.0,254.98201,109.38,41.807,102.393,35.3635,254.99998,109.855,0.9926711,0.946257,0.485714,255.00002,38.106903,109.074,36.3158,0.99999994,1.6092799,N,1.3990888595581055,Y,Y,Y
0,0.42342649404114585,0.9999999999999999,0.47568678306344914,0.5115315632530452,0.7943920705976523,0.6017375313515937,0.3141835965516683,0.015638060691619562,0.12744251851256047,0.9000037853072551,0.7283062001181795,0.4986926127415488,0.15754722890919343,0.19872860100508014,0.21923985265866514,0.667795664684192,0.7384922752158886,0.6424646033187267,0.8909755467864037,0.36726094490333544,0.5460142694553736,0.10071643308665415,0.05573695068196322,0.12714925849731196,0.9339189682094103,0.44729645795657896,0.6130755266658808,0.8357310962661332,1.0,0.3885087504850399,0.5526454447539632,0.07719300472815976,0.21771249258162434,0.1450445050471743,0.363885779508604,0.6319485445272292,0.8688338595297879,0.07102278247675495,0.3867023671077895,0.0832900094326023,0.37319037769184127,0.20614690457355486,0.35526026021927715,0.4549943418880599,0.4221391834691184,0.5294956326690131,0.2855186276032833,0.02278377035830004,0.40666204561260694,0.7546912703364865,0.30628532936834063,0.411131998450442,0.3010085651766178,0.07029077789906227,Y,0.4236,1.0,0.483333,0.513232,0.787752,0.989017,0.434201,0.017077,0.12358699999999999,229.542,185.821,127.299,17.6048,21.7892,24.8789,-1.4081600000000063,-0.4821129999999946,0.01071889999999439,89.1869,2.291459999999997,19.966099999999997,3.8828300000000002,1.87775,4.85789,-1.212279999999995,0.3055770000000003,0.5414959999999976,83.5785,1.0,0.532630999999998,59.4604,0.11747500000000001,7.49167,0.22054399999999996,3.2319200000000006,0.6235610000000076,221.554,0.0916667,98.7457,9.19987,-1.4051300000000004,21.108,12.5681,116.257,46.3741,0.530864,0.270174,0.0197911,103.705,2.2918500000000024,33.4422,14.932,0.301227,0.12227899999999998,Y,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,N,1.0,1.0,1.0,0.9926711,0.989939,1.6370801,1.35321,0.50849,0.969747,254.99998,255.0,255.0,111.743,109.643,113.478,49.4495,39.630398,40.766,99.99999,69.6633,72.340294,38.5521,33.6895,38.2062,8.09433,41.168003,35.0066,99.9997,1.0,59.3129,107.479,1.3532101,34.383297,1.44279,69.6633,63.824398,255.00002,1.0,254.98201,109.38,41.807,102.393,35.3635,254.99998,109.855,0.9926711,0.946257,0.485714,255.00002,38.106903,109.074,36.3158,0.99999994,1.6092799,N,1.3950998783111572,Y,Y,Y
0,0.14694229275639,0.9409286075949367,0.2699088619058313,0.4723125927393045,0.48780198801279545,0.4816644663882529,0.15421083789750004,0.07538128042710163,0.4566428150847592,0.24442800474239254,0.6328624567173208,0.7346114391569342,0.43396991310417654,0.2442362941546656,0.23105623997603061,0.6863002844703984,0.7424976106562775,0.6279219577241764,0.788922221829448,0.1581588425615042,0.24768626268037275,0.17002394162704493,0.2159013936092848,0.1545934952965749,0.9424829522325668,0.4501439297515687,0.6196777977984721,0.4329815814176926,1.0,0.36880576659200776,0.5713394851998882,0.27988891083556217,0.36343576333672883,0.1555089567242461,0.24108793093377476,0.632373702373784,0.9577865115104537,0.14488649670712508,0.5224926777225264,0.42435573727428094,0.4121162231396087,0.7010508530856603,0.34514881418316423,0.353653528507919,0.5701087797551317,0.23915258333343517,0.37428203965730245,0.008880883804696565,0.4182350672154173,0.7419109191170679,0.050901401782004814,0.04468518937722495,0.7210008127539856,0.3791959938825299,N,0.147199,0.941667,0.280556,0.474738,0.486263,0.793631,0.219834,0.046902,0.442828,62.6392,161.519,187.396,48.4931,26.7788,26.2198,1.4247399999999988,0.13226300000000163,-1.646989999999999,79.0652,-19.973,-14.4506,6.55478,7.27361,5.90643,-0.006159919999998557,0.5160960000000016,1.129589999999998,43.3175,1.0,-1.3613400000000007,61.467,0.38890600000000003,12.501,0.23550400000000002,-9.59224,0.6965680000000029,244.236,0.163889,133.338,46.4723,1.2784099999999983,71.7827,12.210600000000001,90.4585,62.62929999999999,0.24588799999999997,0.354167,0.0131624,106.656,0.4259199999999978,5.59913,1.62507,0.721088,0.61635,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6446232795715332,N,N,N
0,0.14694229275639,0.9409286075949367,0.2699088619058313,0.4723125927393045,0.48780198801279545,0.4816644663882529,0.15421083789750004,0.07538128042710163,0.4566428150847592,0.24442800474239254,0.6328624567173208,0.7346114391569342,0.43396991310417654,0.2442362941546656,0.23105623997603061,0.6863002844703984,0.7424976106562775,0.6279219577241764,0.788922221829448,0.1581588425615042,0.24768626268037275,0.17002394162704493,0.2159013936092848,0.1545934952965749,0.9424829522325668,0.4501439297515687,0.6196777977984721,0.4329815814176926,1.0,0.36880576659200776,0.5713394851998882,0.27988891083556217,0.36343576333672883,0.1555089567242461,0.24108793093377476,0.632373702373784,0.9577865115104537,0.14488649670712508,0.5224926777225264,0.42435573727428094,0.4121162231396087,0.7010508530856603,0.34514881418316423,0.353653528507919,0.5701087797551317,0.23915258333343517,0.37428203965730245,0.008880883804696565,0.4182350672154173,0.7419109191170679,0.050901401782004814,0.04468518937722495,0.7210008127539856,0.3791959938825299,N,0.147199,0.941667,0.280556,0.474738,0.486263,0.793631,0.219834,0.046902,0.442828,62.6392,161.519,187.396,48.4931,26.7788,26.2198,1.4247399999999988,0.13226300000000163,-1.646989999999999,79.0652,-19.973,-14.4506,6.55478,7.27361,5.90643,-0.006159919999998557,0.5160960000000016,1.129589999999998,43.3175,1.0,-1.3613400000000007,61.467,0.38890600000000003,12.501,0.23550400000000002,-9.59224,0.6965680000000029,244.236,0.163889,133.338,46.4723,1.2784099999999983,71.7827,12.210600000000001,90.4585,62.62929999999999,0.24588799999999997,0.354167,0.0131624,106.656,0.4259199999999978,5.59913,1.62507,0.721088,0.61635,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.644320011138916,N,N,N
0,0.14694229275639,0.9409286075949367,0.2699088619058313,0.4723125927393045,0.48780198801279545,0.4816644663882529,0.15421083789750004,0.07538128042710163,0.4566428150847592,0.24442800474239254,0.6328624567173208,0.7346114391569342,0.43396991310417654,0.2442362941546656,0.23105623997603061,0.6863002844703984,0.7424976106562775,0.6279219577241764,0.788922221829448,0.1581588425615042,0.24768626268037275,0.17002394162704493,0.2159013936092848,0.1545934952965749,0.9424829522325668,0.4501439297515687,0.6196777977984721,0.4329815814176926,1.0,0.36880576659200776,0.5713394851998882,0.27988891083556217,0.36343576333672883,0.1555089567242461,0.24108793093377476,0.632373702373784,0.9577865115104537,0.14488649670712508,0.5224926777225264,0.42435573727428094,0.4121162231396087,0.7010508530856603,0.34514881418316423,0.353653528507919,0.5701087797551317,0.23915258333343517,0.37428203965730245,0.008880883804696565,0.4182350672154173,0.7419109191170679,0.050901401782004814,0.04468518937722495,0.7210008127539856,0.3791959938825299,N,0.147199,0.941667,0.280556,0.474738,0.486263,0.793631,0.219834,0.046902,0.442828,62.6392,161.519,187.396,48.4931,26.7788,26.2198,1.4247399999999988,0.13226300000000163,-1.646989999999999,79.0652,-19.973,-14.4506,6.55478,7.27361,5.90643,-0.006159919999998557,0.5160960000000016,1.129589999999998,43.3175,1.0,-1.3613400000000007,61.467,0.38890600000000003,12.501,0.23550400000000002,-9.59224,0.6965680000000029,244.236,0.163889,133.338,46.4723,1.2784099999999983,71.7827,12.210600000000001,90.4585,62.62929999999999,0.24588799999999997,0.354167,0.0131624,106.656,0.4259199999999978,5.59913,1.62507,0.721088,0.61635,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6410031318664551,N,N,N
0,0.14694229275639,0.9409286075949367,0.2699088619058313,0.4723125927393045,0.48780198801279545,0.4816644663882529,0.15421083789750004,0.07538128042710163,0.4566428150847592,0.24442800474239254,0.6328624567173208,0.7346114391569342,0.43396991310417654,0.2442362941546656,0.23105623997603061,0.6863002844703984,0.7424976106562775,0.6279219577241764,0.788922221829448,0.1581588425615042,0.24768626268037275,0.17002394162704493,0.2159013936092848,0.1545934952965749,0.9424829522325668,0.4501439297515687,0.6196777977984721,0.4329815814176926,1.0,0.36880576659200776,0.5713394851998882,0.27988891083556217,0.36343576333672883,0.1555089567242461,0.24108793093377476,0.632373702373784,0.9577865115104537,0.14488649670712508,0.5224926777225264,0.42435573727428094,0.4121162231396087,0.7010508530856603,0.34514881418316423,0.353653528507919,0.5701087797551317,0.23915258333343517,0.37428203965730245,0.008880883804696565,0.4182350672154173,0.7419109191170679,0.050901401782004814,0.04468518937722495,0.7210008127539856,0.3791959938825299,N,0.147199,0.941667,0.280556,0.474738,0.486263,0.793631,0.219834,0.046902,0.442828,62.6392,161.519,187.396,48.4931,26.7788,26.2198,1.4247399999999988,0.13226300000000163,-1.646989999999999,79.0652,-19.973,-14.4506,6.55478,7.27361,5.90643,-0.006159919999998557,0.5160960000000016,1.129589999999998,43.3175,1.0,-1.3613400000000007,61.467,0.38890600000000003,12.501,0.23550400000000002,-9.59224,0.6965680000000029,244.236,0.163889,133.338,46.4723,1.2784099999999983,71.7827,12.210600000000001,90.4585,62.62929999999999,0.24588799999999997,0.354167,0.0131624,106.656,0.4259199999999978,5.59913,1.62507,0.721088,0.61635,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6414711475372314,N,N,N
0,0.14694229275639,0.9409286075949367,0.2699088619058313,0.4723125927393045,0.48780198801279545,0.4816644663882529,0.15421083789750004,0.07538128042710163,0.4566428150847592,0.24442800474239254,0.6328624567173208,0.7346114391569342,0.43396991310417654,0.2442362941546656,0.23105623997603061,0.6863002844703984,0.7424976106562775,0.6279219577241764,0.788922221829448,0.1581588425615042,0.24768626268037275,0.17002394162704493,0.2159013936092848,0.1545934952965749,0.9424829522325668,0.4501439297515687,0.6196777977984721,0.4329815814176926,1.0,0.36880576659200776,0.5713394851998882,0.27988891083556217,0.36343576333672883,0.1555089567242461,0.24108793093377476,0.632373702373784,0.9577865115104537,0.14488649670712508,0.5224926777225264,0.42435573727428094,0.4121162231396087,0.7010508530856603,0.34514881418316423,0.353653528507919,0.5701087797551317,0.23915258333343517,0.37428203965730245,0.008880883804696565,0.4182350672154173,0.7419109191170679,0.050901401782004814,0.04468518937722495,0.7210008127539856,0.3791959938825299,N,0.147199,0.941667,0.280556,0.474738,0.486263,0.793631,0.219834,0.046902,0.442828,62.6392,161.519,187.396,48.4931,26.7788,26.2198,1.4247399999999988,0.13226300000000163,-1.646989999999999,79.0652,-19.973,-14.4506,6.55478,7.27361,5.90643,-0.006159919999998557,0.5160960000000016,1.129589999999998,43.3175,1.0,-1.3613400000000007,61.467,0.38890600000000003,12.501,0.23550400000000002,-9.59224,0.6965680000000029,244.236,0.163889,133.338,46.4723,1.2784099999999983,71.7827,12.210600000000001,90.4585,62.62929999999999,0.24588799999999997,0.354167,0.0131624,106.656,0.4259199999999978,5.59913,1.62507,0.721088,0.61635,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6413791179656982,N,N,N
